Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
....Nueva Ecija,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Sheep for Slaughter,..,..,..,..,..,..,..,200.00,278.34,239.17,210.00,..,201.67,213.33,208.33,215.00,*/,*/,*/,*/
....Pampanga,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Pampanga,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,80.00,..,..,..,80.00,..,*/,*/,*/,*/
....Pampanga,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,460.00,..,460.00,460.00,475.00,*/,*/,*/,*/
....Pampanga,Quail Egg,..,..,..,..,..,1.50,1.50,1.65,1.85,1.62,1.67,1.18,1.27,1.26,1.35,1.58,*/,*/,*/,*/
....Tarlac,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Tarlac,Rabbit for Slaughter,..,..,..,400.00,400.00,..,150.00,137.50,230.00,172.50,210.00,148.33,136.33,133.00,156.92,133.00,*/,*/,*/,*/
....Tarlac,Sheep for Slaughter,..,..,..,250.00,250.00,..,200.00,250.00,250.00,233.33,250.00,250.00,258.33,258.33,254.17,260.00,*/,*/,*/,*/
....Tarlac,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,190.00,190.00,190.00,193.33,190.83,190.00,*/,*/,*/,*/
....Tarlac,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,80.00,30.00,..,100.00,70.00,80.00,*/,*/,*/,*/
....Tarlac,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,200.00,183.33,190.00,276.67,212.50,250.00,*/,*/,*/,*/
....Tarlac,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.50,1.50,..,1.45,1.48,1.50,*/,*/,*/,*/
....Zambales,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zambales,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,150.00,175.00,..,..,162.50,135.00,*/,*/,*/,*/
....Zambales,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,250.00,250.00,..,*/,*/,*/,*/
....Zambales,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,150.00,300.00,283.33,300.00,258.33,293.33,*/,*/,*/,*/
....Zambales,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,73.33,..,..,..,73.33,80.00,*/,*/,*/,*/
....Zambales,Turkey for Dressing,..,156.25,..,..,156.25,..,..,..,..,..,..,..,325.00,333.33,329.17,350.00,*/,*/,*/,*/
....Zambales,Quail Egg,1.70,..,..,1.90,1.80,..,..,..,..,..,1.10,1.25,..,..,1.18,1.33,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Horse for Slaughter,..,230.00,..,..,230.00,120.00,250.00,..,..,206.67,200.00,231.99,243.91,250.00,231.47,240.03,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Rabbit for Slaughter,..,..,..,180.00,180.00,380.00,..,258.00,..,319.00,250.00,218.34,269.25,299.43,259.25,191.11,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,240.00,..,240.00,..,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Goose for Dressing,..,..,..,..,..,180.00,..,330.00,340.00,283.33,220.00,220.00,200.25,206.76,211.75,200.00,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Quail for Dressing,..,..,..,..,..,30.00,..,..,..,30.00,..,35.00,..,75.67,55.33,64.87,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Turkey for Dressing,..,..,..,..,..,300.00,300.00,300.00,300.00,300.00,220.00,237.35,..,209.28,222.21,207.71,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Quail Egg,..,..,..,..,..,1.23,1.30,1.50,..,1.34,1.47,1.50,1.51,1.41,1.47,1.64,*/,*/,*/,*/
....Batangas,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,200.00,200.00,200.00,250.00,212.50,206.67,*/,*/,*/,*/
....Batangas,Rabbit for Slaughter,..,..,..,180.00,180.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batangas,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Batangas,Goose for Dressing,..,..,..,..,..,180.00,..,330.00,340.00,283.33,..,..,210.00,220.00,215.00,..,*/,*/,*/,*/
....Batangas,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,35.00,..,140.00,87.50,80.00,*/,*/,*/,*/
....Batangas,Turkey for Dressing,..,..,..,..,..,300.00,300.00,..,300.00,300.00,..,..,..,260.00,260.00,260.00,*/,*/,*/,*/
....Batangas,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.40,1.47,1.47,*/,*/,*/,*/
....Cavite,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cavite,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,50.00,50.00,55.00,*/,*/,*/,*/
....Cavite,Turkey for Dressing,..,..,..,..,..,..,..,300.00,..,300.00,..,..,..,..,..,100.00,*/,*/,*/,*/
....Cavite,Quail Egg,..,..,..,..,..,1.23,1.30,1.50,..,1.34,1.27,1.35,..,1.35,1.32,1.30,*/,*/,*/,*/
....Laguna,Horse for Slaughter,..,230.00,..,..,230.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Rabbit for Slaughter,..,..,..,..,..,..,..,350.00,..,350.00,..,200.00,330.00,340.00,290.00,..,*/,*/,*/,*/
....Laguna,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Laguna,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,160.00,..,190.00,175.00,800.00,*/,*/,*/,*/
....Laguna,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quezon,Horse for Slaughter,..,..,..,..,..,120.00,250.00,..,..,206.67,..,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Quezon,Rabbit for Slaughter,..,..,..,..,..,120.00,..,166.00,..,143.00,250.00,220.00,170.00,170.00,202.50,200.00,*/,*/,*/,*/
....Quezon,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Quezon,Goose for Dressing,..,..,..,..,..,150.00,..,..,..,150.00,220.00,220.00,200.00,200.00,210.00,200.00,*/,*/,*/,*/
....Quezon,Quail for Dressing,..,..,..,..,..,30.00,..,..,..,30.00,..,..,..,60.00,60.00,60.00,*/,*/,*/,*/
....Quezon,Turkey for Dressing,..,..,..,..,..,150.00,..,..,..,150.00,220.00,240.00,..,200.00,220.00,200.00,*/,*/,*/,*/
....Quezon,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,1.70,1.70,1.70,1.75,*/,*/,*/,*/
....Rizal,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Rizal,Rabbit for Slaughter,..,..,..,..,..,380.00,..,..,..,380.00,..,..,350.00,350.00,350.00,190.00,*/,*/,*/,*/
....Rizal,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,240.00,..,240.00,..,*/,*/,*/,*/
....Rizal,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,200.00,220.00,210.00,..,*/,*/,*/,*/
....Rizal,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,96.00,96.00,76.67,*/,*/,*/,*/
....Rizal,Turkey for Dressing,..,..,..,..,..,..,300.00,..,..,300.00,..,300.00,..,240.00,270.00,240.00,*/,*/,*/,*/
....Rizal,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,1.50,1.55,*/,*/,*/,*/
..MIMAROPA REGION,Horse for Slaughter,..,..,210.00,..,210.00,..,220.00,180.00,250.00,231.67,244.36,280.00,250.00,253.33,256.92,280.00,*/,*/,*/,*/
..MIMAROPA REGION,Rabbit for Slaughter,..,..,..,250.00,250.00,..,300.00,300.00,300.00,300.00,325.00,265.26,280.87,274.82,286.49,325.00,*/,*/,*/,*/
..MIMAROPA REGION,Sheep for Slaughter,..,..,..,..,..,180.00,..,200.00,200.00,193.33,186.67,243.33,226.67,226.67,220.83,212.65,*/,*/,*/,*/
..MIMAROPA REGION,Goose for Dressing,..,..,..,..,..,..,..,150.00,..,150.00,200.00,227.71,236.34,231.38,223.86,243.33,*/,*/,*/,*/
..MIMAROPA REGION,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,100.00,107.74,106.67,108.33,105.68,109.87,*/,*/,*/,*/
..MIMAROPA REGION,Turkey for Dressing,..,..,..,..,..,250.00,268.14,..,..,259.07,246.50,250.00,256.65,261.02,253.54,328.09,*/,*/,*/,*/
..MIMAROPA REGION,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.32,1.53,1.37,1.41,1.35,*/,*/,*/,*/
....Marinduque,Horse for Slaughter,..,..,210.00,..,210.00,..,220.00,250.00,250.00,240.00,280.00,280.00,250.00,253.33,265.83,280.00,*/,*/,*/,*/
....Marinduque,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Marinduque,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,200.00,*/,*/,*/,*/
....Marinduque,Goose for Dressing,..,..,..,..,..,..,..,150.00,..,150.00,200.00,202.50,200.00,190.00,198.13,..,*/,*/,*/,*/
....Marinduque,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Marinduque,Turkey for Dressing,..,..,..,..,..,..,200.00,..,..,200.00,240.00,250.00,200.00,200.00,222.50,240.00,*/,*/,*/,*/
....Marinduque,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Occidental Mindoro,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,300.00,*/,*/,*/,*/
....Occidental Mindoro,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Horse for Slaughter,..,..,..,..,..,..,..,200.00,..,200.00,229.67,..,..,..,229.67,..,*/,*/,*/,*/
....Oriental Mindoro,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,325.00,356.67,356.67,360.00,349.58,325.00,*/,*/,*/,*/
....Oriental Mindoro,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Oriental Mindoro,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,110.00,150.00,..,..,130.00,110.00,*/,*/,*/,*/
....Oriental Mindoro,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,240.00,250.00,300.00,300.00,272.50,276.67,*/,*/,*/,*/
....Oriental Mindoro,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.60,1.60,1.60,1.60,1.70,*/,*/,*/,*/
....Palawan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Palawan,Rabbit for Slaughter,..,..,..,250.00,250.00,..,300.00,300.00,300.00,300.00,..,293.33,306.67,270.00,290.00,..,*/,*/,*/,*/
....Palawan,Sheep for Slaughter,..,..,..,..,..,180.00,..,200.00,200.00,193.33,186.67,243.33,226.67,226.67,220.83,213.33,*/,*/,*/,*/
....Palawan,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,200.00,230.00,236.67,236.67,225.83,243.33,*/,*/,*/,*/
....Palawan,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,100.00,101.67,106.67,108.33,104.17,109.33,*/,*/,*/,*/
....Palawan,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,230.00,250.00,246.67,250.00,244.17,250.00,*/,*/,*/,*/
....Palawan,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.25,1.25,1.25,1.25,1.28,*/,*/,*/,*/
....Romblon,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,160.00,180.00,185.00,175.00,..,*/,*/,*/,*/
....Romblon,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Turkey for Dressing,..,..,..,..,..,250.00,300.00,..,..,275.00,250.00,250.00,250.00,250.00,250.00,350.00,*/,*/,*/,*/
....Romblon,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,160.00,180.00,185.00,175.00,..,*/,*/,*/,*/
....City of Puerto Princesa,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Turkey for Dressing,..,..,..,..,..,250.00,300.00,..,..,275.00,250.00,250.00,250.00,250.00,250.00,..,*/,*/,*/,*/
....City of Puerto Princesa,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION V (BICOL REGION),Horse for Slaughter,..,..,..,..,..,..,..,265.00,..,265.00,155.00,240.45,190.09,163.33,187.22,160.00,*/,*/,*/,*/
..REGION V (BICOL REGION),Rabbit for Slaughter,..,..,..,..,..,..,300.00,..,..,300.00,332.27,321.93,204.90,200.00,264.78,219.68,*/,*/,*/,*/
..REGION V (BICOL REGION),Sheep for Slaughter,..,..,..,..,..,..,153.33,150.00,150.00,151.11,250.00,194.00,201.67,205.00,212.67,205.00,*/,*/,*/,*/
..REGION V (BICOL REGION),Goose for Dressing,..,..,..,..,..,..,250.00,..,250.00,250.00,..,..,249.11,210.69,229.90,196.37,*/,*/,*/,*/
..REGION V (BICOL REGION),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,149.17,180.00,144.59,140.94,90.00,*/,*/,*/,*/
..REGION V (BICOL REGION),Turkey for Dressing,250.00,300.00,..,250.00,266.67,..,245.00,..,285.03,265.02,300.00,250.00,229.46,290.91,267.59,287.16,*/,*/,*/,*/
..REGION V (BICOL REGION),Quail Egg,..,..,..,..,..,..,..,..,1.82,1.82,2.00,1.99,1.77,1.73,1.87,1.71,*/,*/,*/,*/
....Albay,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,100.00,150.00,..,..,125.00,120.00,*/,*/,*/,*/
....Albay,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,90.00,..,90.00,90.00,90.00,*/,*/,*/,*/
....Albay,Turkey for Dressing,..,..,..,..,..,..,500.00,..,300.00,400.00,..,..,300.00,300.00,300.00,350.00,*/,*/,*/,*/
....Albay,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,1.70,*/,*/,*/,*/
....Camarines Norte,Horse for Slaughter,..,..,..,..,..,..,..,350.00,..,350.00,..,296.67,300.00,..,298.33,..,*/,*/,*/,*/
....Camarines Norte,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,333.33,200.00,..,266.67,156.67,*/,*/,*/,*/
....Camarines Norte,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Norte,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,250.00,200.00,225.00,186.67,*/,*/,*/,*/
....Camarines Norte,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,90.00,150.00,180.00,163.33,145.83,..,*/,*/,*/,*/
....Camarines Norte,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,250.00,193.33,221.67,..,*/,*/,*/,*/
....Camarines Norte,Quail Egg,..,..,..,..,..,..,..,..,1.82,1.82,2.00,2.00,1.42,2.00,1.85,1.50,*/,*/,*/,*/
....Camarines Sur,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Sur,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,300.00,*/,*/,*/,*/
....Camarines Sur,Sheep for Slaughter,..,..,..,..,..,..,153.33,150.00,150.00,151.11,..,180.00,..,..,180.00,..,*/,*/,*/,*/
....Camarines Sur,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,200.00,..,200.00,200.00,*/,*/,*/,*/
....Camarines Sur,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Sur,Turkey for Dressing,..,..,..,..,..,..,200.00,..,280.00,240.00,300.00,250.00,..,300.00,283.33,250.00,*/,*/,*/,*/
....Camarines Sur,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.25,*/,*/,*/,*/
....Catanduanes,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Turkey for Dressing,..,300.00,..,..,300.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Masbate,Horse for Slaughter,..,..,..,..,..,..,..,180.00,..,180.00,155.00,211.00,163.33,163.33,173.17,160.00,*/,*/,*/,*/
....Masbate,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,200.00,200.00,200.00,200.00,*/,*/,*/,*/
....Masbate,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,250.00,250.00,201.67,205.00,226.67,205.00,*/,*/,*/,*/
....Masbate,Goose for Dressing,..,..,..,..,..,..,250.00,..,250.00,250.00,..,..,..,236.67,236.67,..,*/,*/,*/,*/
....Masbate,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Masbate,Turkey for Dressing,250.00,..,..,250.00,250.00,..,280.00,..,280.00,280.00,..,..,200.00,225.00,212.50,..,*/,*/,*/,*/
....Masbate,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,2.00,*/,*/,*/,*/
....Sorsogon,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Rabbit for Slaughter,..,..,..,..,..,..,300.00,..,..,300.00,350.00,300.00,250.00,230.00,282.50,200.00,*/,*/,*/,*/
....Sorsogon,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Horse for Slaughter,..,..,285.00,..,285.00,..,..,..,..,130.00,100.00,..,..,..,100.00,..,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Rabbit for Slaughter,..,341.02,250.00,300.00,297.01,275.00,355.00,355.83,286.00,317.96,279.85,224.33,280.31,261.91,261.60,285.74,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Sheep for Slaughter,..,..,..,300.00,300.00,370.00,..,250.00,250.00,290.00,400.00,450.00,351.67,350.00,387.92,400.00,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Goose for Dressing,..,..,180.00,..,180.00,500.00,180.00,300.00,300.00,320.00,192.48,322.94,446.70,361.84,330.99,286.46,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Quail for Dressing,..,..,15.00,..,15.00,..,..,..,..,..,110.00,144.28,176.34,175.86,151.62,165.28,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Turkey for Dressing,322.35,627.86,..,300.00,416.74,400.00,281.59,275.11,287.00,310.92,342.06,323.07,439.15,379.02,370.82,334.56,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Quail Egg,..,..,..,..,..,1.80,..,..,2.00,1.90,1.90,1.86,1.93,1.97,1.91,2.08,*/,*/,*/,*/
....Aklan,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aklan,Rabbit for Slaughter,..,350.00,..,300.00,325.00,..,250.00,500.00,300.00,350.00,143.33,192.00,350.00,350.00,258.83,350.00,*/,*/,*/,*/
....Aklan,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Aklan,Goose for Dressing,..,..,..,..,..,..,..,..,250.00,250.00,..,300.00,500.00,350.00,383.33,230.75,*/,*/,*/,*/
....Aklan,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,80.00,150.00,130.00,120.00,130.00,*/,*/,*/,*/
....Aklan,Turkey for Dressing,..,..,..,..,..,..,..,300.00,250.00,275.00,350.00,300.00,500.00,400.00,387.50,320.00,*/,*/,*/,*/
....Aklan,Quail Egg,..,..,..,..,..,..,..,..,2.00,2.00,2.00,1.50,2.00,2.00,1.88,2.50,*/,*/,*/,*/
....Antique,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Antique,Rabbit for Slaughter,..,..,..,350.00,350.00,..,260.00,240.00,230.00,243.33,223.33,236.67,220.00,213.33,223.33,193.33,*/,*/,*/,*/
....Antique,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Antique,Goose for Dressing,..,..,..,..,..,..,..,..,300.00,300.00,150.00,800.00,180.00,246.67,344.17,256.67,*/,*/,*/,*/
....Antique,Quail for Dressing,..,..,15.00,..,15.00,..,..,..,..,..,110.00,110.00,186.67,111.67,129.58,113.33,*/,*/,*/,*/
....Antique,Turkey for Dressing,..,..,..,..,..,..,200.00,220.00,200.00,206.67,280.00,250.00,286.67,261.67,269.58,286.67,*/,*/,*/,*/
....Antique,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,2.50,1.93,2.17,2.20,2.17,*/,*/,*/,*/
....Capiz,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Capiz,Rabbit for Slaughter,..,..,..,..,..,..,500.00,600.00,350.00,483.33,425.00,452.50,250.00,247.33,343.71,243.33,*/,*/,*/,*/
....Capiz,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Capiz,Goose for Dressing,..,..,..,..,..,500.00,..,..,..,500.00,200.00,500.00,440.00,373.33,378.33,373.33,*/,*/,*/,*/
....Capiz,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,155.00,185.00,191.67,177.22,191.67,*/,*/,*/,*/
....Capiz,Turkey for Dressing,..,..,..,..,..,..,444.44,200.09,..,322.27,300.00,420.00,398.33,391.67,377.50,391.67,*/,*/,*/,*/
....Capiz,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.78,1.78,1.82,1.88,1.81,1.90,*/,*/,*/,*/
....Guimaras,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,100.00,..,..,..,100.00,..,*/,*/,*/,*/
....Guimaras,Rabbit for Slaughter,..,..,250.00,200.00,225.00,250.00,220.00,250.00,250.00,242.50,400.00,220.00,250.00,250.00,280.00,250.00,*/,*/,*/,*/
....Guimaras,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Guimaras,Goose for Dressing,..,..,..,..,..,..,..,200.00,..,200.00,150.00,..,250.00,250.00,216.67,250.00,*/,*/,*/,*/
....Guimaras,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,100.00,100.00,100.00,*/,*/,*/,*/
