Geolocation,Type,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
....Romblon,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Romblon,Turkey for Dressing,250.00,..,250.00,250.00,250.00,350.00,*/,*/,*/,*/
....Romblon,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Sheep for Slaughter,..,..,..,..,..,210.67,*/,*/,*/,*/
....City of Puerto Princesa,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Puerto Princesa,Turkey for Dressing,..,..,..,..,..,233.33,*/,*/,*/,*/
....City of Puerto Princesa,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
..REGION V (BICOL REGION),Horse for Slaughter,155.00,240.45,190.09,163.84,187.35,154.89,*/,*/,*/,*/
..REGION V (BICOL REGION),Rabbit for Slaughter,332.27,321.93,204.90,200.00,264.78,219.68,*/,*/,*/,*/
..REGION V (BICOL REGION),Sheep for Slaughter,250.00,194.00,201.67,206.07,212.93,205.00,*/,*/,*/,*/
..REGION V (BICOL REGION),Goose for Dressing,..,..,249.11,210.69,229.90,196.37,*/,*/,*/,*/
..REGION V (BICOL REGION),Quail for Dressing,90.00,148.66,119.86,107.36,116.47,99.29,*/,*/,*/,*/
..REGION V (BICOL REGION),Turkey for Dressing,300.00,..,229.46,290.91,273.46,287.16,*/,*/,*/,*/
..REGION V (BICOL REGION),Quail Egg,2.00,1.73,1.64,1.63,1.75,1.70,*/,*/,*/,*/
....Albay,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Rabbit for Slaughter,100.00,150.00,..,..,125.00,120.00,*/,*/,*/,*/
....Albay,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Albay,Quail for Dressing,90.00,90.00,100.00,99.52,94.88,99.29,*/,*/,*/,*/
....Albay,Turkey for Dressing,..,..,300.00,300.00,300.00,350.00,*/,*/,*/,*/
....Albay,Quail Egg,2.00,1.65,1.66,1.64,1.74,1.70,*/,*/,*/,*/
....Camarines Norte,Horse for Slaughter,..,296.67,300.00,..,298.33,..,*/,*/,*/,*/
....Camarines Norte,Rabbit for Slaughter,..,333.33,200.00,..,266.67,156.67,*/,*/,*/,*/
....Camarines Norte,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Norte,Goose for Dressing,..,..,250.00,200.00,225.00,186.67,*/,*/,*/,*/
....Camarines Norte,Quail for Dressing,90.00,150.00,180.00,163.33,145.83,..,*/,*/,*/,*/
....Camarines Norte,Turkey for Dressing,..,..,250.00,193.33,221.67,..,*/,*/,*/,*/
....Camarines Norte,Quail Egg,2.00,2.00,1.42,2.00,1.85,1.50,*/,*/,*/,*/
....Camarines Sur,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Sur,Rabbit for Slaughter,..,..,..,..,..,300.00,*/,*/,*/,*/
....Camarines Sur,Sheep for Slaughter,..,180.00,..,..,180.00,..,*/,*/,*/,*/
....Camarines Sur,Goose for Dressing,..,..,200.00,..,200.00,200.00,*/,*/,*/,*/
....Camarines Sur,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Camarines Sur,Turkey for Dressing,300.00,250.00,..,300.00,283.33,250.00,*/,*/,*/,*/
....Camarines Sur,Quail Egg,..,..,..,..,..,1.25,*/,*/,*/,*/
....Catanduanes,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Catanduanes,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Masbate,Horse for Slaughter,155.00,211.00,163.33,163.84,173.29,154.89,*/,*/,*/,*/
....Masbate,Rabbit for Slaughter,..,..,200.00,200.00,200.00,200.00,*/,*/,*/,*/
....Masbate,Sheep for Slaughter,250.00,250.00,201.67,206.07,226.93,205.00,*/,*/,*/,*/
....Masbate,Goose for Dressing,..,..,..,236.67,236.67,..,*/,*/,*/,*/
....Masbate,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Masbate,Turkey for Dressing,..,..,200.00,225.00,212.50,..,*/,*/,*/,*/
....Masbate,Quail Egg,..,1.50,1.50,1.50,1.50,2.00,*/,*/,*/,*/
....Sorsogon,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Rabbit for Slaughter,350.00,300.00,250.00,230.00,282.50,200.00,*/,*/,*/,*/
....Sorsogon,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sorsogon,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Horse for Slaughter,100.00,..,..,..,100.00,..,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Rabbit for Slaughter,254.37,225.11,280.41,261.81,255.43,282.62,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Sheep for Slaughter,433.14,280.88,358.08,387.25,364.84,429.63,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Goose for Dressing,192.48,..,446.31,361.72,333.50,286.29,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Quail for Dressing,110.00,146.19,175.05,166.20,149.36,165.28,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Turkey for Dressing,342.06,328.01,439.15,379.02,372.06,334.49,*/,*/,*/,*/
..REGION VI (WESTERN VISAYAS),Quail Egg,1.95,1.90,1.95,1.98,1.95,2.09,*/,*/,*/,*/
....Aklan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Aklan,Rabbit for Slaughter,143.33,192.00,350.00,350.00,258.83,350.00,*/,*/,*/,*/
....Aklan,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Aklan,Goose for Dressing,..,300.00,500.00,350.00,383.33,230.75,*/,*/,*/,*/
....Aklan,Quail for Dressing,..,122.99,150.00,127.90,133.63,130.00,*/,*/,*/,*/
....Aklan,Turkey for Dressing,350.00,300.00,500.00,400.00,387.50,319.92,*/,*/,*/,*/
....Aklan,Quail Egg,2.00,1.73,2.00,2.00,1.93,2.50,*/,*/,*/,*/
....Antique,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Antique,Rabbit for Slaughter,223.39,245.56,221.17,213.25,225.84,188.38,*/,*/,*/,*/
....Antique,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Antique,Goose for Dressing,150.00,..,180.00,246.67,192.22,256.67,*/,*/,*/,*/
....Antique,Quail for Dressing,110.00,..,186.67,111.67,136.11,113.33,*/,*/,*/,*/
....Antique,Turkey for Dressing,280.00,..,286.67,261.67,276.11,286.67,*/,*/,*/,*/
....Antique,Quail Egg,..,..,1.93,2.17,2.05,2.17,*/,*/,*/,*/
....Capiz,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Capiz,Rabbit for Slaughter,425.00,452.50,250.00,247.33,343.71,243.33,*/,*/,*/,*/
....Capiz,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Capiz,Goose for Dressing,200.00,500.00,440.00,373.33,378.33,373.33,*/,*/,*/,*/
....Capiz,Quail for Dressing,..,155.00,185.00,191.67,177.22,191.67,*/,*/,*/,*/
....Capiz,Turkey for Dressing,300.00,420.00,398.33,391.67,377.50,391.67,*/,*/,*/,*/
....Capiz,Quail Egg,1.78,1.78,1.82,1.88,1.81,1.90,*/,*/,*/,*/
....Guimaras,Horse for Slaughter,100.00,..,..,..,100.00,..,*/,*/,*/,*/
....Guimaras,Rabbit for Slaughter,400.00,220.00,250.00,250.00,280.00,250.00,*/,*/,*/,*/
....Guimaras,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Guimaras,Goose for Dressing,150.00,..,250.00,250.00,216.67,250.00,*/,*/,*/,*/
....Guimaras,Quail for Dressing,..,..,..,100.00,100.00,100.00,*/,*/,*/,*/
....Guimaras,Turkey for Dressing,350.00,..,350.00,350.00,350.00,383.33,*/,*/,*/,*/
....Guimaras,Quail Egg,2.00,..,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Iloilo,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Iloilo,Rabbit for Slaughter,..,243.33,245.00,245.00,244.44,245.00,*/,*/,*/,*/
....Iloilo,Sheep for Slaughter,433.14,280.88,358.08,387.25,364.84,429.63,*/,*/,*/,*/
....Iloilo,Goose for Dressing,..,..,288.33,294.09,291.21,288.79,*/,*/,*/,*/
....Iloilo,Quail for Dressing,..,151.82,151.76,151.15,151.58,155.00,*/,*/,*/,*/
....Iloilo,Turkey for Dressing,358.33,..,281.67,285.00,308.33,300.00,*/,*/,*/,*/
....Iloilo,Quail Egg,2.17,2.00,2.00,2.00,2.04,2.03,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Horse for Slaughter,239.22,130.00,127.26,127.92,156.10,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Rabbit for Slaughter,300.00,300.00,355.65,300.00,313.91,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Sheep for Slaughter,246.22,250.00,227.14,236.86,240.06,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Goose for Dressing,163.77,160.68,109.84,179.25,153.39,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Quail for Dressing,116.53,..,122.37,121.56,120.15,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Turkey for Dressing,300.00,296.98,281.72,294.88,293.39,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Quail Egg,1.80,..,1.87,1.85,1.84,..,*/,*/,*/,*/
....Negros Occidental a/,Horse for Slaughter,130.00,130.00,130.00,130.00,130.00,136.57,*/,*/,*/,*/
....Negros Occidental a/,Rabbit for Slaughter,300.00,300.00,300.00,300.00,300.00,299.63,*/,*/,*/,*/
....Negros Occidental a/,Sheep for Slaughter,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Negros Occidental a/,Goose for Dressing,180.00,180.00,180.00,180.00,180.00,177.95,*/,*/,*/,*/
....Negros Occidental a/,Quail for Dressing,100.00,100.00,100.00,100.00,100.00,110.99,*/,*/,*/,*/
....Negros Occidental a/,Turkey for Dressing,300.00,300.00,300.00,300.00,300.00,222.97,*/,*/,*/,*/
....Negros Occidental a/,Quail Egg,1.80,1.80,1.80,2.00,1.85,2.34,*/,*/,*/,*/
....Negros Oriental b/,Horse for Slaughter,117.00,..,101.67,103.33,107.33,130.00,*/,*/,*/,*/
....Negros Oriental b/,Rabbit for Slaughter,..,..,375.00,..,375.00,300.00,*/,*/,*/,*/
....Negros Oriental b/,Sheep for Slaughter,170.00,..,170.00,235.00,191.67,250.00,*/,*/,*/,*/
....Negros Oriental b/,Goose for Dressing,150.00,150.00,100.00,180.00,145.00,180.00,*/,*/,*/,*/
....Negros Oriental b/,Quail for Dressing,180.00,130.00,177.00,180.00,166.75,100.00,*/,*/,*/,*/
....Negros Oriental b/,Turkey for Dressing,300.00,225.00,286.54,275.00,271.64,300.00,*/,*/,*/,*/
....Negros Oriental b/,Quail Egg,..,2.50,2.42,2.53,2.48,2.00,*/,*/,*/,*/
....Siquijor b/,Horse for Slaughter,300.00,..,..,..,300.00,145.00,*/,*/,*/,*/
....Siquijor b/,Rabbit for Slaughter,..,..,..,..,..,75.00,*/,*/,*/,*/
....Siquijor b/,Sheep for Slaughter,..,..,..,..,..,250.00,*/,*/,*/,*/
....Siquijor b/,Goose for Dressing,180.00,160.00,160.00,160.00,165.00,176.67,*/,*/,*/,*/
....Siquijor b/,Quail for Dressing,..,..,..,..,..,186.67,*/,*/,*/,*/
....Siquijor b/,Turkey for Dressing,..,180.00,180.00,180.00,180.00,173.02,*/,*/,*/,*/
....Siquijor b/,Quail Egg,..,1.50,1.50,1.50,1.50,2.58,*/,*/,*/,*/
....City of Bacolod,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Rabbit for Slaughter,..,175.00,116.00,116.00,135.67,150.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Sheep for Slaughter,150.00,150.00,..,200.00,166.67,200.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Goose for Dressing,..,..,..,..,..,200.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Quail for Dressing,150.00,..,220.00,166.00,178.67,150.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Turkey for Dressing,350.00,..,175.52,350.00,291.84,350.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Quail Egg,2.50,..,2.18,2.98,2.55,2.84,*/,*/,*/,*/
....Bohol,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Rabbit for Slaughter,..,175.00,116.00,116.00,135.67,..,*/,*/,*/,*/
....Bohol,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Quail for Dressing,..,..,220.00,166.00,193.00,..,*/,*/,*/,*/
....Bohol,Turkey for Dressing,..,..,150.00,..,150.00,..,*/,*/,*/,*/
....Bohol,Quail Egg,2.50,..,2.00,2.40,2.30,2.50,*/,*/,*/,*/
....Cebu,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Cebu,Rabbit for Slaughter,..,..,..,..,..,150.00,*/,*/,*/,*/
....Cebu,Sheep for Slaughter,150.00,150.00,..,200.00,166.67,200.00,*/,*/,*/,*/
....Cebu,Goose for Dressing,..,150.00,..,..,150.00,200.00,*/,*/,*/,*/
....Cebu,Quail for Dressing,150.00,40.00,..,..,95.00,150.00,*/,*/,*/,*/
....Cebu,Turkey for Dressing,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Cebu,Quail Egg,2.50,2.50,2.20,3.00,2.55,3.00,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Horse for Slaughter,140.00,250.00,..,180.00,190.00,..,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Rabbit for Slaughter,180.32,193.81,156.53,245.94,194.15,175.16,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Sheep for Slaughter,168.00,170.02,180.00,180.00,174.51,179.56,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Goose for Dressing,180.58,204.04,192.77,193.03,192.61,203.69,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Quail for Dressing,135.00,143.68,149.71,150.00,144.60,149.75,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Turkey for Dressing,253.71,279.48,206.09,280.28,254.89,343.71,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Quail Egg,2.25,..,2.00,2.48,2.24,2.48,*/,*/,*/,*/
....Biliran,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Sheep for Slaughter,..,..,..,..,..,160.00,*/,*/,*/,*/
....Biliran,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Eastern Samar,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Eastern Samar,Rabbit for Slaughter,180.00,150.00,155.00,155.00,160.00,180.00,*/,*/,*/,*/
....Eastern Samar,Sheep for Slaughter,..,200.00,..,..,200.00,..,*/,*/,*/,*/
....Eastern Samar,Goose for Dressing,180.00,..,200.00,200.00,193.33,200.00,*/,*/,*/,*/
....Eastern Samar,Quail for Dressing,..,..,..,150.00,150.00,150.00,*/,*/,*/,*/
....Eastern Samar,Turkey for Dressing,250.00,..,200.00,200.00,216.67,200.00,*/,*/,*/,*/
....Eastern Samar,Quail Egg,2.00,..,2.00,2.00,2.00,..,*/,*/,*/,*/
....Leyte,Horse for Slaughter,..,250.00,..,..,250.00,..,*/,*/,*/,*/
....Leyte,Rabbit for Slaughter,..,..,155.00,155.00,155.00,155.00,*/,*/,*/,*/
....Leyte,Sheep for Slaughter,168.00,169.39,180.00,180.00,174.35,180.30,*/,*/,*/,*/
....Leyte,Goose for Dressing,..,..,150.00,150.00,150.00,..,*/,*/,*/,*/
....Leyte,Quail for Dressing,..,143.33,150.00,150.00,147.78,150.00,*/,*/,*/,*/
....Leyte,Turkey for Dressing,..,..,420.00,420.00,420.00,420.00,*/,*/,*/,*/
....Leyte,Quail Egg,2.50,2.00,2.00,2.50,2.25,2.50,*/,*/,*/,*/
....Northern Samar,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Rabbit for Slaughter,200.00,200.00,..,..,200.00,..,*/,*/,*/,*/
....Northern Samar,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Goose for Dressing,..,..,..,..,..,220.00,*/,*/,*/,*/
....Northern Samar,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Turkey for Dressing,..,..,..,..,..,280.00,*/,*/,*/,*/
....Northern Samar,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Rabbit for Slaughter,..,240.00,..,355.00,297.50,..,*/,*/,*/,*/
....Samar,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Goose for Dressing,..,250.00,..,..,250.00,..,*/,*/,*/,*/
....Samar,Quail for Dressing,..,150.00,..,..,150.00,..,*/,*/,*/,*/
....Samar,Turkey for Dressing,..,250.00,350.00,355.00,318.33,353.33,*/,*/,*/,*/
....Samar,Quail Egg,..,2.00,..,2.50,2.25,..,*/,*/,*/,*/
....Southern Leyte,Horse for Slaughter,140.00,..,..,180.00,160.00,..,*/,*/,*/,*/
....Southern Leyte,Rabbit for Slaughter,..,..,195.00,195.00,195.00,200.00,*/,*/,*/,*/
....Southern Leyte,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Southern Leyte,Goose for Dressing,220.00,..,200.00,200.00,206.67,200.00,*/,*/,*/,*/
....Southern Leyte,Quail for Dressing,135.00,..,125.00,..,130.00,137.50,*/,*/,*/,*/
....Southern Leyte,Turkey for Dressing,300.00,..,270.00,260.00,276.67,280.00,*/,*/,*/,*/
....Southern Leyte,Quail Egg,2.00,..,2.00,2.00,2.00,2.00,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Horse for Slaughter,155.69,90.00,77.78,90.56,103.51,138.44,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Rabbit for Slaughter,136.47,83.32,89.61,98.30,101.93,120.02,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Sheep for Slaughter,258.24,251.10,237.50,250.38,249.30,271.54,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Goose for Dressing,269.65,..,276.10,224.12,256.62,192.18,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Quail for Dressing,137.46,70.16,100.00,91.67,99.82,118.46,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Turkey for Dressing,373.70,342.47,449.95,479.14,411.32,368.49,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Quail Egg,2.16,2.03,2.05,2.00,2.06,2.36,*/,*/,*/,*/
....Sulu d/,Horse for Slaughter,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Rabbit for Slaughter,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Sheep for Slaughter,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Goose for Dressing,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Quail for Dressing,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Turkey for Dressing,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Quail Egg,......,......,......,......,......,..,*/,*/,*/,*/
....Zamboanga del Norte,Horse for Slaughter,165.00,75.00,70.00,70.00,95.00,146.67,*/,*/,*/,*/
....Zamboanga del Norte,Rabbit for Slaughter,130.00,80.00,82.00,80.00,93.00,80.00,*/,*/,*/,*/
....Zamboanga del Norte,Sheep for Slaughter,290.00,280.00,280.00,284.31,283.58,300.00,*/,*/,*/,*/
....Zamboanga del Norte,Goose for Dressing,300.00,250.00,250.00,250.00,262.50,250.00,*/,*/,*/,*/
....Zamboanga del Norte,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Zamboanga del Norte,Turkey for Dressing,350.00,300.00,528.00,500.00,419.50,383.33,*/,*/,*/,*/
....Zamboanga del Norte,Quail Egg,2.00,2.00,2.00,2.00,2.00,2.50,*/,*/,*/,*/
....Zamboanga del Sur,Horse for Slaughter,150.00,125.00,75.00,75.00,106.25,113.00,*/,*/,*/,*/
....Zamboanga del Sur,Rabbit for Slaughter,87.50,110.00,107.57,110.00,103.77,93.96,*/,*/,*/,*/
....Zamboanga del Sur,Sheep for Slaughter,230.00,250.00,250.00,240.00,242.50,230.00,*/,*/,*/,*/
....Zamboanga del Sur,Goose for Dressing,300.00,400.00,380.00,966.67,511.67,300.00,*/,*/,*/,*/
....Zamboanga del Sur,Quail for Dressing,130.00,60.00,..,80.00,90.00,130.00,*/,*/,*/,*/
....Zamboanga del Sur,Turkey for Dressing,400.00,377.54,500.00,1400.00,669.39,400.00,*/,*/,*/,*/
....Zamboanga del Sur,Quail Egg,2.50,2.00,2.00,2.00,2.13,2.00,*/,*/,*/,*/
....Zamboanga Sibugay,Horse for Slaughter,175.00,..,120.00,122.50,139.17,150.00,*/,*/,*/,*/
....Zamboanga Sibugay,Rabbit for Slaughter,250.00,90.00,100.00,100.00,135.00,120.00,*/,*/,*/,*/
....Zamboanga Sibugay,Sheep for Slaughter,190.00,200.00,220.00,223.33,208.33,230.00,*/,*/,*/,*/
....Zamboanga Sibugay,Goose for Dressing,200.00,190.00,150.00,150.00,172.50,190.00,*/,*/,*/,*/
....Zamboanga Sibugay,Quail for Dressing,150.00,88.70,100.00,100.00,109.68,112.67,*/,*/,*/,*/
....Zamboanga Sibugay,Turkey for Dressing,300.00,383.33,300.00,450.00,358.33,450.00,*/,*/,*/,*/
....Zamboanga Sibugay,Quail Egg,2.00,2.15,2.04,2.00,2.05,2.00,*/,*/,*/,*/
....City of Zamboanga,Horse for Slaughter,1/,..,..,..,..,180.00,*/,*/,*/,*/
....City of Zamboanga,Rabbit for Slaughter,1/,..,96.67,..,96.67,166.67,*/,*/,*/,*/
....City of Zamboanga,Sheep for Slaughter,1/,250.00,229.34,242.94,240.76,..,*/,*/,*/,*/
....City of Zamboanga,Goose for Dressing,1/,..,..,..,..,143.33,*/,*/,*/,*/
....City of Zamboanga,Quail for Dressing,1/,66.41,..,100.00,83.21,..,*/,*/,*/,*/
....City of Zamboanga,Turkey for Dressing,1/,..,350.00,350.00,350.00,270.00,*/,*/,*/,*/
....City of Zamboanga,Quail Egg,1/,2.00,2.00,2.00,2.00,3.00,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Horse for Slaughter,138.94,145.79,187.71,164.42,159.21,182.22,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Rabbit for Slaughter,347.06,292.29,286.53,275.71,300.40,350.62,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Sheep for Slaughter,243.67,295.01,299.92,277.31,278.98,238.10,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Goose for Dressing,208.46,..,238.10,227.22,224.59,229.99,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Quail for Dressing,205.08,..,210.00,211.04,208.71,210.81,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Turkey for Dressing,392.82,..,491.62,416.20,433.55,440.11,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Quail Egg,2.29,..,2.45,2.29,2.34,2.40,*/,*/,*/,*/
....Bukidnon,Horse for Slaughter,150.00,150.00,150.00,150.00,150.00,150.00,*/,*/,*/,*/
....Bukidnon,Rabbit for Slaughter,300.00,300.00,300.00,300.00,300.00,250.00,*/,*/,*/,*/
....Bukidnon,Sheep for Slaughter,242.80,300.00,300.00,300.00,285.70,238.24,*/,*/,*/,*/
....Bukidnon,Goose for Dressing,206.67,..,206.67,206.67,206.67,200.00,*/,*/,*/,*/
....Bukidnon,Quail for Dressing,200.00,..,210.00,210.00,206.67,210.00,*/,*/,*/,*/
....Bukidnon,Turkey for Dressing,483.33,..,483.33,483.33,483.33,500.00,*/,*/,*/,*/
....Bukidnon,Quail Egg,2.50,..,2.50,2.50,2.50,2.50,*/,*/,*/,*/
....Camiguin,Horse for Slaughter,100.00,..,150.00,200.00,150.00,200.00,*/,*/,*/,*/
....Camiguin,Rabbit for Slaughter,250.00,250.85,250.00,250.23,250.27,225.00,*/,*/,*/,*/
....Camiguin,Sheep for Slaughter,450.00,350.00,..,320.00,373.33,..,*/,*/,*/,*/
....Camiguin,Goose for Dressing,..,200.00,200.00,200.00,200.00,220.00,*/,*/,*/,*/
....Camiguin,Quail for Dressing,200.00,30.00,..,240.00,156.67,240.00,*/,*/,*/,*/
....Camiguin,Turkey for Dressing,600.00,600.00,600.00,600.00,600.00,600.00,*/,*/,*/,*/
....Camiguin,Quail Egg,3.00,3.00,3.00,3.00,3.00,3.00,*/,*/,*/,*/
....Lanao del Norte,Horse for Slaughter,186.67,190.00,190.00,190.00,189.17,185.00,*/,*/,*/,*/
....Lanao del Norte,Rabbit for Slaughter,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Lanao del Norte,Sheep for Slaughter,240.00,240.00,240.00,243.33,240.83,240.00,*/,*/,*/,*/
....Lanao del Norte,Goose for Dressing,255.00,..,255.00,255.00,255.00,255.00,*/,*/,*/,*/
