Geolocation,Type,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
....Tarlac,Carabao for Slaughter,280.00,280.00,280.00,219.45,219.99,219.50,219.00,220.00,220.00,221.00,221.00,222.00,235.16,240.00,240.00,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Cattle for Slaughter,300.00,300.00,300.00,279.62,301.20,279.70,290.00,290.00,291.00,291.00,295.00,295.00,292.71,295.00,303.00,303.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Goat for Slaughter,260.03,260.07,260.07,280.76,280.90,300.18,250.41,257.96,348.02,311.96,300.03,300.03,284.20,332.46,317.87,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Hog for Slaughter,228.75,219.98,217.05,225.35,226.81,226.81,177.78,197.90,197.62,187.28,178.72,212.93,208.08,180.81,176.33,174.80,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Broiler Chicken,108.82,111.52,114.58,111.41,116.16,126.55,110.01,115.87,120.20,124.47,123.84,127.97,117.62,108.03,109.48,97.47,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Gamefowl for Other Purposes,3050.58,2949.42,3101.16,3118.23,3603.45,3603.45,6990.75,7989.31,7991.38,3002.91,3004.37,3004.37,4284.11,3131.49,3131.49,3500.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Gamefowl for Dressing,200.02,200.02,200.02,219.99,219.99,219.99,210.00,210.00,210.00,210.00,210.00,214.98,210.42,200.02,200.02,210.01,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Layer Chicken,76.30,81.28,88.22,82.49,83.15,83.15,71.82,72.03,80.00,80.00,95.00,95.00,82.37,108.01,72.90,78.65,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Native/Improved Chicken,199.82,199.82,199.82,236.27,234.76,202.52,230.68,216.29,213.09,225.00,225.00,230.00,217.76,199.00,199.00,199.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Duck,253.79,253.90,253.90,201.26,196.38,196.52,181.36,245.41,214.95,214.46,214.92,219.69,220.54,260.00,260.00,264.16,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,"Chicken egg, Layer",6.22,6.21,6.33,6.23,6.23,6.45,6.47,6.67,6.97,6.54,6.66,6.61,6.47,6.18,6.18,6.22,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,"Chicken egg, Native",10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,10.53,6.66,6.66,6.66,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Tarlac,Duck egg,10.40,10.45,9.93,10.06,10.10,10.16,9.86,9.92,9.69,9.86,9.88,9.97,10.02,10.83,10.78,11.04,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Carabao for Slaughter,250.00,250.00,250.00,233.33,233.33,233.33,192.31,200.00,200.00,200.00,200.00,210.00,221.03,260.00,260.00,260.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Cattle for Slaughter,250.00,250.00,250.00,257.14,257.14,257.14,230.00,230.00,230.00,237.50,240.00,240.00,244.08,223.64,217.39,220.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Goat for Slaughter,271.59,277.92,277.72,250.00,250.00,245.00,251.85,300.00,327.87,233.33,233.33,270.30,265.74,273.61,240.37,280.72,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Hog for Slaughter,218.20,233.42,254.46,234.69,237.67,241.25,194.78,188.07,184.34,198.56,197.64,201.97,215.42,194.91,194.16,202.18,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Broiler Chicken,250.00,200.00,200.00,219.97,204.98,182.50,250.00,195.00,168.67,165.04,172.52,249.93,204.88,224.99,158.51,224.99,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Gamefowl for Other Purposes,..,..,..,7000.00,7000.00,7000.00,700.00,700.00,700.00,..,..,..,3850.00,1500.00,1500.00,1500.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Gamefowl for Dressing,200.00,200.00,250.00,180.61,169.83,167.68,522.91,522.91,522.91,500.00,500.00,500.00,353.07,596.95,596.95,596.95,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Layer Chicken,65.75,66.58,67.44,82.17,82.17,82.17,132.50,132.50,132.50,201.37,208.81,196.84,120.90,83.07,83.07,85.38,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Native/Improved Chicken,172.31,169.70,164.80,154.30,158.49,153.73,195.44,207.37,206.36,193.49,193.71,194.71,180.37,210.35,203.77,201.96,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Duck,209.07,200.00,200.00,170.68,190.42,190.42,339.66,333.33,330.00,350.00,300.00,300.00,259.47,200.00,200.00,223.12,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,"Chicken egg, Layer",7.40,7.24,7.46,7.11,7.22,7.19,7.41,7.44,7.58,7.87,7.92,7.93,7.48,7.22,7.27,7.32,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,"Chicken egg, Native",..,..,..,7.00,7.00,7.00,7.00,7.25,7.25,7.00,7.25,7.25,7.11,9.13,9.13,9.12,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Zambales,Duck egg,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Carabao for Slaughter,253.01,263.26,267.73,258.68,261.92,262.36,272.42,273.01,272.42,270.03,271.24,272.76,266.57,267.84,262.72,262.90,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Cattle for Slaughter,278.18,269.59,281.72,283.68,250.73,289.40,281.03,279.50,279.96,286.07,271.18,284.48,277.96,240.93,242.25,242.34,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Goat for Slaughter,248.00,250.74,257.56,278.96,273.78,276.04,321.04,322.36,323.74,267.42,295.45,295.58,284.22,255.05,255.24,256.46,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Hog for Slaughter,220.49,229.48,230.59,232.07,232.77,234.87,208.36,200.23,201.03,186.33,180.96,189.61,212.23,174.00,174.68,177.38,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Broiler Chicken,126.90,124.46,129.20,115.08,116.00,122.60,132.30,129.45,126.74,109.69,113.31,119.17,122.08,97.26,98.67,96.62,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Gamefowl for Other Purposes,2674.06,2685.76,3624.56,3224.25,3543.31,3182.12,4442.85,4347.05,5538.04,3853.08,2620.49,2443.94,3514.96,3026.14,2988.74,3129.03,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Gamefowl for Dressing,197.96,198.64,180.00,299.08,298.93,299.07,246.11,246.10,246.08,216.36,216.36,216.36,238.42,339.57,225.59,234.92,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Layer Chicken,90.79,98.43,102.42,88.89,83.04,89.34,84.57,83.97,88.99,74.57,79.21,95.25,88.29,60.44,68.61,79.25,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Native/Improved Chicken,197.10,194.51,203.14,195.80,199.68,195.27,235.09,229.67,228.01,178.08,199.12,197.51,204.41,221.06,223.14,225.74,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Duck,186.43,180.00,177.98,149.61,150.25,149.69,158.55,158.60,155.62,176.69,172.70,167.41,165.29,166.14,166.87,165.39,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),"Chicken egg, Layer",6.39,6.43,6.51,6.26,6.28,6.39,7.03,7.08,7.11,6.67,6.69,6.74,6.63,6.77,6.75,6.78,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),"Chicken egg, Native",8.29,8.57,8.57,8.20,8.20,8.20,8.19,8.19,8.19,8.41,8.41,8.41,8.32,7.27,7.40,7.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..REGION IV-A (CALABARZON),Duck egg,8.48,8.37,8.30,8.51,8.56,8.80,8.11,8.25,8.33,8.13,8.23,8.27,8.36,7.82,7.68,7.62,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Carabao for Slaughter,260.00,280.00,250.00,250.00,260.00,262.54,260.00,265.00,260.00,250.00,250.00,250.00,258.13,280.00,250.00,250.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Cattle for Slaughter,272.24,259.63,276.30,282.32,225.73,289.79,283.55,278.67,279.51,299.73,279.81,290.00,276.44,248.87,249.00,249.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Goat for Slaughter,240.30,245.48,259.65,279.49,269.96,275.27,349.86,349.86,349.86,250.01,290.00,289.99,287.48,250.03,250.09,250.09,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Hog for Slaughter,220.97,234.28,239.98,242.27,239.38,241.70,210.80,196.82,194.13,185.31,179.21,188.59,214.45,171.86,170.51,173.37,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Broiler Chicken,125.00,116.55,120.01,114.89,115.55,122.09,140.00,129.99,126.88,100.21,96.58,110.11,118.16,95.00,91.16,93.41,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Gamefowl for Other Purposes,3464.49,3082.45,1609.73,2862.12,3327.19,2969.37,6156.48,6260.91,7991.34,4097.54,2126.15,1535.63,3790.28,3197.97,3074.98,3670.58,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Gamefowl for Dressing,170.00,180.00,180.00,200.00,200.00,200.00,214.52,214.43,213.45,200.00,200.00,200.00,197.70,209.88,229.65,166.43,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Layer Chicken,94.77,95.36,100.68,93.62,79.27,90.40,98.90,97.53,98.30,69.27,65.36,62.61,87.17,58.66,68.01,82.62,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Native/Improved Chicken,190.54,246.17,183.13,167.06,181.14,160.00,161.30,160.58,161.03,140.09,148.78,145.81,170.47,149.97,149.99,149.99,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Duck,125.00,125.00,125.00,160.00,150.00,150.00,175.00,175.00,175.00,150.00,150.00,150.00,150.83,160.00,160.00,160.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,"Chicken egg, Layer",6.34,6.40,6.45,6.25,6.27,6.42,7.07,7.11,7.14,6.63,6.66,6.71,6.62,6.83,6.83,6.88,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,"Chicken egg, Native",..,..,..,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,6.50,6.50,6.50,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Batangas,Duck egg,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,10.00,10.00,10.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Carabao for Slaughter,240.00,..,..,225.00,225.00,225.00,220.00,220.00,220.00,215.00,215.00,215.00,222.00,235.00,235.00,235.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Cattle for Slaughter,291.85,315.00,290.00,280.00,285.00,285.00,290.00,290.00,290.00,295.00,295.00,295.00,291.82,249.09,249.07,249.09,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Goat for Slaughter,..,..,264.85,250.34,250.34,250.34,260.69,260.69,260.69,280.37,280.37,280.37,263.91,220.04,219.97,233.33,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Hog for Slaughter,214.49,226.76,227.13,213.35,220.76,223.34,209.94,209.50,208.54,207.66,201.82,219.71,215.25,179.25,171.74,178.39,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Broiler Chicken,96.00,97.00,99.00,80.00,80.00,85.41,118.00,118.00,118.00,90.00,90.00,90.00,96.78,100.00,100.00,100.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Gamefowl for Other Purposes,6642.16,5608.46,8548.39,6193.47,6178.29,5358.82,2865.06,2534.14,2865.06,3652.96,4426.37,4426.37,4941.63,4096.78,5322.31,4971.77,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Gamefowl for Dressing,200.00,200.00,..,294.92,294.07,294.92,248.46,248.46,248.46,200.83,200.83,200.83,239.25,593.39,200.00,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Layer Chicken,85.94,96.78,100.12,88.81,86.49,91.31,86.14,85.69,100.81,78.03,89.17,120.00,92.44,84.13,116.91,92.37,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Native/Improved Chicken,305.00,..,..,288.64,293.17,301.00,284.29,253.36,236.41,241.44,245.40,239.14,268.78,213.04,205.12,213.70,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Duck,265.00,250.00,..,240.00,241.60,240.00,204.59,204.59,204.59,200.00,200.00,200.24,222.78,234.10,235.00,235.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,"Chicken egg, Layer",6.47,6.45,6.52,5.81,5.92,6.27,6.73,6.79,6.81,6.80,6.81,6.72,6.51,6.33,6.23,6.10,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,"Chicken egg, Native",6.00,..,..,7.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,6.30,7.01,8.56,7.40,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Cavite,Duck egg,12.00,12.00,12.00,12.00,4.68,4.68,14.00,14.00,12.56,14.00,14.00,14.00,11.66,12.89,9.35,9.35,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Carabao for Slaughter,250.00,270.00,300.00,290.00,300.00,300.00,290.00,290.00,290.00,270.00,274.77,280.00,283.73,240.00,240.00,240.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Cattle for Slaughter,266.95,267.12,268.95,279.27,284.82,289.22,280.86,290.54,291.17,240.00,239.90,239.95,269.90,230.00,230.00,230.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Goat for Slaughter,240.46,240.37,240.46,299.87,299.90,299.87,280.05,289.72,299.68,299.94,349.87,349.90,290.84,300.14,300.14,300.14,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Hog for Slaughter,229.56,235.57,191.07,229.99,232.86,230.97,206.43,211.25,230.59,193.34,184.29,193.44,214.11,171.97,173.17,174.40,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Broiler Chicken,..,..,..,82.17,79.42,90.92,78.00,85.37,83.84,66.20,80.73,68.40,79.45,90.14,97.81,87.55,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Gamefowl for Other Purposes,2500.00,2500.00,3500.00,2500.00,2500.00,3000.00,1500.00,2000.00,2500.00,2000.00,2500.00,3000.00,2500.00,2968.37,2917.28,2968.37,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Gamefowl for Dressing,..,..,..,..,..,..,240.00,240.00,240.00,240.00,240.00,240.00,240.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Layer Chicken,75.36,110.00,114.86,40.00,38.65,45.00,35.00,35.00,47.14,65.00,65.00,65.00,61.33,64.00,64.00,64.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Native/Improved Chicken,..,..,..,250.00,260.00,250.00,250.00,250.00,300.00,250.00,250.00,250.00,256.67,200.00,200.00,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Duck,163.30,147.38,147.38,145.32,146.57,145.42,133.29,133.29,122.15,112.15,112.15,108.10,134.71,133.79,140.14,129.22,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,"Chicken egg, Layer",6.72,6.48,6.59,6.37,6.05,6.06,6.77,6.79,6.74,6.43,6.17,6.40,6.46,6.38,6.39,6.27,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,"Chicken egg, Native",..,..,..,8.00,8.00,8.00,8.00,8.00,8.00,9.00,9.00,9.00,8.33,8.33,8.33,8.33,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Laguna,Duck egg,8.33,8.33,8.34,8.89,8.88,8.90,8.12,8.13,8.16,8.62,8.61,8.61,8.49,7.90,8.00,8.10,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Carabao for Slaughter,260.00,260.00,260.00,260.00,260.00,260.00,280.00,280.00,280.00,280.00,280.00,280.00,270.00,280.00,280.00,280.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Cattle for Slaughter,300.00,300.00,300.00,300.00,300.00,300.00,280.26,280.26,280.26,280.00,257.15,300.00,289.83,187.50,199.85,200.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Goat for Slaughter,259.93,259.93,259.93,270.00,270.00,270.00,300.00,300.00,300.00,280.00,280.00,280.00,277.48,280.00,280.00,280.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Hog for Slaughter,217.36,219.09,229.88,226.66,228.50,231.68,204.05,198.42,200.88,174.06,172.84,173.02,206.37,168.29,176.83,179.20,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Broiler Chicken,160.02,160.02,160.02,146.56,150.13,158.26,165.05,165.05,165.05,160.96,165.56,173.12,160.82,105.19,105.62,112.26,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Gamefowl for Other Purposes,1501.44,2222.88,2125.58,5003.12,4006.23,4006.23,6000.00,1454.55,..,1500.00,1500.00,1500.00,2801.82,5250.00,3158.29,7000.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Gamefowl for Dressing,..,..,..,..,..,..,200.00,200.00,200.00,200.00,200.00,200.00,200.00,..,199.91,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Layer Chicken,79.58,79.58,83.50,60.00,59.26,60.00,82.52,82.52,87.01,85.46,85.46,80.15,77.09,85.65,85.65,80.53,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Native/Improved Chicken,196.14,195.98,209.38,201.46,200.00,203.53,277.19,277.00,277.00,202.71,240.00,240.00,226.70,232.06,234.60,233.21,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Duck,188.69,188.69,188.69,146.90,146.90,146.90,165.50,165.50,165.50,199.51,199.51,194.52,174.73,169.56,169.56,169.56,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,"Chicken egg, Layer",6.73,6.73,6.85,6.47,6.62,6.65,6.79,6.70,6.84,6.79,6.74,6.88,6.73,6.80,6.72,6.81,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,"Chicken egg, Native",8.58,8.58,8.58,8.42,8.42,8.42,8.75,8.75,8.75,8.50,8.50,8.50,8.56,7.29,7.29,7.20,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Quezon,Duck egg,8.41,8.22,8.06,7.88,8.00,8.59,7.90,8.19,8.27,7.60,7.78,7.85,8.06,7.62,7.36,7.22,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Carabao for Slaughter,200.00,200.00,200.00,195.00,195.00,195.00,200.00,200.00,200.00,250.00,250.00,260.00,212.08,230.00,240.00,245.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Cattle for Slaughter,228.68,276.71,277.66,237.50,234.98,233.33,232.88,238.34,238.15,214.98,220.00,220.00,237.77,274.69,262.50,264.86,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Goat for Slaughter,..,..,228.59,291.67,275.00,250.00,..,..,..,280.00,280.00,285.00,270.04,180.27,184.00,185.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Hog for Slaughter,221.73,220.82,217.28,197.93,210.82,212.13,202.91,205.30,207.38,192.16,188.29,199.98,206.39,188.07,191.39,191.94,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Broiler Chicken,107.79,111.52,124.53,110.65,111.98,112.69,111.33,114.53,106.80,95.91,103.89,110.88,110.21,101.44,105.21,96.76,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Gamefowl for Other Purposes,2611.70,2912.11,4613.52,4588.65,3132.12,2001.42,4953.23,4948.84,4951.28,3487.58,3360.00,4976.06,3878.04,2369.73,3299.37,2681.64,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Gamefowl for Dressing,..,..,..,..,100.00,100.00,250.00,250.00,250.00,220.00,220.00,220.00,201.25,219.99,250.07,255.11,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Layer Chicken,114.01,101.93,96.47,117.77,125.22,110.00,80.00,85.00,86.67,92.52,90.02,97.51,99.76,62.05,56.55,53.25,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Native/Improved Chicken,120.00,120.00,140.00,200.00,200.00,200.00,161.06,170.00,180.00,160.00,160.00,170.00,165.09,207.95,222.15,277.63,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Duck,170.00,189.50,170.00,154.33,153.81,156.05,150.00,160.00,160.00,250.00,198.20,180.99,174.41,197.07,195.87,195.24,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,"Chicken egg, Layer",6.64,6.57,6.84,6.53,6.58,6.23,6.93,7.16,7.25,6.98,7.00,7.01,6.81,6.78,6.69,6.71,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,"Chicken egg, Native",7.83,7.83,7.67,7.92,7.92,7.75,7.92,7.92,7.75,7.92,7.92,7.75,7.84,9.35,8.39,8.83,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Rizal,Duck egg,9.83,9.83,9.67,9.83,9.93,9.83,10.55,10.55,10.73,10.02,10.02,10.02,10.07,10.93,11.11,11.11,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Carabao for Slaughter,216.71,217.97,218.13,222.86,224.44,224.70,227.18,226.23,228.13,235.45,227.87,232.84,225.21,227.15,229.09,229.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Cattle for Slaughter,234.39,232.51,235.85,235.05,229.42,237.46,221.71,219.39,219.81,258.65,257.13,261.59,236.91,239.29,245.63,246.61,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Goat for Slaughter,190.75,190.56,187.07,213.77,214.93,219.76,217.36,215.89,218.30,226.29,222.06,220.05,211.40,200.57,197.04,202.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Hog for Slaughter,209.20,219.41,218.82,205.03,213.35,210.78,167.56,168.85,168.53,159.56,158.09,163.32,188.54,164.22,155.78,177.89,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Broiler Chicken,138.81,138.80,153.11,148.14,145.50,155.83,175.92,177.42,178.56,126.09,127.87,126.52,149.38,159.36,155.52,159.07,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Gamefowl for Other Purposes,5000.00,..,..,1293.61,1345.70,1176.83,..,3000.00,..,2268.44,2368.59,3250.00,2462.90,2316.38,7519.42,2082.52,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Gamefowl for Dressing,192.16,189.83,189.83,175.86,177.49,178.31,181.13,199.53,190.32,192.36,191.61,194.79,187.77,198.30,201.48,199.44,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Layer Chicken,90.07,92.22,95.03,110.54,116.94,109.41,119.33,124.02,119.37,113.74,115.98,115.07,110.14,129.30,128.71,129.74,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Native/Improved Chicken,178.78,181.20,179.93,193.69,193.67,193.34,192.29,192.91,199.73,191.48,191.32,205.18,191.13,195.12,200.26,198.22,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Duck,192.24,184.13,174.17,169.91,171.34,173.99,174.61,171.98,176.29,163.63,168.38,168.38,174.09,200.11,191.44,179.04,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,"Chicken egg, Layer",7.21,7.21,7.19,7.18,7.15,7.28,7.50,7.65,7.66,7.40,7.45,7.46,7.36,7.38,7.39,7.38,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,"Chicken egg, Native",9.53,9.75,9.70,8.54,8.54,8.58,9.22,9.19,9.21,8.74,8.65,8.67,9.03,9.03,9.04,9.02,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
..MIMAROPA REGION,Duck egg,10.13,10.13,10.12,10.96,10.99,11.09,11.33,11.33,11.33,10.84,10.83,10.84,10.83,9.88,10.04,9.90,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Carabao for Slaughter,240.00,240.00,240.00,260.00,260.00,260.00,300.00,300.00,300.00,300.00,260.00,280.00,270.00,280.00,280.00,300.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Cattle for Slaughter,261.39,..,..,273.33,280.00,270.00,287.54,270.00,270.00,280.60,270.00,280.00,274.29,280.00,280.00,280.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Goat for Slaughter,200.07,200.07,200.07,227.28,230.00,229.17,200.00,203.12,200.00,210.00,210.02,215.01,210.40,210.00,210.00,220.01,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Hog for Slaughter,194.67,186.15,197.11,208.52,216.31,187.72,200.04,179.19,180.13,178.87,185.05,194.19,192.33,250.00,241.54,250.05,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Broiler Chicken,180.00,180.00,180.00,178.39,186.43,192.87,188.39,184.20,180.00,186.15,173.85,190.00,183.36,179.33,171.00,161.33,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Gamefowl for Other Purposes,..,..,..,..,..,..,..,..,..,..,1500.00,..,1500.00,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
....Marinduque,Gamefowl for Dressing,184.59,180.00,180.00,180.00,180.00,180.00,..,180.00,180.00,200.00,..,200.00,184.46,..,200.00,180.00,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
