Sector,Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
"Electricity, Steam, Water and Waste Management",..Ilocos Norte,12165575.63,13810181.03,13414450.77,9898239.27,10782512.15,11252048.01
"Electricity, Steam, Water and Waste Management",..Ilocos Sur,6048600.49,6668286.02,6684317.87,4735436.97,5132662.81,5459770.03
"Electricity, Steam, Water and Waste Management",..La Union,11328840.53,12690646.58,13010635.98,9534465.34,9728991.30,9984705.92
"Electricity, Steam, Water and Waste Management",..Pangasinan,26946724.90,29859090.73,29926095.69,22516183.47,24101363.42,25968228.83
"Electricity, Steam, Water and Waste Management",Region II (Cagayan Valley),15295337.66,16024013.71,16506537.94,12417583.51,12572321.93,13353345.54
"Electricity, Steam, Water and Waste Management",..Batanes,175624.76,187647.12,195632.03,146550.41,148935.84,152452.26
"Electricity, Steam, Water and Waste Management",..Cagayan,4215826.32,4455513.26,4551020.62,3479817.21,3506353.72,3514446.38
"Electricity, Steam, Water and Waste Management",..Isabela,8846630.87,9222685.42,9545813.63,7150112.99,7251740.34,7893196.69
"Electricity, Steam, Water and Waste Management",..Nueva Vizcaya,1626727.00,1708343.79,1744039.56,1305744.67,1323759.01,1426806.80
"Electricity, Steam, Water and Waste Management",..Quirino,430528.71,449824.12,470032.10,335358.24,341533.03,366443.41
"Electricity, Steam, Water and Waste Management",Region III (Central Luzon),87085982.28,101918009.37,107588332.26,70524710.48,76949276.28,81160674.43
"Electricity, Steam, Water and Waste Management",..Aurora,967659.27,1123980.29,1159653.80,778049.96,818142.26,898849.16
"Electricity, Steam, Water and Waste Management",..Bataan,19410325.37,22329658.04,23044333.59,14863711.90,16478720.46,17633535.01
"Electricity, Steam, Water and Waste Management",..Bulacan,17545104.62,20972283.82,22515492.80,14958811.87,16130457.38,16722742.58
"Electricity, Steam, Water and Waste Management",..Nueva Ecija,12872943.10,14685368.14,16105236.74,10425374.28,11443090.16,12089041.96
"Electricity, Steam, Water and Waste Management",..Pampanga,14867075.70,17638065.71,18810151.34,12305516.13,13214147.46,14055761.23
"Electricity, Steam, Water and Waste Management",..Tarlac,9019221.75,10346951.09,10706817.75,6948593.04,7657926.38,8095374.16
"Electricity, Steam, Water and Waste Management",..Zambales,7740156.30,9264851.04,9321934.04,6253720.05,6824233.22,6977628.47
"Electricity, Steam, Water and Waste Management",..City of Angeles,3056967.59,3686398.66,3937522.25,2620539.18,2854957.92,3055411.05
"Electricity, Steam, Water and Waste Management",..City of Olongapo,1606528.59,1870452.60,1987189.95,1370394.08,1527601.03,1632330.82
"Electricity, Steam, Water and Waste Management",Region IV-A (CALABARZON),136909972.83,156628030.80,166623523.41,124713130.63,130010831.60,139129745.55
"Electricity, Steam, Water and Waste Management",..Batangas,67159198.21,76962818.34,81023153.13,59085326.61,62561198.89,67948432.46
"Electricity, Steam, Water and Waste Management",..Cavite,10251213.92,12035591.61,13453583.05,9803744.54,10006889.93,11001095.98
"Electricity, Steam, Water and Waste Management",..Laguna,23278356.05,27282041.14,29148930.89,22412326.53,22952317.76,23822375.20
"Electricity, Steam, Water and Waste Management",..Quezon,25456311.86,27839228.18,29562047.27,23076924.49,23900169.32,25495599.68
"Electricity, Steam, Water and Waste Management",..Rizal,8851684.20,10331238.54,11087726.88,8566919.13,8683949.25,8825508.43
"Electricity, Steam, Water and Waste Management",..City of Lucena,1913208.59,2177113.00,2348082.19,1767889.34,1906306.45,2036733.80
"Electricity, Steam, Water and Waste Management",MIMAROPA Region,18532001.67,22015765.37,25579958.83,17019367.69,18544050.65,20785608.02
"Electricity, Steam, Water and Waste Management",..Marinduque,380059.61,467294.43,519349.48,359955.70,396296.15,434372.91
"Electricity, Steam, Water and Waste Management",..Occidental Mindoro,4157754.63,4983177.27,5802166.01,3962482.56,4512012.70,5219975.07
"Electricity, Steam, Water and Waste Management",..Oriental Mindoro,6119900.91,7179520.88,8208315.66,4947449.45,5195367.58,5807090.41
"Electricity, Steam, Water and Waste Management",..Palawan,1865708.95,2258279.43,2753799.16,1799809.69,1988269.69,2269434.36
"Electricity, Steam, Water and Waste Management",..Romblon,501673.96,606010.13,689967.61,466723.22,529041.24,596535.21
"Electricity, Steam, Water and Waste Management",..City of Puerto Princesa,5506903.61,6521483.24,7606360.92,5482947.07,5923063.29,6458200.07
"Electricity, Steam, Water and Waste Management",Region V (Bicol Region),38587933.03,39278055.05,39873459.99,30600294.59,30617558.80,32208456.90
"Electricity, Steam, Water and Waste Management",..Albay,14975046.88,15190684.44,15264896.65,11557589.63,11571121.18,11993770.75
"Electricity, Steam, Water and Waste Management",..Camarines Norte,2738509.60,2806971.47,2729765.09,2150533.55,2134807.01,2234968.00
"Electricity, Steam, Water and Waste Management",..Camarines Sur,13104340.38,13199553.92,13545187.06,10697148.52,10657291.04,11342245.99
"Electricity, Steam, Water and Waste Management",..Catanduanes,948338.39,1015168.17,1072486.04,792044.19,811980.68,838373.39
"Electricity, Steam, Water and Waste Management",..Masbate,2475132.42,2645452.90,2810895.65,2122066.33,2151104.08,2237136.00
"Electricity, Steam, Water and Waste Management",..Sorsogon,4346565.35,4420224.15,4450229.50,3280912.37,3291254.81,3561962.77
"Electricity, Steam, Water and Waste Management",Region VI (Western Visayas),10520439.50,12515193.82,14136193.53,8652731.91,9437400.63,10713462.98
"Electricity, Steam, Water and Waste Management",..Aklan,1286761.40,1579075.00,1799393.80,1017815.69,1168896.79,1297689.37
"Electricity, Steam, Water and Waste Management",..Antique,758464.81,900506.86,1021744.19,613243.37,677727.37,747775.77
"Electricity, Steam, Water and Waste Management",..Capiz,1295738.16,1511598.19,1702930.41,1024361.61,1129018.63,1238818.34
"Electricity, Steam, Water and Waste Management",..Guimaras,514090.84,621278.94,703908.23,419486.59,468003.90,498214.46
"Electricity, Steam, Water and Waste Management",..Iloilo,4698845.50,5570792.59,6415704.23,3953558.56,4239538.11,4946232.81
"Electricity, Steam, Water and Waste Management",..City of Iloilo,1966538.80,2331942.25,2492512.67,1624266.10,1754215.84,1984732.23
"Electricity, Steam, Water and Waste Management",Negros Island Region (NIR),11824425.12,13582901.42,14262515.85,9339501.33,10013638.56,10570012.96
"Electricity, Steam, Water and Waste Management",..Negros Occidental,5166810.31,6106900.58,6641894.14,4027439.49,4517950.85,4937700.57
"Electricity, Steam, Water and Waste Management",..Negros Oriental,4520996.83,4995403.33,5124308.28,3580461.82,3595203.86,3712688.92
"Electricity, Steam, Water and Waste Management",..Siquijor,157980.03,179374.39,193216.98,147512.68,152779.68,158539.03
"Electricity, Steam, Water and Waste Management",..City of Bacolod,1978637.96,2301223.12,2303096.45,1584087.34,1747704.16,1761084.44
"Electricity, Steam, Water and Waste Management",Region VII (Central Visayas),37912097.00,40984399.97,41655131.67,34917237.14,35078784.82,37809168.02
"Electricity, Steam, Water and Waste Management",..Bohol,1696698.49,1798623.23,1802886.92,1480039.61,1482858.20,1551004.12
"Electricity, Steam, Water and Waste Management",..Cebu,19630723.28,21318361.23,21809366.79,18008902.34,18048925.17,19663168.02
"Electricity, Steam, Water and Waste Management",..City of Cebu,8906041.02,9722855.28,9761100.96,8386691.44,8386038.88,9081490.12
"Electricity, Steam, Water and Waste Management",..City of Lapu-Lapu,4768576.34,4955216.91,5019501.00,4365271.92,4428971.26,4665479.30
"Electricity, Steam, Water and Waste Management",..City of Mandaue,2910057.87,3189343.32,3262276.00,2676331.81,2731991.31,2848026.46
"Electricity, Steam, Water and Waste Management",Region VIII (Eastern Visayas),47846760.67,55071260.69,59190934.32,42428380.76,47319551.88,51449116.99
"Electricity, Steam, Water and Waste Management",..Biliran,1080258.90,1290720.12,1346832.02,868772.02,1016002.11,1062553.48
"Electricity, Steam, Water and Waste Management",..Eastern Samar,2534181.86,2869020.97,2995760.70,2096031.09,2314192.51,2499622.69
"Electricity, Steam, Water and Waste Management",..Leyte,30073031.31,34409635.06,37260939.85,28442785.14,31411175.89,34141383.32
"Electricity, Steam, Water and Waste Management",..Northern Samar,2405677.73,2902481.18,3048112.73,1768430.46,2055181.58,2206584.66
"Electricity, Steam, Water and Waste Management",..Samar,5318398.92,6113643.15,6293769.58,3898648.02,4429869.97,4737421.76
"Electricity, Steam, Water and Waste Management",..Southern Leyte,2520807.64,2953619.69,3240086.90,1795024.67,2080205.04,2366609.37
"Electricity, Steam, Water and Waste Management",..City of Tacloban,3914404.31,4532140.52,5005432.52,3558689.36,4012924.77,4434941.72
"Electricity, Steam, Water and Waste Management",Region IX (Zamboanga Peninsula),5531998.67,5925058.27,6172764.00,5241653.14,5332515.57,5620422.90
"Electricity, Steam, Water and Waste Management",..Zamboanga del Norte,1324374.94,1422462.72,1490669.77,1229491.32,1229969.66,1314332.31
"Electricity, Steam, Water and Waste Management",..Zamboanga del Sur,1708122.90,1802905.06,1866221.71,1579465.92,1589877.98,1649463.38
"Electricity, Steam, Water and Waste Management",..Zamboanga Sibugay,628841.75,692671.47,720937.73,624064.49,672544.93,703593.40
"Electricity, Steam, Water and Waste Management",..City of Isabela,129570.82,147129.26,156785.36,126260.77,135517.57,142452.81
"Electricity, Steam, Water and Waste Management",..City of Zamboanga,1741088.26,1859889.76,1938149.42,1682370.63,1704605.44,1810581.00
"Electricity, Steam, Water and Waste Management",Region X (Northern Mindanao),50914227.74,57229879.01,59719241.71,44803195.25,48427492.78,51631670.19
"Electricity, Steam, Water and Waste Management",..Bukidnon,4937602.95,5465459.24,5686126.80,4313832.13,4552607.43,5073031.64
"Electricity, Steam, Water and Waste Management",..Camiguin,506892.51,568793.42,617181.21,508246.12,538322.77,601384.97
"Electricity, Steam, Water and Waste Management",..Lanao del Norte,2113146.42,2375791.88,2552389.82,1853416.97,2037666.72,2220070.40
"Electricity, Steam, Water and Waste Management",..Misamis Occidental,2817670.22,3176473.13,3272800.96,2869131.28,3081269.79,3338817.92
"Electricity, Steam, Water and Waste Management",..Misamis Oriental,18713645.96,21371146.78,22600216.89,16079173.85,17512025.73,18849058.45
"Electricity, Steam, Water and Waste Management",..City of Cagayan de Oro,11817351.63,12930731.34,13282434.30,10225998.60,10806196.38,11311631.83
"Electricity, Steam, Water and Waste Management",..City of Iligan,10007918.05,11341483.22,11708091.74,8953396.30,9899403.95,10237674.98
"Electricity, Steam, Water and Waste Management",Region XI (Davao Region),28790003.46,31690030.65,32991163.56,25051028.57,25726641.73,27713611.88
"Electricity, Steam, Water and Waste Management",..Davao de Oro,1030101.89,1149982.59,1204971.99,936180.13,976598.82,1069944.56
"Electricity, Steam, Water and Waste Management",..Davao del Norte,4132567.21,4460461.95,4686053.32,3482031.83,3591288.54,3981567.59
"Electricity, Steam, Water and Waste Management",..Davao del Sur,9065430.48,10139702.40,10459040.80,7662714.22,7881235.96,8167280.32
"Electricity, Steam, Water and Waste Management",..Davao Occidental,5354566.65,5806603.08,5859157.63,4647004.45,4892968.74,5292608.68
"Electricity, Steam, Water and Waste Management",..Davao Oriental,624173.53,728810.99,780854.68,577828.37,614392.68,662928.10
"Electricity, Steam, Water and Waste Management",..City of Davao,8583163.69,9404469.63,10001085.13,7745269.58,7770156.98,8539282.62
"Electricity, Steam, Water and Waste Management",Region XII (SOCCSKSARGEN),41238894.56,47238850.95,51250038.84,35652683.17,38981703.07,43346537.85
"Electricity, Steam, Water and Waste Management",..Cotabato,13010466.46,14853867.62,15995024.14,10697331.51,11489838.93,12841211.30
"Electricity, Steam, Water and Waste Management",..Sarangani,9187765.68,10676808.19,11497327.31,8165773.53,9226177.07,10018035.62
"Electricity, Steam, Water and Waste Management",..South Cotabato,6842390.18,7711481.23,8417817.55,5878447.80,6327165.23,7139368.38
"Electricity, Steam, Water and Waste Management",..Sultan Kudarat,6289248.44,7323702.33,7999207.87,5647021.31,6292333.49,7121207.94
"Electricity, Steam, Water and Waste Management",..City of General Santos,5909023.79,6672991.59,7340661.97,5264109.00,5646188.35,6226714.60
"Electricity, Steam, Water and Waste Management",Region XIII (Caraga),11337319.84,13337477.64,14271685.06,9164008.10,10166748.05,11277936.43
"Electricity, Steam, Water and Waste Management",..Agusan del Norte,1216738.67,1445557.96,1579968.03,969818.68,1094621.12,1254623.62
"Electricity, Steam, Water and Waste Management",..Agusan del Sur,2876154.19,3340622.08,3522421.33,2350137.64,2535973.64,2865745.60
"Electricity, Steam, Water and Waste Management",..Dinagat Islands,230307.57,281714.53,306716.95,206247.28,235468.28,250639.18
"Electricity, Steam, Water and Waste Management",..Surigao del Norte,1923159.81,2185930.43,2337720.95,1466129.79,1593609.26,1761958.76
"Electricity, Steam, Water and Waste Management",..Surigao del Sur,1837860.23,2133818.53,2340565.80,1489910.67,1670281.10,1816010.67
"Electricity, Steam, Water and Waste Management",..City of Butuan,3253099.36,3949834.11,4184291.99,2681764.05,3036794.64,3328958.61
"Electricity, Steam, Water and Waste Management",Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),43258108.12,47014939.92,51488931.52,35232176.03,35954849.82,39275828.72
"Electricity, Steam, Water and Waste Management",..Basilan,2933724.12,3220894.71,3577056.39,2337213.10,2421826.63,2625822.53
"Electricity, Steam, Water and Waste Management",..Lanao del Sur,18214184.25,19533177.38,21684645.26,14441564.09,14563757.15,16355545.05
"Electricity, Steam, Water and Waste Management",..Maguindanao del Norte,10264540.92,11159781.63,12170392.22,8874920.14,9129156.27,9948172.56
"Electricity, Steam, Water and Waste Management",..Maguindanao del Sur,1112645.82,1215205.40,1334089.43,992725.85,1037892.97,1124038.61
"Electricity, Steam, Water and Waste Management",..Sulu,5553624.21,6106110.34,6697378.82,4433104.12,4512895.58,4782140.96
"Electricity, Steam, Water and Waste Management",..Tawi-Tawi,5179388.80,5779770.45,6025369.41,4152648.74,4289321.23,4440109.00
Construction,National Capital Region (NCR),304430580.02,322691872.67,352438892.89,252577414.42,259064858.87,278727475.48
Construction,..City of Caloocan,11737123.27,12590923.80,13643285.82,9534702.98,9886298.66,10552285.79
Construction,..City of Las Piñas,6569557.14,6929952.36,7608169.42,5414071.30,5519657.53,5969047.29
Construction,..City of Makati,29498164.67,30849843.98,31847964.26,24227185.19,24522602.42,24944791.24
Construction,..City of Malabon,5147652.37,5631905.55,6337378.50,4244232.81,4486569.08,4972590.37
Construction,..City of Mandaluyong,14164759.51,15083658.82,16521425.60,12067848.10,12411620.60,13388888.83
Construction,..City of Manila,32676559.41,34128244.46,38537933.97,27310587.08,27608231.30,30718733.67
Construction,..City of Marikina,15607198.62,16459151.15,17328135.97,13009567.70,13300077.19,13802137.47
Construction,..City of Muntinlupa,12624474.22,13442051.03,13807219.62,10521057.27,10859512.28,10995030.44
Construction,..City of Navotas,4323239.86,4618618.52,4816751.80,3570987.53,3692460.24,3794434.36
Construction,..City of Parañaque,36528055.59,38226714.90,41857989.33,30867579.63,31275786.35,33747471.71
Construction,..Pasay City,22219683.10,24149352.68,26136221.29,19616287.57,20673704.22,22056287.80
Construction,..City of Pasig,16274776.43,17142106.45,19630639.06,13088585.09,13312775.15,15014015.77
Construction,..Quezon City,50742477.46,53736347.84,60438920.64,41191016.71,42165520.75,46715812.16
Construction,..City of San Juan,7341583.08,7790966.36,7969672.14,6020924.76,6194215.66,6248323.65
Construction,..City of Taguig,24605757.85,26684550.68,29557239.20,20072613.89,21032160.41,22941984.37
Construction,..City of Valenzuela,12954043.16,13758369.04,14835835.63,10636208.31,10933025.36,11616273.97
Construction,..Pateros,1415474.28,1469115.06,1564110.67,1183958.50,1190641.66,1249366.58
Construction,Cordillera Administrative Region (CAR),29084411.84,31581249.72,31252335.75,25529852.23,26253332.97,25532140.26
Construction,..Abra,6571644.37,7017913.70,6651046.64,5775883.64,5930398.44,5486696.27
Construction,..Apayao,3451436.37,3803508.73,3639818.55,3045129.11,3156109.26,2985612.08
Construction,..Benguet,3308177.87,3573178.42,3514531.94,3021870.65,3089334.57,2986345.54
Construction,..Ifugao,3001890.67,3285111.32,3245975.86,2693795.91,2753533.59,2669433.08
Construction,..Kalinga,3067945.43,3409969.20,3273360.74,2491788.66,2598485.81,2465205.65
Construction,..Mountain Province,1795767.41,2060959.71,2012819.81,1429969.89,1542315.96,1484388.83
Construction,..City of Baguio,7887549.72,8430608.64,8914782.21,7071414.37,7183155.35,7454458.81
Construction,Region I (Ilocos Region),103053728.99,118002254.65,126614472.29,96069717.24,104686882.27,110996767.71
Construction,..Ilocos Norte,15701428.09,17601888.59,18953647.14,13973225.76,14863706.04,15700219.01
Construction,..Ilocos Sur,18873343.03,21424701.16,23059726.24,17638331.71,18998451.20,20288915.39
Construction,..La Union,25246571.03,28890866.07,31305198.14,23747596.73,25956620.15,28046513.65
Construction,..Pangasinan,43232386.84,50084798.83,53295900.77,40710563.05,44868104.89,46961119.66
Construction,Region II (Cagayan Valley),60098558.09,73457240.61,86410550.32,53708538.96,61531178.49,71512927.86
Construction,..Batanes,1138998.81,1364595.11,1573764.38,935358.42,1042363.55,1193041.27
Construction,..Cagayan,25369791.40,31414476.45,35649216.72,23463272.62,27020988.86,30064550.22
Construction,..Isabela,20847562.53,25647784.76,31580268.39,18124848.66,21025941.05,25856947.68
Construction,..Nueva Vizcaya,8570174.51,10404938.48,12234916.44,7417511.10,8432454.78,9796835.70
Construction,..Quirino,4172030.84,4625445.82,5372384.38,3767548.16,4009430.25,4601552.98
Construction,Region III (Central Luzon),293137750.18,333970243.54,384075899.13,256904258.60,275683766.02,313458966.86
Construction,..Aurora,6798936.52,7980929.10,8973120.76,5784133.26,6528639.46,7207245.40
Construction,..Bataan,31381696.09,35661162.51,42529198.77,26789193.41,28803969.58,34007962.96
Construction,..Bulacan,100299980.09,115102794.26,130491058.05,92711289.92,99896377.16,111835299.60
Construction,..Nueva Ecija,33793477.73,38634980.74,46373137.50,30928586.33,33078442.02,38984296.12
Construction,..Pampanga,47744672.62,54544716.93,63608920.44,39484472.56,42146935.61,48814924.99
Construction,..Tarlac,28431447.00,31503469.85,35378089.09,23862069.17,24970932.21,27764513.46
Construction,..Zambales,25782304.17,28596860.49,32092490.47,21757564.21,23154475.65,25717852.90
Construction,..City of Angeles,13178830.88,15325362.35,16885113.34,10913083.93,11958303.57,13166356.32
Construction,..City of Olongapo,5726405.08,6619967.31,7744770.71,4673865.80,5145690.76,5960515.11
Construction,Region IV-A (CALABARZON),112064791.44,134001557.54,149436902.92,97776226.16,112290332.67,123789169.06
Construction,..Batangas,25566294.47,31005836.67,36350654.98,22249269.72,25789772.84,29926516.56
Construction,..Cavite,30404868.82,34814951.42,38269546.82,25796859.67,28445455.58,31059315.67
Construction,..Laguna,20211495.23,26534731.25,28754461.08,18380291.49,22769218.46,23906962.06
Construction,..Quezon,17485207.22,20554868.84,22511940.73,15135349.53,17203863.56,18741552.21
Construction,..Rizal,14466008.93,16458156.73,18572978.51,12696511.56,14069174.15,15865927.45
Construction,..City of Lucena,3930916.76,4633012.63,4977320.79,3517944.18,4012848.07,4288895.10
Construction,MIMAROPA Region,36819607.68,42519310.93,51018793.77,30800489.44,34938865.37,41625482.58
Construction,..Marinduque,3623029.76,4248982.32,5159470.57,2824658.67,3274695.46,3961280.60
Construction,..Occidental Mindoro,6365830.72,7243276.02,8836984.07,5366302.97,6057455.23,7359643.04
Construction,..Oriental Mindoro,13565689.52,15395261.03,18036922.05,12141045.36,13514710.59,15734831.19
Construction,..Palawan,4928560.46,5822976.59,7076117.52,3775859.93,4334589.00,5241226.63
Construction,..Romblon,4174514.84,4969172.01,5801937.69,3404163.88,4010429.20,4623259.45
Construction,..City of Puerto Princesa,4161982.38,4839642.96,6107361.87,3288458.64,3746985.89,4705241.67
Construction,Region V (Bicol Region),127869727.50,142008697.58,149616616.62,107614614.04,116220169.73,121206965.72
Construction,..Albay,27394051.23,30903135.16,33005571.22,22726747.47,24808605.75,26177998.94
Construction,..Camarines Norte,13783053.42,15387838.38,16119679.25,11159628.36,12130221.88,12614986.90
Construction,..Camarines Sur,32733648.07,35706889.18,37258062.05,27726730.93,29466866.06,30377062.70
Construction,..Catanduanes,10650447.56,12052674.77,12998912.46,9411585.60,10321260.14,10997925.76
Construction,..Masbate,21355308.18,23075306.94,23604461.22,17970899.24,18817210.14,19018449.23
Construction,..Sorsogon,21953219.05,24882853.14,26629930.42,18619022.45,20676005.75,22020542.19
Construction,Region VI (Western Visayas),27136849.77,32809304.15,34436383.23,23800307.76,27750899.73,28731151.07
Construction,..Aklan,2235475.39,2849245.19,2944922.08,2010870.64,2483217.09,2532346.59
Construction,..Antique,2631104.35,3619586.48,3739531.37,2282850.48,3012565.57,3074601.17
Construction,..Capiz,3914563.66,4488483.46,4686799.88,3309653.03,3664806.43,3776922.65
Construction,..Guimaras,1176605.72,1390540.76,1438926.81,1081168.49,1242154.85,1272924.36
Construction,..Iloilo,11391464.65,13848245.13,14536226.87,9892132.63,11544521.43,11954686.21
Construction,..City of Iloilo,5787636.00,6613203.13,7089976.22,5223632.50,5803634.35,6119670.09
Construction,Negros Island Region (NIR),49831990.52,59153305.65,71814385.72,40960174.80,46902121.01,55823566.89
Construction,..Negros Occidental,31787384.77,38160190.05,46779866.08,26707143.57,30879244.69,37147174.58
Construction,..Negros Oriental,8358550.43,9481293.58,11544589.72,6013696.23,6620666.75,7998263.24
Construction,..Siquijor,865617.19,976432.27,1243340.30,717400.72,772463.17,975671.96
Construction,..City of Bacolod,8820438.13,10535389.75,12246589.61,7521934.28,8629746.40,9702457.11
Construction,Region VII (Central Visayas),81243312.30,95767034.21,104665895.22,62994693.62,71856412.53,76923863.48
Construction,..Bohol,14971240.13,18847702.79,20950335.59,11955403.41,14274695.96,15538954.16
Construction,..Cebu,44032577.33,50706258.42,55263414.61,33286723.33,37312054.21,40002487.81
Construction,..City of Cebu,8419574.50,9829352.07,10371807.77,6854406.55,7699621.11,7918818.15
Construction,..City of Lapu-Lapu,7252787.75,8814855.73,9979150.60,6079015.80,7227953.02,7953575.79
Construction,..City of Mandaue,6567132.60,7568865.20,8101186.66,4819144.54,5342088.24,5510027.57
Construction,Region VIII (Eastern Visayas),85437812.23,94003600.48,103433277.59,72186725.93,77339395.80,84593947.10
Construction,..Biliran,3229270.45,3822268.14,4162807.43,2770081.58,3215661.38,3406558.23
Construction,..Eastern Samar,6815108.50,7626240.17,8470618.76,5593120.20,6034607.54,6683972.67
Construction,..Leyte,49059380.24,53302517.15,58841677.69,41289309.54,43910970.20,48461991.17
Construction,..Northern Samar,2968141.47,3344242.85,3638105.11,2753185.19,3023475.46,3281257.75
Construction,..Samar,8010754.95,9323357.87,10054219.48,6457914.93,7198497.55,7583379.33
Construction,..Southern Leyte,9759830.51,10782078.07,11976110.70,8402862.34,8968385.97,9841534.67
Construction,..City of Tacloban,5595326.12,5802896.22,6289738.43,4920252.14,4987797.69,5335253.29
Construction,Region IX (Zamboanga Peninsula),53389769.22,64284321.07,68624326.65,44628110.93,52324000.58,55238535.28
Construction,..Zamboanga del Norte,20201094.62,23793858.37,24777008.13,17223741.90,19757593.31,20268201.65
Construction,..Zamboanga del Sur,12402185.83,15406753.53,17080646.00,10446242.88,12636495.49,13893130.16
Construction,..Zamboanga Sibugay,9477084.61,11455630.78,12115721.44,7536056.90,8869187.19,9294553.70
Construction,..City of Isabela,1561256.64,1805307.17,1847057.21,1207988.00,1360481.41,1380220.30
Construction,..City of Zamboanga,9748147.51,11822771.22,12803893.86,8214081.26,9700243.18,10402429.48
Construction,Region X (Northern Mindanao),77607503.49,89329728.02,100351694.23,70818045.92,77918722.66,86910267.25
Construction,..Bukidnon,25407931.37,28649749.35,31677539.29,23398972.93,25419870.86,27917561.60
Construction,..Camiguin,1759586.74,2067007.95,2267697.60,1534055.65,1705180.52,1841886.32
Construction,..Lanao del Norte,7248213.44,8387502.19,9218162.20,6622311.28,7380429.95,8107712.93
Construction,..Misamis Occidental,11348280.16,13673990.33,15185331.07,9667873.79,11063934.32,12106589.57
Construction,..Misamis Oriental,17522357.14,20008607.61,23256367.06,16212807.03,17626040.15,20394659.02
Construction,..City of Cagayan de Oro,8892032.02,9992953.75,11474629.12,8457280.05,9035898.66,10322317.35
Construction,..City of Iligan,5429102.63,6549916.84,7271967.89,4924745.19,5687368.21,6219540.47
Construction,Region XI (Davao Region),114542947.59,132839053.91,156584424.80,97752207.12,107589159.46,124284156.79
Construction,..Davao de Oro,15489942.89,17560232.29,18766113.74,13178326.49,14079354.93,14925955.20
Construction,..Davao del Norte,12593661.19,14774805.31,17233091.25,10900238.43,12362637.04,14372752.84
Construction,..Davao del Sur,11396906.25,12792249.12,15456464.07,9713452.13,10527860.81,12321332.69
Construction,..Davao Occidental,4046221.53,4443392.38,4661387.51,3436751.61,3598321.51,3758327.13
Construction,..Davao Oriental,6283950.67,6921648.28,7207042.14,5364829.50,5614820.18,5794305.10
Construction,..City of Davao,64732265.07,76346726.53,93260326.08,55158608.95,61406165.00,73111483.83
Construction,Region XII (SOCCSKSARGEN),19645178.42,23636060.93,26537442.60,16014998.64,18561978.77,20580619.13
Construction,..Cotabato,7024714.62,8471925.41,9551483.11,5840335.35,6893942.27,7660427.13
Construction,..Sarangani,1321613.57,1668618.78,2003558.99,1074245.83,1283468.93,1537308.67
Construction,..South Cotabato,4821889.54,5673879.48,6330625.82,3783677.02,4194314.71,4634118.68
Construction,..Sultan Kudarat,1585067.42,2004299.41,2207530.56,1320389.22,1604940.47,1755340.50
Construction,..City of General Santos,4891893.27,5817337.84,6444244.12,3996351.23,4585312.38,4993424.15
Construction,Region XIII (Caraga),34336655.69,36884340.28,41731417.85,30200204.98,31141664.99,34839904.93
Construction,..Agusan del Norte,4608461.34,5035137.70,5646068.68,4049841.56,4247311.30,4698058.50
Construction,..Agusan del Sur,9186397.03,9744489.76,11111775.34,7859279.96,7970845.59,8961618.89
Construction,..Dinagat Islands,3030503.99,3287597.84,3500251.54,2466151.58,2513814.38,2659399.17
Construction,..Surigao del Norte,7267403.88,7980765.62,9057205.44,6713087.83,7085508.81,7936055.77
Construction,..Surigao del Sur,3938138.93,4175289.23,4772169.58,3484559.15,3547005.52,4022123.39
Construction,..City of Butuan,6305750.51,6661060.14,7643947.27,5627284.91,5777179.38,6562649.21
Construction,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),5515452.83,6369726.89,8048813.90,4849276.64,5310006.70,6688209.65
Construction,..Basilan,683089.39,840183.70,1150578.75,600498.48,710223.79,972545.59
Construction,..Lanao del Sur,930673.05,1087101.38,1493161.39,758984.25,850081.06,1163030.94
Construction,..Maguindanao del Norte,2484571.36,2809265.73,3252643.35,2248905.84,2399278.41,2774151.32
Construction,..Maguindanao del Sur,661195.66,736085.29,1012561.99,598656.04,628886.25,863930.98
Construction,..Sulu,368139.38,434967.21,562405.52,316933.08,356080.03,458410.82
Construction,..Tawi-Tawi,387784.00,462123.58,577462.91,325298.95,365457.17,456139.99
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,National Capital Region (NCR),1552955566.27,1714443308.70,1839209165.89,1438653876.47,1502663116.79,1563603718.46
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,..City of Caloocan,88689201.08,96708479.66,105472301.52,81947355.45,84611699.67,89556067.47
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,..City of Las Piñas,36874597.35,40735024.35,43564045.96,34135028.08,35684746.65,37022707.51
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,..City of Makati,177067803.30,196157140.39,209281935.21,163820956.62,171772248.85,177809983.34
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,..City of Malabon,22077985.58,24391745.16,26196657.84,20407380.49,21346161.02,22247441.19
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,..City of Mandaluyong,58408164.47,66664914.33,73276411.91,54206210.45,58500491.24,62348523.18
