Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Constant 2018 Prices,CROP,163426.98,163530.54,149453.75,195196.13,326957.52,476411.27,671607.40,166580.91,175746.20,149747.58,200131.27,342327.11,492074.69,692205.96,182234.38,173696.66,143086.13,214064.43,355931.04,499017.17,713081.60,189178.28,170301.12,151969.31,222061.18,359479.40,511448.71,733509.89,200894.43,178983.61,170776.85,222962.04,379878.03,550654.89,773616.92,195609.77,181188.92,174974.30,233286.71,376798.69,551772.99,785059.70,207632.74,192859.20,184552.95,236314.87,400491.95,585044.89,821359.77,211985.00,203835.98,196235.11,259190.97,415820.98,612056.09,871247.06,224285.06,225873.81,205430.77,257401.79,450158.88,655589.64,912991.43,228098.08,219001.79,210720.21,243231.40,447099.87,657820.07,901051.47,214926.29,204927.86,191780.60,265185.76,419854.15,611634.75,876820.50,231799.20,231411.75,201190.92,254074.17,463210.95,664401.87,918476.05,233594.26,236601.36,217385.38,269220.95,470195.62,687581.01,956801.96,239029.71,225347.26,212224.87,274937.36,464376.96,676601.84,951539.20,242968.86,237237.10,203233.43,289921.50,480205.96,683439.39,973360.88,247705.74,230124.73,193957.23,282118.79,477830.47,671787.70,953906.49,226560.95,218431.96,202656.69,274518.97,444992.90,647649.59,922168.56,244563.46,243091.32,213892.78,283106.44,487654.78,701547.57,984654.01,248254.87,239284.44,207002.08,283403.35,487539.32,694541.40,977944.75,245800.60,226027.57,210053.05,286230.22,471828.18,681881.22,968111.44,239871.11,237366.80,220010.75,285303.44,477237.91,697248.65,982552.09,247751.30,244469.29,219631.98,292606.20,492220.59,711852.57,1004458.76,243649.51,237868.20,223505.34,289593.20,481517.71,705023.04,994616.24,247765.86,240832.39,223259.09,290589.42,488598.25,711857.34,1002446.76,247050.63,220056.39,211601.68,281629.66,467107.02,678708.69,960338.35,249605.76,244903.49,217995.25,274302.23,494509.25,712504.51,986806.73,243617.16,.,.,.,.,.,.
Constant 2018 Prices,..Palay,56457.34,52345.08,52877.29,89202.73,108802.42,161679.71,250882.44,55618.77,55740.66,52714.60,98007.24,111359.44,164074.04,262081.27,60444.80,52914.55,44289.88,109725.10,113359.35,157649.23,267374.33,59999.42,47478.77,53361.35,111818.72,107478.19,160839.54,272658.26,67882.35,52710.60,62938.71,109902.86,120592.95,183531.65,293434.51,66844.70,53660.72,58499.61,116086.41,120505.41,179005.02,295091.43,71464.33,59180.01,65887.03,113730.23,130644.34,196531.37,310261.60,72671.94,61757.69,68972.05,125224.69,134429.64,203401.69,328626.38,74097.99,68248.68,75996.49,122510.11,142346.66,218343.15,340853.26,77899.39,69526.91,77135.23,105659.02,147426.30,224561.54,330220.56,69014.06,63335.96,57994.92,127980.13,132350.01,190344.94,318325.06,79799.92,71649.32,69443.69,116824.77,151449.25,220892.93,337717.71,78907.85,78933.12,78831.26,128734.98,157840.96,236672.23,365407.20,82421.07,77474.80,73699.49,139266.72,159895.86,233595.35,372862.07,85127.91,82440.27,66344.20,148743.79,167568.18,233912.38,382656.16,86330.14,80068.58,55922.35,143114.88,166398.72,222321.08,365435.96,77723.78,75185.59,65066.68,137938.04,152909.37,217976.04,355914.08,87349.08,83996.90,74288.03,143959.11,171345.99,245634.02,389593.13,91375.55,82788.94,70056.02,140788.00,174164.49,244220.51,385008.51,87301.31,77977.52,66879.24,147427.95,165278.84,232158.08,379586.03,84229.61,83497.28,77067.93,145418.44,167726.89,244794.82,390213.26,91453.44,84462.89,82248.86,145728.16,175916.33,258165.19,403893.35,89760.24,85059.49,83059.51,142099.40,174819.73,257879.24,399978.64,94455.20,85969.94,83237.82,142343.32,180425.14,263662.96,406006.28,92602.23,77831.72,72965.77,142187.38,170433.95,243399.71,385587.10,92872.70,88621.17,82156.31,134734.88,181493.87,263650.18,398385.06,87058.55,.,.,.,.,.,.
Constant 2018 Prices,..Corn,13964.95,13849.48,22593.54,13183.14,27814.43,50407.97,63591.11,14919.29,12583.03,23054.85,13197.20,27502.31,50557.16,63754.36,15357.09,11836.08,21760.06,11889.12,27193.18,48953.23,60842.36,18743.44,9945.19,20575.95,15586.33,28688.64,49264.59,64850.92,21249.83,11483.55,27640.72,15778.68,32733.39,60374.11,76152.79,17350.90,10325.09,31402.14,14923.56,27676.00,59078.13,74001.70,21182.65,15406.28,31756.73,17318.32,36588.93,68345.66,85663.98,23603.80,15023.13,36190.96,20029.76,38626.93,74817.89,94847.65,27599.39,18629.75,32159.72,19113.97,46229.14,78388.86,97502.83,26659.52,18532.27,33823.50,19997.39,45191.79,79015.29,99012.68,22191.04,11649.66,33052.06,22765.15,33840.70,66892.76,89657.91,26517.90,19988.33,31070.30,20536.83,46506.23,77576.53,98113.35,27943.81,20799.23,34662.74,20873.68,48743.05,83405.79,104279.47,31138.70,15408.87,37074.52,20132.50,46547.57,83622.09,103754.59,31552.47,17219.49,34907.76,25522.95,48771.96,83679.72,109202.67,32803.73,14506.41,34314.17,23981.82,47310.14,81624.31,105606.12,26549.34,13055.50,37955.95,23946.29,39604.84,77560.79,101507.07,32772.74,19057.57,36915.42,22573.51,51830.30,88745.72,111319.23,34300.09,18405.22,31440.59,25015.85,52705.30,84145.89,109161.74,33588.87,16798.64,38820.78,22975.03,50387.50,89208.29,112183.32,31799.75,19383.54,40164.65,22895.27,51183.30,91347.94,114243.21,33881.25,20391.19,32676.78,29452.32,54272.43,86949.22,116401.53,33812.82,21276.35,33494.97,27432.36,55089.18,88584.15,116016.51,34890.70,21116.36,35169.23,26951.49,56007.05,91176.29,118127.77,35076.51,16825.05,35619.18,26780.23,51901.56,87520.74,114300.96,33303.00,21425.99,34578.27,27621.92,54728.99,89307.26,116929.18,31470.71,.,.,.,.,.,.
Constant 2018 Prices,..Banana,19526.19,22747.36,20536.23,20559.17,42273.54,62809.77,83368.93,20152.99,23190.67,20907.31,21318.51,43343.66,64250.98,85569.48,20594.49,24031.13,22015.33,22576.19,44625.61,66640.95,89217.14,21121.74,24244.32,21810.86,23651.37,45366.06,67176.92,90828.29,21786.10,24977.55,23155.38,25351.67,46763.65,69919.03,95270.69,22529.23,28068.72,26675.54,29289.68,50597.95,77273.49,106563.17,25442.49,31111.83,28195.40,30194.68,56554.33,84749.73,114944.41,26941.00,33739.94,29915.19,36076.32,60680.94,90596.13,126672.45,32509.65,40864.28,35599.85,37992.79,73373.93,108973.77,146966.56,34177.09,42514.18,36657.02,39123.93,76691.27,113348.29,152472.22,34609.29,42634.89,37489.92,39217.73,77244.18,114734.10,153951.84,35551.71,42546.25,37833.93,39088.08,78097.96,115931.89,155019.97,36264.97,43115.24,38724.90,37926.05,79380.21,118105.11,156031.16,33992.17,38447.76,36253.74,37555.21,72439.92,108693.66,146248.88,34643.55,38972.20,37874.29,38786.75,73615.75,111490.04,150276.79,36043.53,38908.56,39164.19,39517.24,74952.09,114116.28,153633.51,34554.40,37481.45,38426.25,40146.62,72035.85,110462.10,150608.72,35440.09,38453.70,39751.70,41404.78,73893.79,113645.49,155050.27,36169.66,39908.00,40558.02,41660.82,76077.66,116635.68,158296.50,35674.04,38252.87,39900.99,41067.81,73926.90,113827.90,154895.70,34807.03,37740.20,39397.88,41245.40,72547.24,111945.12,153190.52,35162.14,38217.96,39326.52,41076.14,73380.10,112706.62,153782.76,33988.85,38362.70,39349.60,40759.66,72351.55,111701.15,152460.81,34124.61,38385.22,39362.12,40691.32,72509.83,111871.95,152563.27,32586.28,37116.08,38928.81,38340.78,69702.37,108631.18,146971.96,32823.68,36164.43,38543.18,38126.74,68988.11,107531.29,145658.04,31951.57,.,.,.,.,.,.
Constant 2018 Prices,..Coconut,18758.87,18829.72,17501.33,24459.61,37588.58,55089.91,79549.53,20257.29,22250.68,18099.69,20961.97,42507.97,60607.66,81569.62,23990.61,22318.95,21160.14,20404.30,46309.56,67469.70,87873.99,24744.35,22670.85,21565.87,20418.73,47415.20,68981.07,89399.80,24606.85,22365.59,21943.56,20799.27,46972.45,68916.00,89715.27,25803.84,23068.44,22833.80,21013.79,48872.28,71706.08,92719.88,26442.52,23302.90,23005.87,20925.24,49745.42,72751.29,93676.54,25088.15,22409.50,23448.44,21642.04,47497.66,70946.10,92588.14,26556.81,23880.11,23660.06,21702.16,50436.92,74096.98,95799.13,26864.82,24202.40,24656.38,22170.55,51067.22,75723.60,97894.14,27180.05,24058.70,24322.02,21535.43,51238.74,75560.77,97096.19,25504.92,23258.41,24258.19,22011.03,48763.33,73021.52,95032.56,26956.05,24387.21,25393.80,22334.48,51343.27,76737.07,99071.55,26687.59,23818.38,24601.44,21007.45,50505.97,75107.41,96114.86,24879.01,22715.86,23295.72,20861.61,47594.87,70890.58,91752.20,24998.77,22678.71,23528.82,20804.03,47677.48,71206.30,92010.33,23837.42,21071.15,21799.33,19658.65,44908.58,66707.91,86366.56,22911.19,21217.87,22689.36,20578.01,44129.06,66818.42,87396.43,24638.64,22094.59,23828.76,21206.39,46733.23,70561.99,91768.38,24660.00,21992.20,23996.90,21327.13,46652.20,70649.10,91976.23,23608.75,21592.27,23657.68,21247.22,45201.02,68858.70,90105.92,23418.58,21779.87,24120.25,22007.94,45198.45,69318.70,91326.64,23886.32,22224.82,24372.10,22223.94,46111.14,70483.24,92707.19,24273.72,22558.88,24015.17,21801.82,46832.60,70847.77,92649.59,23471.25,21651.95,24000.93,21042.21,45123.20,69124.14,90166.35,23398.79,22302.97,23486.25,21066.21,45701.76,69188.01,90254.22,23729.57,.,.,.,.,.,.
Constant 2018 Prices,..Mango,13453.21,18207.65,2016.27,1220.40,31660.86,33677.13,34897.53,13729.69,19203.78,2031.67,1189.35,32933.47,34965.14,36154.49,14620.43,20989.53,2166.45,1309.56,35609.96,37776.40,39085.96,14201.57,22838.70,2250.88,1344.27,37040.27,39291.15,40635.42,13746.56,21499.16,2257.58,1626.44,35245.72,37503.31,39129.74,12504.68,22730.21,2454.08,1521.53,35234.89,37688.96,39210.49,11225.45,21219.66,2571.92,1442.39,32445.11,35017.03,36459.43,11814.75,24290.46,2758.65,1448.77,36105.21,38863.86,40312.64,10388.55,20610.94,2572.69,1339.19,30999.49,33572.18,34911.37,9996.78,16971.74,2657.14,1288.64,26968.51,29625.65,30914.30,10305.70,18784.63,2567.05,1224.37,29090.33,31657.38,32881.76,9645.15,18098.15,2350.59,1197.34,27743.29,30093.89,31291.23,9062.53,17767.69,2301.38,1238.47,26830.22,29131.60,30370.07,9468.65,19075.48,2374.54,1269.89,28544.13,30918.66,32188.55,9451.64,21536.80,2332.10,1197.90,30988.44,33320.54,34518.44,8741.93,22417.22,2538.85,1155.06,31159.15,33698.00,34853.06,6871.34,20755.03,2317.30,1066.23,27626.37,29943.67,31009.89,6332.60,18651.91,2192.22,958.47,24984.51,27176.73,28135.20,5737.68,18044.68,2287.56,963.04,23782.36,26069.91,27032.95,5574.33,19013.83,2307.85,968.69,24588.17,26896.01,27864.70,5524.59,19054.48,2355.98,960.00,24579.07,26935.05,27895.04,5749.50,19011.73,2369.66,943.32,24761.23,27130.88,28074.21,5520.39,18281.45,2279.91,888.14,23801.84,26081.75,26969.89,5629.63,20361.17,2627.35,955.54,25990.80,28618.15,29573.70,5774.07,19790.73,2333.21,918.62,25564.80,27898.01,28816.63,5340.96,18084.34,2508.20,937.89,23425.30,25933.50,26871.39,5320.79,.,.,.,.,.,.
Constant 2018 Prices,..Sugarcane,13352.91,6145.63,1886.05,13597.25,19498.55,21384.60,34981.85,13069.64,6883.82,1932.95,14033.33,19953.46,21886.42,35919.75,14262.72,5216.62,1080.10,14644.29,19479.34,20559.44,35203.74,16607.30,6624.91,829.81,15099.69,23232.21,24062.03,39161.71,17213.85,9341.20,656.03,14537.98,26555.05,27211.08,41749.06,15986.95,6308.42,599.51,14515.49,22295.38,22894.89,37410.38,17027.96,5532.05,764.49,16499.38,22560.02,23324.50,39823.88,15792.51,5550.16,810.07,14084.64,21342.67,22152.74,36237.38,17119.63,11824.81,1269.43,13214.32,28944.44,30213.86,43428.18,16093.78,5115.04,1386.73,14852.49,21208.82,22595.55,37448.04,14299.09,1951.58,335.75,12379.89,16250.67,16586.42,28966.31,18120.63,11924.92,1035.65,15383.15,30045.55,31081.21,46464.36,16862.33,6850.60,1629.59,18215.95,23712.93,25342.53,43558.47,16604.06,5250.00,2023.10,16458.68,21854.07,23877.17,40335.84,17486.05,5477.38,2674.47,15171.48,22963.43,25637.90,40809.38,16981.54,4638.00,1556.31,13997.35,21619.54,23175.85,37173.20,17353.51,5866.46,834.32,11892.21,23219.97,24054.29,35946.50,17877.03,15099.04,1364.45,13600.69,32976.07,34340.52,47941.21,14537.05,11170.19,1757.85,13298.29,25707.24,27465.10,40763.39,16655.02,4510.83,702.93,11324.36,21165.85,21868.78,33193.14,17318.08,8860.28,869.92,12461.82,26178.36,27048.28,39510.10,16538.42,11944.06,1833.52,12632.16,28482.47,30316.00,42948.16,14861.96,5513.59,3277.46,14990.70,20375.55,23653.02,38643.72,12331.71,4891.78,2413.44,16562.06,17223.49,19636.93,36198.99,14457.31,2824.07,391.75,12601.63,17281.38,17673.13,30274.76,17204.34,12455.38,556.38,12558.76,29659.72,30216.10,42774.86,15832.37,.,.,.,.,.,.
Constant 2018 Prices,..Pineapple,4175.27,5182.24,5008.30,3114.31,9357.51,14365.81,17480.12,4285.86,5514.11,5112.05,3242.09,9799.97,14912.02,18154.11,4308.61,5682.98,5151.58,3271.15,9991.59,15143.17,18414.32,4305.24,5832.18,5586.75,3370.26,10137.42,15724.17,19094.42,4422.48,6131.62,5910.93,3380.79,10554.10,16465.03,19845.82,4414.45,6176.61,6093.15,3472.26,10591.06,16684.21,20156.47,4486.18,6340.18,6192.38,3633.49,10826.37,17018.74,20652.23,4655.98,6658.21,6991.04,4293.41,11314.19,18305.23,22598.64,5091.39,7609.34,6999.27,4999.53,12700.73,19700.00,24699.52,5275.62,7513.44,6782.75,4972.60,12789.06,19571.81,24544.41,5209.93,7694.99,6640.22,4760.04,12904.91,19545.13,24305.17,5056.30,8352.74,6915.01,4940.80,13409.04,20324.05,25264.85,5357.21,8624.49,7376.93,5493.47,13981.70,21358.62,26852.09,5669.03,8727.78,7399.22,5681.73,14396.81,21796.03,27477.76,5995.58,8823.76,7399.61,5771.65,14819.34,22218.95,27990.60,6100.74,9068.68,7831.43,5867.96,15169.41,23000.85,28868.81,6185.62,9093.12,7958.08,5948.07,15278.74,23236.82,29184.89,6418.68,9183.12,8079.66,6123.69,15601.80,23681.46,29805.15,6503.59,9485.75,8335.66,6187.11,15989.34,24325.01,30512.12,6500.79,9550.95,8416.79,6235.11,16051.74,24468.53,30703.64,6554.64,9687.18,7694.04,6241.22,16241.83,23935.87,30177.08,6931.04,10130.05,8701.67,6274.80,17061.09,25762.76,32037.57,7000.38,9987.03,8831.93,6687.18,16987.40,25819.34,32506.52,6731.23,10371.11,9143.70,6695.39,17102.34,26246.04,32941.43,6813.58,10093.76,9107.20,6619.11,16907.34,26014.54,32633.65,6911.55,9978.06,8726.76,6427.18,16889.61,25616.37,32043.56,7347.77,.,.,.,.,.,.
Constant 2018 Prices,..Cassava,1350.86,2303.19,3424.70,4913.11,3654.05,7078.75,11991.86,1314.94,2265.23,3403.25,4174.08,3580.17,6983.42,11157.50,1368.56,2315.60,3325.30,3883.09,3684.16,7009.46,10892.55,1349.07,2180.47,3458.57,3972.41,3529.53,6988.11,10960.51,1358.67,2282.60,3427.03,3971.05,3641.27,7068.30,11039.35,1372.99,2372.54,3448.06,4077.90,3745.53,7193.59,11271.49,1497.33,2576.37,3479.58,4157.17,4073.70,7553.28,11710.45,1852.96,2709.22,3508.72,4257.91,4562.18,8070.89,12328.80,1917.90,2841.65,3605.04,4411.29,4759.55,8364.59,12775.89,2019.26,3139.92,3685.91,4514.16,5159.17,8845.09,13359.24,2160.49,3156.94,3708.00,4693.54,5317.43,9025.43,13718.97,2252.56,3333.23,3915.48,4929.40,5585.79,9501.27,14430.67,2192.08,3427.23,3992.41,4915.19,5619.30,9611.72,14526.91,2211.90,3563.95,4510.30,5277.12,5775.86,10286.15,15563.27,2466.09,3891.28,4806.39,5495.60,6357.37,11163.76,16659.36,2693.07,4104.40,5162.51,5840.29,6797.47,11959.98,17800.27,2890.33,3995.98,5237.31,5946.71,6886.31,12123.62,18070.33,2938.18,4133.86,5338.62,5968.82,7072.05,12410.66,18379.48,2709.80,4097.41,5168.63,5886.22,6807.21,11975.84,17862.05,2557.96,3801.85,5098.55,5923.36,6359.81,11458.36,17381.72,2564.06,3656.80,5089.70,5964.94,6220.87,11310.57,17275.51,2376.14,3504.06,5076.79,6129.83,5880.20,10956.99,17086.82,2314.32,3534.56,5090.80,6168.18,5848.87,10939.67,17107.85,2434.49,3591.64,4939.18,6002.35,6026.14,10965.32,16967.67,2218.51,3332.02,4748.98,5491.92,5550.52,10299.50,15791.43,2218.08,3353.78,4497.09,5341.04,5571.87,10068.96,15410.00,2258.53,.,.,.,.,.,.
Constant 2018 Prices,..Rubber,995.54,1879.01,1299.78,961.59,2874.55,4174.34,5135.93,1061.35,1838.38,1324.48,1937.69,2899.73,4224.21,6161.90,1007.33,1824.97,1303.08,2091.66,2832.30,4135.39,6227.05,972.54,1842.40,1373.76,2175.39,2814.94,4188.70,6364.09,990.24,1915.73,1481.21,2794.83,2905.97,4387.18,7182.01,961.04,1939.77,1648.66,2740.40,2900.81,4549.47,7289.88,1534.27,1954.49,1741.67,2933.89,3488.76,5230.43,8164.31,1571.90,2400.82,2037.22,3363.25,3972.72,6009.94,9373.19,1672.23,2533.43,1967.13,3374.37,4205.66,6172.78,9547.15,1636.12,2561.16,2041.05,2885.82,4197.29,6238.33,9124.15,1495.69,2522.54,2136.29,3042.19,4018.23,6154.52,9196.71,1591.06,2675.57,2229.09,3394.13,4266.63,6495.73,9889.85,1713.28,2840.24,2347.23,3410.16,4553.52,6900.76,10310.92,1708.74,2767.61,2357.32,3507.72,4476.35,6833.67,10341.39,1710.90,2917.49,2483.41,3436.27,4628.39,7111.80,10548.08,1341.06,2887.74,2329.36,2737.27,4228.80,6558.16,9295.43,988.43,2545.85,2184.52,2704.47,3534.28,5718.79,8423.26,1165.25,2842.91,2514.68,2945.21,4008.16,6522.84,9468.05,1216.36,2906.86,2687.57,3040.72,4123.22,6810.79,9851.50,1174.60,3028.62,2588.04,3234.02,4203.21,6791.25,10025.27,1175.09,2824.89,2484.72,3308.35,3999.98,6484.70,9793.05,1219.61,2991.18,2548.95,3242.57,4210.79,6759.74,10002.30,1215.72,2974.10,2540.51,2951.26,4189.82,6730.33,9681.59,1151.16,2719.97,2218.30,2730.63,3871.13,6089.43,8820.06,1162.77,2516.36,2115.63,2688.67,3679.13,5794.75,8483.42,1321.06,2754.62,2261.75,2800.07,4075.68,6337.42,9137.50,1398.93,.,.,.,.,.,.
Constant 2018 Prices,..Sweet Potato,2137.33,2379.22,2634.75,2300.80,4516.55,7151.30,9452.10,2049.90,2323.59,2668.14,2269.99,4373.49,7041.63,9311.62,2059.69,2289.36,2739.02,2296.31,4349.05,7088.07,9384.37,2067.49,2239.89,2760.83,2277.18,4307.37,7068.20,9345.38,1990.18,2174.94,2813.09,2344.84,4165.13,6978.21,9323.05,2042.39,2461.97,2935.94,2379.35,4504.36,7440.30,9819.65,2053.05,2436.53,2885.39,2307.61,4489.58,7374.97,9682.58,2094.18,2525.43,2885.56,2291.08,4619.61,7505.17,9796.25,2001.29,2556.39,2932.71,2291.68,4557.67,7490.38,9782.06,2020.18,2512.92,2851.40,2185.78,4533.11,7384.51,9570.29,1974.75,2378.95,2779.87,2110.27,4353.69,7133.57,9243.83,1922.94,2298.18,2588.41,2002.98,4221.13,6809.54,8812.51,1943.32,2314.88,2553.17,2007.95,4258.20,6811.36,8819.32,1961.55,2380.12,2530.73,2138.55,4341.67,6872.40,9010.95,1901.65,2380.08,2426.24,2157.22,4281.72,6707.97,8865.19,1933.33,2616.90,2459.44,2121.67,4550.23,7009.67,9131.33,1870.13,2535.54,2398.13,2220.38,4405.66,6803.79,9024.17,1851.48,2609.60,2439.48,2257.62,4461.09,6900.57,9158.18,1829.29,2530.14,2365.99,2233.60,4359.43,6725.42,8959.02,1852.45,2466.07,2400.27,2247.64,4318.52,6718.79,8966.43,1922.15,2587.39,2465.40,2348.07,4509.54,6974.94,9323.01,1903.82,2590.88,2430.26,2373.94,4494.70,6924.96,9298.90,1887.01,2693.68,2482.93,2454.20,4580.69,7063.62,9517.83,1746.09,2491.76,2346.72,2339.79,4237.85,6584.56,8924.35,1589.34,2348.31,2505.77,2174.24,3937.65,6443.41,8617.65,1440.37,2160.55,2220.13,1836.51,3600.92,5821.06,7657.57,1403.33,.,.,.,.,.,.
Constant 2018 Prices,..Onion,1201.45,1505.66,10.34,449.32,2707.11,2717.45,3166.76,1218.03,1462.64,8.30,419.77,2680.68,2688.98,3108.75,1380.44,1818.36,7.89,408.95,3198.80,3206.69,3615.65,1339.17,1756.40,5.57,420.12,3095.57,3101.15,3521.27,1377.50,1399.48,5.64,495.69,2776.98,2782.62,3278.32,1399.34,1204.00,3.38,506.15,2603.34,2606.71,3112.86,1341.89,1003.38,2.67,545.86,2345.26,2347.93,2893.79,1511.46,3315.50,3.35,578.28,4826.96,4830.31,5408.59,1461.83,2790.10,3.27,533.86,4251.93,4255.21,4789.07,1445.58,2849.82,2.92,414.48,4295.39,4298.32,4712.80,1608.03,2989.71,2.61,427.98,4597.74,4600.35,5028.33,1541.81,2814.85,2.07,412.19,4356.66,4358.73,4770.92,1497.89,2732.42,2.30,408.73,4230.31,4232.61,4641.34,1625.27,2966.06,2.14,394.01,4591.33,4593.47,4987.48,3117.27,4122.15,2.64,386.27,7239.42,7242.06,7628.33,4899.61,1763.01,2.17,372.68,6662.61,6664.78,7037.46,3387.58,1032.42,2.17,354.39,4420.00,4422.17,4776.56,5207.10,1624.05,1.69,353.46,6831.15,6832.84,7186.30,4996.00,1389.03,1.66,357.20,6385.03,6386.69,6743.89,6135.42,2135.41,1.43,361.12,8270.83,8272.26,8633.38,6585.32,1989.59,1.41,375.53,8574.91,8576.32,8951.85,5680.35,2426.67,1.30,326.23,8107.02,8108.32,8434.55,5920.73,2917.24,1.32,448.30,8837.97,8839.29,9287.58,6298.40,3017.75,3.50,417.93,9316.15,9319.66,9737.59,8097.55,1890.30,6.96,371.56,9987.85,9994.81,10366.37,8205.36,3355.08,12.33,384.98,11560.44,11572.77,11957.76,8745.84,.,.,.,.,.,.
Constant 2018 Prices,..Eggplant,1704.26,1642.44,1064.26,665.23,3346.70,4410.96,5076.18,1756.87,1747.16,947.28,716.03,3504.03,4451.31,5167.34,1940.24,1799.28,982.49,751.19,3739.53,4722.01,5473.20,1898.29,1784.89,937.13,766.48,3683.19,4620.31,5386.80,1985.94,1896.30,935.92,736.61,3882.24,4818.17,5554.78,2006.49,1962.01,974.11,763.83,3968.50,4942.60,5706.43,1981.11,2200.90,980.23,645.51,4182.01,5162.23,5807.74,2136.37,2522.81,1032.97,650.92,4659.18,5692.15,6343.07,2053.29,2216.86,1094.92,689.50,4270.14,5365.06,6054.57,2102.93,2191.32,1185.24,630.93,4294.25,5479.50,6110.43,2120.83,2215.70,1395.66,620.85,4336.53,5732.19,6353.04,2113.12,2263.84,1325.99,630.06,4376.96,5702.95,6333.01,2097.70,2339.09,1335.93,671.44,4436.79,5772.71,6444.15,2237.63,2429.52,1339.94,678.77,4667.15,6007.08,6685.86,2254.32,2517.23,1363.65,717.47,4771.55,6135.20,6852.67,2434.22,2561.86,1385.67,698.41,4996.07,6381.74,7080.15,2429.85,2620.61,1396.35,712.40,5050.46,6446.81,7159.21,2506.34,2752.36,1328.37,746.02,5258.70,6587.07,7333.09,2514.61,2851.77,1308.87,735.63,5366.38,6675.25,7410.88,2562.39,2941.79,1307.74,745.65,5504.18,6811.92,7557.56,2399.34,2889.26,1352.10,701.90,5288.59,6640.69,7342.59,2422.21,2950.68,1284.21,712.86,5372.90,6657.11,7369.97,2518.71,2956.47,1313.60,713.19,5475.18,6788.78,7501.98,2486.39,2849.04,1131.42,734.51,5335.43,6466.85,7201.35,2396.29,2649.14,1168.45,693.04,5045.43,6213.88,6906.92,2462.25,2726.34,1213.48,704.46,5188.59,6402.08,7106.54,2532.54,.,.,.,.,.,.
