Crop,Geolocation,2010 Quarter1,2010 Quarter2,2010 Semester1,2010 Quarter3,2010 Quarter4,2010 Semester2,2010 Annual,2011 Quarter1,2011 Quarter2,2011 Semester1,2011 Quarter3,2011 Quarter4,2011 Semester2,2011 Annual,2012 Quarter1,2012 Quarter2,2012 Semester1,2012 Quarter3,2012 Quarter4,2012 Semester2,2012 Annual,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual,2024 Quarter1,2024 Quarter2,2024 Semester1,2024 Quarter3,2024 Quarter4,2024 Semester2,2024 Annual,2025 Quarter1,2025 Quarter2,2025 Semester1,2025 Quarter3,2025 Quarter4,2025 Semester2,2025 Annual,2026 Quarter1,2026 Quarter2,2026 Semester1,2026 Quarter3,2026 Quarter4,2026 Semester2,2026 Annual
..Coffee Arabica (dried berries),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Arabica (dried berries),..REGION VII (CENTRAL VISAYAS),3.05,0.00,3.05,0.00,20.19,20.19,23.24,3.11,0.00,3.11,0.10,21.90,22.00,25.11,3.05,0.10,3.15,0.13,19.84,19.97,23.12,2.82,0.08,2.90,0.21,24.69,24.90,27.80,2.47,0.07,2.54,0.15,23.74,23.89,26.43,2.25,0.05,2.30,0.00,21.81,21.81,24.11,2.08,0.03,2.11,0.00,20.82,20.82,22.93,2.03,0.02,2.05,0.00,22.71,22.71,24.76,0.97,0.00,0.97,0.00,21.78,21.78,22.75,0.93,0.00,0.93,0.00,20.34,20.34,21.27,0.52,0.00,0.52,0.00,19.25,19.25,19.77,0.42,0.00,0.42,0.00,22.06,22.06,22.48,0.20,0.00,0.20,..,..,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Arabica (dried berries),..REGION VIII (EASTERN VISAYAS),3.27,29.02,32.29,0.73,31.66,32.39,64.68,3.18,28.37,31.55,0.71,29.37,30.08,61.63,3.16,26.00,29.16,0.70,28.27,28.97,58.13,1.70,25.68,27.38,0.70,13.41,14.11,41.49,1.15,8.62,9.77,0.68,12.36,13.04,22.81,1.06,1.16,2.22,0.65,8.10,8.75,10.97,0.72,1.05,1.77,0.50,6.66,7.16,8.93,0.52,0.50,1.02,0.35,7.13,7.48,8.50,0.46,0.52,0.98,0.40,6.81,7.21,8.19,0.50,0.46,0.96,0.00,7.40,7.40,8.36,0.39,0.09,0.48,0.00,6.10,6.10,6.58,0.36,0.08,0.44,0.00,6.10,6.10,6.54,0.13,0.08,0.21,..,..,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Arabica (dried berries),..REGION IX (ZAMBOANGA PENINSULA),88.01,92.53,180.54,93.00,233.91,326.91,507.45,58.43,76.56,134.99,69.01,225.15,294.16,429.14,56.56,72.72,129.29,70.30,221.26,291.56,420.84,52.30,70.26,122.56,68.81,213.62,282.43,404.99,51.29,70.00,121.29,70.23,214.60,284.83,406.12,54.93,71.83,126.76,74.65,222.90,297.55,424.31,47.24,48.16,95.40,47.37,170.36,217.73,313.13,32.65,15.97,48.62,10.90,80.21,91.10,139.72,27.88,14.79,42.67,11.53,80.38,91.91,134.58,25.30,12.76,38.06,10.11,79.64,89.75,127.82,19.10,9.12,28.22,11.79,79.12,90.91,119.13,18.81,9.40,28.21,10.64,72.50,83.14,111.35,15.31,9.76,25.07,..,..,0.00,25.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Arabica (dried berries),..REGION X (NORTHERN MINDANAO),103.74,183.98,287.72,9.42,88.96,98.38,386.10,102.36,181.69,284.05,9.00,88.15,97.15,381.20,94.93,179.09,274.02,8.43,95.90,104.33,378.35,95.30,178.10,273.40,11.20,94.80,106.00,379.40,94.95,177.54,272.49,11.88,95.62,107.50,379.99,89.73,173.15,262.88,12.42,96.75,109.17,372.05,88.36,168.21,256.57,10.49,67.90,78.39,334.96,74.16,158.01,232.17,8.82,54.29,63.11,295.28,66.71,108.85,175.56,8.28,45.40,53.68,229.24,57.70,97.72,155.42,8.16,43.40,51.56,206.98,54.67,92.66,147.33,8.54,43.01,51.55,198.88,49.39,91.25,140.64,8.16,40.65,48.81,189.45,47.78,88.10,135.88,..,..,0.00,135.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),PHILIPPINES,2146.52,1513.83,3660.34,815.98,1877.46,2693.44,6353.78,1939.31,1392.26,3331.57,765.76,1818.46,2584.22,5915.80,2099.25,1242.37,3341.62,703.92,1691.28,2395.19,5736.81,1814.57,1118.96,2933.53,530.57,1452.74,1983.31,4916.84,1744.69,1103.13,2847.82,448.50,1428.86,1877.35,4725.17,1644.69,1024.87,2669.56,448.12,1428.74,1876.86,4546.41,1607.96,867.09,2475.05,422.41,1371.15,1793.56,4268.61,1577.56,861.05,2438.60,395.65,1230.20,1625.85,4064.45,1565.18,879.26,2444.43,390.71,1204.17,1594.89,4039.32,1537.98,798.29,2336.28,383.48,1188.12,1571.59,3907.87,1431.04,736.47,2167.51,378.87,1165.93,1544.81,3712.31,1392.78,735.39,2128.17,376.03,1172.46,1548.49,3676.65,1361.83,630.53,1992.36,0.00,0.00,0.00,1992.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),72.67,4.87,77.54,0.00,7.04,7.04,84.58,74.82,4.75,79.57,0.00,6.87,6.87,86.44,76.94,4.64,81.58,0.00,6.80,6.80,88.38,72.47,4.70,77.17,0.00,6.88,6.88,84.05,67.79,4.26,72.05,0.00,6.50,6.50,78.55,67.44,4.04,71.48,0.00,6.00,6.00,77.48,48.30,3.91,52.21,0.00,5.80,5.80,58.01,21.56,3.87,25.43,0.00,5.90,5.90,31.33,18.73,3.94,22.67,0.00,5.50,5.50,28.17,17.61,3.72,21.33,0.00,6.25,6.25,27.58,18.54,3.78,22.32,0.00,6.00,6.00,28.32,17.26,4.41,21.67,0.00,6.15,6.15,27.82,17.45,4.32,21.77,..,..,0.00,21.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION I (ILOCOS REGION),0.00,10.20,10.20,0.00,8.45,8.45,18.64,0.00,10.82,10.82,0.00,6.34,6.34,17.16,0.00,11.04,11.04,0.00,4.96,4.96,16.00,0.00,11.25,11.25,0.00,4.69,4.69,15.94,0.00,11.47,11.47,0.00,4.63,4.63,16.10,0.06,11.25,11.31,0.00,4.04,4.04,15.35,6.81,4.77,11.58,0.00,3.54,3.54,15.12,5.29,4.50,9.79,0.00,2.73,2.73,12.52,5.26,4.87,10.12,0.00,2.68,2.68,12.80,5.15,4.80,9.96,0.00,2.87,2.87,12.82,5.09,4.62,9.70,0.00,3.11,3.11,12.81,5.14,4.71,9.85,0.00,2.88,2.88,12.73,5.14,4.66,9.80,..,..,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION II (CAGAYAN VALLEY),148.66,6.54,155.20,0.00,0.00,0.00,155.20,147.54,5.43,152.96,0.00,0.00,0.00,152.96,116.77,3.46,120.23,0.00,0.00,0.00,120.23,99.85,4.33,104.18,0.00,0.00,0.00,104.18,94.91,4.62,99.53,0.00,0.00,0.00,99.53,90.97,4.49,95.46,0.00,0.00,0.00,95.46,98.67,8.73,107.40,0.00,0.00,0.00,107.40,106.91,8.87,115.78,0.00,0.00,0.00,115.78,107.06,21.49,128.55,0.00,0.00,0.00,128.55,107.30,21.97,129.28,0.00,0.00,0.00,129.28,113.38,22.48,135.86,0.00,0.00,0.00,135.86,123.47,23.27,146.74,0.00,0.00,0.00,146.74,135.64,24.81,160.45,..,..,0.00,160.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION III (CENTRAL LUZON),23.55,0.00,23.55,0.00,17.50,17.50,41.05,23.88,0.00,23.88,0.00,16.70,16.70,40.58,23.40,0.00,23.40,0.00,14.50,14.50,37.90,22.97,0.00,22.97,0.00,12.00,12.00,34.97,21.80,0.00,21.80,0.00,12.70,12.70,34.50,21.20,0.00,21.20,0.00,6.50,6.50,27.70,17.00,0.00,17.00,0.00,3.00,3.00,20.00,16.45,0.00,16.45,0.00,0.00,0.00,16.45,4.85,0.00,4.85,0.00,0.00,0.00,4.85,4.50,0.00,4.50,0.00,0.00,0.00,4.50,3.75,0.00,3.75,0.00,0.00,0.00,3.75,3.70,0.00,3.70,0.00,0.00,0.00,3.70,3.50,0.00,3.50,..,..,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION IV-A (CALABARZON),401.32,488.70,890.02,0.00,0.95,0.95,890.97,343.30,381.81,725.11,0.00,0.00,0.00,725.11,580.02,236.06,816.08,0.00,0.00,0.00,816.08,423.69,163.18,586.87,0.00,0.00,0.00,586.87,399.98,147.07,547.05,0.00,0.00,0.00,547.05,303.48,77.35,380.83,0.00,0.00,0.00,380.83,304.43,77.27,381.70,0.00,0.00,0.00,381.70,293.07,72.61,365.68,0.00,0.00,0.00,365.68,317.61,67.44,385.05,0.00,0.00,0.00,385.05,321.30,66.48,387.78,0.00,0.00,0.00,387.78,257.36,60.93,318.29,0.00,0.00,0.00,318.29,272.34,59.65,331.99,0.00,0.00,0.00,331.99,262.85,58.89,321.74,..,..,0.00,321.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..MIMAROPA REGION,12.80,18.87,31.67,0.00,12.60,12.60,44.27,12.38,18.38,30.76,0.00,10.75,10.75,41.51,11.92,17.94,29.86,0.00,8.93,8.93,38.79,11.51,14.43,25.94,0.00,7.25,7.25,33.19,10.90,12.92,23.82,0.00,6.41,6.41,30.23,10.51,10.85,21.36,0.00,6.12,6.12,27.48,10.08,9.69,19.77,0.00,5.68,5.68,25.45,9.36,8.99,18.35,0.00,5.58,5.58,23.93,9.13,7.93,17.06,0.00,5.61,5.61,22.67,9.08,5.26,14.34,0.00,5.45,5.45,19.79,7.78,5.21,12.99,0.00,4.86,4.86,17.85,6.00,4.44,10.44,0.00,5.73,5.73,16.17,3.87,4.14,8.01,..,..,0.00,8.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION V (BICOL REGION),1.29,0.00,1.29,0.00,0.00,0.00,1.29,1.25,0.00,1.25,0.00,0.00,0.00,1.25,1.21,0.00,1.21,0.00,0.00,0.00,1.21,1.15,0.00,1.15,0.00,0.00,0.00,1.15,1.12,0.00,1.12,0.00,0.00,0.00,1.12,0.98,0.00,0.98,0.00,0.00,0.00,0.98,0.79,0.00,0.79,0.00,0.00,0.00,0.79,0.71,0.00,0.71,0.00,0.00,0.00,0.71,0.69,0.00,0.69,0.00,0.00,0.00,0.69,0.65,0.00,0.65,0.00,0.00,0.00,0.65,0.52,0.00,0.52,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION VI (WESTERN VISAYAS),0.00,0.00,0.00,0.00,1.60,1.60,1.60,0.00,0.00,0.00,0.00,1.55,1.55,1.55,0.00,0.00,0.00,0.00,1.52,1.52,1.52,0.00,0.00,0.00,0.00,1.47,1.47,1.47,0.00,0.00,0.00,0.00,1.42,1.42,1.42,0.00,0.00,0.00,0.00,1.45,1.45,1.45,0.00,0.00,0.00,0.00,1.50,1.50,1.50,0.00,0.00,0.00,0.00,1.36,1.36,1.36,0.00,0.00,0.00,0.00,1.51,1.51,1.51,0.00,0.00,0.00,0.00,1.66,1.66,1.66,0.00,0.00,0.00,0.00,1.78,1.78,1.78,0.00,0.00,0.00,0.00,1.94,1.94,1.94,0.00,0.00,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION VII (CENTRAL VISAYAS),0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION VIII (EASTERN VISAYAS),2.70,15.79,18.49,0.21,24.14,24.35,42.84,2.49,15.21,17.70,0.22,23.93,24.15,41.85,2.48,14.85,17.33,0.22,22.87,23.09,40.42,1.30,13.52,14.81,0.22,11.40,11.62,26.43,0.72,2.81,3.53,0.21,10.67,10.88,14.41,0.58,6.09,6.67,0.20,12.62,12.82,19.48,0.63,10.10,10.73,0.18,15.37,15.55,26.28,0.48,9.51,9.99,0.15,14.15,14.30,24.29,0.42,9.88,10.30,0.20,12.50,12.70,23.00,0.48,8.00,8.48,0.00,11.81,11.81,20.29,0.42,7.82,8.24,0.00,11.72,11.72,19.96,0.40,7.20,7.60,0.00,11.24,11.24,18.84,0.15,6.60,6.75,..,..,0.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION IX (ZAMBOANGA PENINSULA),18.96,19.93,38.89,18.67,85.57,104.24,143.13,15.50,16.82,32.32,12.55,80.08,92.63,124.95,14.34,15.10,29.44,12.40,75.11,87.52,116.96,12.95,13.94,26.89,11.25,70.80,82.05,108.94,11.82,13.55,25.37,11.27,70.77,82.03,107.40,11.67,13.57,25.24,11.19,72.74,83.93,109.16,10.64,12.19,22.83,7.39,56.86,64.25,87.08,9.73,7.79,17.52,4.45,38.19,42.64,60.17,6.90,5.52,12.42,3.45,35.60,39.06,51.48,6.53,4.82,11.35,2.94,33.76,36.70,48.06,5.58,4.48,10.06,2.69,32.78,35.47,45.52,5.69,4.34,10.03,2.41,31.04,33.45,43.48,5.23,4.33,9.56,..,..,0.00,9.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Excelsa (dried berries),..REGION X (NORTHERN MINDANAO),165.82,62.00,227.82,0.17,125.94,126.11,353.93,159.50,75.80,235.30,0.16,113.39,113.55,348.85,162.70,80.70,243.40,0.14,102.88,103.02,346.42,126.00,73.62,199.62,0.13,97.82,97.95,297.57,96.50,68.10,164.60,0.12,96.20,96.32,260.92,93.20,63.00,156.20,0.11,93.65,93.76,249.96,103.60,68.00,171.60,0.00,94.71,94.71,266.31,101.80,69.59,171.39,0.00,96.20,96.20,267.59,101.15,70.50,171.65,0.00,97.35,97.35,269.00,101.32,65.50,166.82,3.00,99.50,102.50,269.32,100.60,64.18,164.78,3.08,103.59,106.67,271.44,98.91,86.00,184.91,3.00,98.49,101.49,286.40,98.95,63.96,162.91,..,..,0.00,162.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),PHILIPPINES,151.84,86.02,237.86,54.38,341.16,395.54,633.40,144.07,74.43,218.51,56.38,354.74,411.11,629.62,139.34,79.12,218.46,54.22,325.69,379.91,598.37,133.13,67.34,200.47,53.04,309.74,362.77,563.24,126.89,60.00,186.89,53.37,292.61,345.98,532.87,117.23,48.22,165.45,53.21,295.74,348.95,514.40,116.09,45.30,161.39,50.10,287.93,338.03,499.42,116.24,45.93,162.17,50.83,283.02,333.85,496.01,119.62,47.38,167.00,51.36,278.00,329.37,496.37,107.59,45.49,153.08,50.98,279.51,330.49,483.57,101.64,39.68,141.31,49.70,271.52,321.21,462.53,96.71,38.40,135.11,49.53,264.82,314.35,449.46,99.03,40.88,139.92,0.00,0.00,0.00,139.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),5.95,0.44,6.39,0.00,11.20,11.20,17.59,6.04,0.43,6.47,0.00,10.80,10.80,17.27,5.90,0.42,6.32,0.00,10.60,10.60,16.92,5.70,0.40,6.10,0.00,10.46,10.46,16.56,5.63,0.39,6.02,0.00,10.41,10.41,16.43,6.25,0.41,6.66,0.00,9.56,9.56,16.22,6.90,0.43,7.33,0.00,8.76,8.76,16.09,7.10,0.44,7.54,0.00,8.96,8.96,16.50,8.67,0.46,9.13,0.00,7.80,7.80,16.93,8.46,0.45,8.91,0.00,7.90,7.90,16.81,8.58,0.46,9.04,0.00,7.45,7.45,16.49,8.26,0.45,8.71,0.00,6.74,6.74,15.45,7.94,0.43,8.37,..,..,0.00,8.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..REGION I (ILOCOS REGION),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.03,0.03,0.04,0.02,0.00,0.02,..,..,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..REGION II (CAGAYAN VALLEY),9.39,0.44,9.83,0.00,0.00,0.00,9.83,8.09,0.39,8.49,0.00,0.00,0.00,8.49,6.39,0.58,6.97,0.00,0.00,0.00,6.97,6.06,0.63,6.69,0.00,0.00,0.00,6.69,5.54,0.64,6.18,0.00,0.00,0.00,6.18,5.57,0.50,6.07,0.00,0.00,0.00,6.07,5.95,0.59,6.54,0.00,0.00,0.00,6.54,5.54,0.43,5.97,0.00,0.00,0.00,5.97,5.72,2.06,7.78,0.00,0.00,0.00,7.78,5.51,2.08,7.59,0.00,0.00,0.00,7.59,6.02,2.16,8.18,0.00,0.00,0.00,8.18,6.56,2.64,9.20,0.00,0.00,0.00,9.20,8.03,2.73,10.76,..,..,0.00,10.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..REGION III (CENTRAL LUZON),3.45,0.00,3.45,0.00,0.00,0.00,3.45,3.30,0.00,3.30,0.00,0.00,0.00,3.30,3.20,0.00,3.20,0.00,0.00,0.00,3.20,3.26,0.00,3.26,0.00,0.00,0.00,3.26,3.10,0.00,3.10,0.00,0.00,0.00,3.10,3.20,0.00,3.20,0.00,0.00,0.00,3.20,1.82,0.00,1.82,0.00,0.00,0.00,1.82,1.80,0.00,1.80,0.00,0.00,0.00,1.80,1.75,0.00,1.75,0.00,0.00,0.00,1.75,1.65,0.00,1.65,0.00,0.00,0.00,1.65,1.25,0.00,1.25,0.00,0.00,0.00,1.25,1.20,0.00,1.20,0.00,0.00,0.00,1.20,1.10,0.00,1.10,..,..,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..REGION IV-A (CALABARZON),81.91,47.10,129.01,0.00,0.43,0.43,129.44,74.74,36.80,111.54,0.00,0.00,0.00,111.54,72.61,41.18,113.79,0.00,0.00,0.00,113.79,68.36,30.80,99.16,0.00,0.00,0.00,99.16,66.69,27.69,94.38,0.00,0.00,0.00,94.38,59.19,15.66,74.85,0.00,0.00,0.00,74.85,60.17,14.12,74.29,0.00,0.00,0.00,74.29,60.54,15.33,75.87,0.00,0.00,0.00,75.87,63.10,16.04,79.14,0.00,0.00,0.00,79.14,52.45,15.82,68.27,0.00,0.00,0.00,68.27,48.80,10.02,58.82,0.00,0.00,0.00,58.82,45.98,9.13,55.11,0.00,0.00,0.00,55.11,48.38,12.12,60.50,..,..,0.00,60.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..MIMAROPA REGION,7.37,8.03,15.40,0.00,18.00,18.00,33.40,6.55,7.92,14.47,0.00,15.95,15.95,30.42,5.98,7.82,13.80,0.00,10.79,10.79,24.59,5.66,7.00,12.66,0.00,7.82,7.82,20.48,5.36,6.80,12.16,0.00,6.54,6.54,18.70,5.14,6.20,11.34,0.00,6.45,6.45,17.79,4.93,5.20,10.13,0.00,5.58,5.58,15.71,4.71,5.04,9.75,0.00,5.49,5.49,15.24,4.51,4.35,8.86,0.00,5.55,5.55,14.41,4.45,4.25,8.70,0.00,5.50,5.50,14.20,3.62,4.20,7.82,0.00,4.75,4.75,12.57,3.72,4.10,7.82,0.00,6.21,6.21,14.03,3.40,4.31,7.71,..,..,0.00,7.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
..Coffee Liberica (dried berries),..REGION V (BICOL REGION),4.10,0.51,4.61,0.00,0.00,0.00,4.61,3.90,0.43,4.33,0.00,0.00,0.00,4.33,3.82,0.44,4.26,0.00,0.00,0.00,4.26,3.70,0.42,4.12,0.00,0.00,0.00,4.12,3.84,0.44,4.28,0.00,0.00,0.00,4.28,3.53,0.43,3.96,0.00,0.00,0.00,3.96,3.00,0.34,3.34,0.00,0.00,0.00,3.34,2.76,0.33,3.09,0.00,0.00,0.00,3.09,2.67,0.28,2.95,0.00,0.00,0.00,2.95,2.59,0.25,2.84,0.00,0.00,0.00,2.84,2.07,0.23,2.30,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,0.00,0.00,..,..,..,..,..,..
