Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual
..Anchovies (Dilis),....Negros Occidental,293.00,265.00,457.00,328.00,1343.00,269.00,261.00,441.00,482.00,1453.00,259.28,255.17,424.45,442.72,1381.62,407.99,245.20,380.00,471.85,1505.04,297.50,336.24,377.35,502.15,1513.24,1017.25,1029.75,597.89,669.86,3314.75,631.45,939.67,765.82,762.87,3099.81,754.49,705.22,17.34,222.04,1699.09,332.35,246.60,75.94,704.86,1359.75,318.21,232.27,159.42,528.21,1238.11,252.95,100.07,124.38,188.17,665.57,265.86,109.34,425.18,170.56,970.94,316.84,112.56,124.14,179.95,733.49,275.93,123.44,131.05,182.46,712.88,161.88,94.62,220.67,215.34,692.51,499.32,40.77,163.05,129.90,833.04,114.41,57.76,299.42,47.92,519.51,9.09,265.83,86.02,42.15,403.09,8.26,6.03,9.48,10.82,34.59,2.00,53.47,..,..,..
..Anchovies (Dilis),..Region VII (Central Visayas),1269.00,895.00,923.00,1103.00,4190.00,1855.00,1038.00,953.00,1111.00,4957.00,1856.15,986.47,962.93,1088.17,4893.72,1463.06,519.38,468.64,558.96,3010.04,1048.53,478.62,449.04,236.74,2212.93,774.74,538.19,281.32,167.48,1761.73,721.57,319.95,206.71,271.24,1519.47,298.67,695.67,267.70,547.08,1809.12,541.86,780.84,404.71,642.33,2369.74,732.17,737.34,484.90,492.51,2446.92,735.79,432.88,411.77,510.18,2090.62,844.65,376.17,335.80,306.44,1863.06,721.49,870.23,431.49,428.20,2451.41,836.32,827.69,314.47,466.26,2444.74,996.76,1134.25,124.68,278.28,2533.97,912.85,608.76,302.72,330.73,2155.06,742.03,609.27,354.63,501.71,2207.64,939.41,740.89,586.80,703.43,2970.53,942.79,815.31,490.80,669.27,2918.17,591.53,251.44,..,..,..
..Anchovies (Dilis),....Bohol,988.00,740.00,735.00,673.00,3136.00,1547.00,883.00,765.00,634.00,3829.00,1544.00,872.00,779.00,620.00,3815.00,974.00,281.00,96.00,113.00,1464.00,413.00,298.00,278.00,103.00,1092.00,502.00,415.78,207.00,80.00,1204.78,434.87,226.27,129.91,166.91,957.96,128.40,387.67,170.43,439.25,1125.75,238.94,202.94,239.83,451.17,1132.88,327.00,145.59,197.77,308.28,978.64,369.37,107.10,113.55,267.68,857.70,458.75,117.16,118.23,174.27,868.41,604.33,482.48,298.23,279.05,1664.09,676.00,454.62,136.00,338.58,1605.20,762.27,641.62,34.15,145.00,1583.04,576.82,251.54,149.22,173.83,1151.41,366.36,157.25,164.40,324.29,1012.30,223.39,377.86,122.37,320.35,1043.97,170.18,187.79,133.30,324.69,815.96,286.98,102.43,..,..,..
..Anchovies (Dilis),....Cebu,113.00,42.00,84.00,382.00,621.00,143.00,43.00,86.00,385.00,657.00,155.96,9.66,84.38,382.84,632.84,331.83,124.00,274.82,349.23,1079.88,553.27,97.00,146.99,113.00,910.26,218.00,56.52,48.00,70.00,392.52,242.20,45.04,37.95,75.07,400.26,114.62,225.44,53.21,81.64,474.91,287.83,524.53,109.64,138.17,1060.17,360.81,542.35,237.07,135.04,1275.27,321.03,280.55,255.07,194.36,1051.01,340.83,213.11,182.79,84.25,820.98,62.06,203.70,100.13,98.72,464.61,93.25,208.06,139.11,74.25,514.67,160.86,364.04,51.01,78.73,654.64,234.25,284.24,125.64,84.22,728.35,304.67,281.29,159.62,159.92,905.50,681.77,254.86,367.26,302.12,1606.01,702.34,440.83,287.17,231.25,1661.59,243.83,80.98,..,..,..
..Anchovies (Dilis),....Negros Oriental,128.00,72.00,88.00,37.00,325.00,132.00,82.00,87.00,79.00,380.00,120.28,76.81,85.00,73.00,355.09,125.00,88.00,80.00,78.00,371.00,57.26,65.54,13.46,14.05,150.31,50.00,60.00,14.33,15.07,139.40,40.00,42.75,25.50,14.09,122.34,51.00,55.36,29.78,11.85,147.99,10.36,29.19,34.44,40.44,114.43,37.86,16.38,25.29,38.85,118.38,38.26,25.42,21.39,38.94,124.01,36.94,28.44,17.45,38.12,120.95,46.49,167.29,16.29,41.46,271.53,57.61,143.50,27.94,46.22,275.27,63.67,106.54,30.04,46.55,246.80,93.21,52.29,19.36,65.60,230.46,64.14,140.72,21.44,11.35,237.65,26.49,68.95,88.46,72.83,256.73,61.81,145.41,60.88,106.96,375.06,58.28,42.92,..,..,..
..Anchovies (Dilis),....Siquijor,40.00,41.00,16.00,11.00,108.00,33.00,30.00,15.00,13.00,91.00,35.91,28.00,14.55,12.33,90.79,32.23,26.38,17.82,18.73,95.16,25.00,18.08,10.59,6.69,60.36,4.74,5.89,11.99,2.41,25.03,4.50,5.89,13.35,15.17,38.91,4.65,27.20,14.28,14.34,60.47,4.73,24.18,20.80,12.55,62.26,6.50,33.02,24.77,10.34,74.63,7.13,19.81,21.76,9.20,57.90,8.13,17.46,17.33,9.80,52.72,8.61,16.76,16.84,8.97,51.18,9.46,21.51,11.42,7.21,49.60,9.96,22.05,9.48,8.00,49.49,8.57,20.69,8.50,7.08,44.84,6.86,30.01,9.17,6.15,52.19,7.76,39.22,8.71,8.13,63.82,8.46,41.28,9.45,6.37,65.56,2.44,25.11,..,..,..
..Anchovies (Dilis),..Region VIII (Eastern Visayas),1801.00,1215.00,1166.00,2380.00,6562.00,2010.00,1681.00,1479.00,1279.00,6449.00,2163.00,1834.94,1532.91,1558.40,7089.25,2217.08,1919.60,1519.47,1524.23,7180.38,1812.99,1967.45,1381.74,1561.50,6723.68,2134.89,1984.28,1418.31,1216.95,6754.43,1549.11,1341.40,1425.58,1257.40,5573.49,1373.65,2499.57,2098.91,1231.27,7203.40,1766.13,1955.15,1255.66,1336.88,6313.82,1709.13,1967.10,1133.75,1354.59,6164.57,1222.88,1825.02,1098.02,1255.14,5401.06,1134.64,889.74,729.18,775.68,3529.24,793.80,821.58,629.30,729.27,2973.95,899.63,856.34,542.01,675.78,2973.76,661.99,683.35,518.06,768.64,2632.04,555.22,708.82,686.20,540.76,2491.00,587.19,540.28,497.62,696.28,2321.37,1610.42,551.09,604.10,1194.62,3960.23,1104.49,629.92,736.65,1201.08,3672.14,961.01,1110.98,..,..,..
..Anchovies (Dilis),....Biliran,75.00,55.00,41.00,58.00,229.00,69.00,52.00,46.00,58.00,225.00,72.00,57.30,47.41,61.40,238.11,83.45,159.00,134.00,61.00,437.45,82.00,168.00,135.00,116.00,501.00,196.24,210.00,168.97,159.46,734.67,142.01,142.47,281.24,154.77,720.49,99.49,77.72,60.92,79.73,317.86,85.47,31.49,36.95,40.11,194.02,69.25,25.75,39.32,73.26,207.58,46.56,47.80,37.39,70.28,202.03,63.23,58.48,122.77,119.06,363.54,94.05,102.69,125.65,122.60,444.99,89.75,89.15,125.22,110.70,414.82,10.37,80.79,68.97,46.81,206.94,20.88,22.08,13.75,12.44,69.15,23.64,26.19,14.82,20.41,85.06,27.17,29.30,45.58,47.16,149.21,37.19,30.74,36.26,33.95,138.14,31.85,25.81,..,..,..
..Anchovies (Dilis),....Eastern Samar,131.00,169.00,120.00,140.00,560.00,125.00,95.00,125.00,131.00,476.00,133.00,150.00,175.00,182.00,640.00,114.13,122.85,124.00,187.90,548.88,189.95,166.00,160.30,183.85,700.10,193.90,170.25,131.70,133.73,629.58,192.09,164.93,136.48,111.97,605.47,162.51,26.95,242.16,23.22,454.84,..,..,95.36,21.45,116.81,..,..,92.07,..,92.07,..,2.51,23.70,8.21,34.42,..,2.62,11.65,2.52,16.79,..,1.59,..,5.15,6.74,..,3.60,..,..,3.60,0.22,0.56,..,12.07,12.85,0.25,17.15,16.06,..,33.46,..,4.66,9.03,1.21,14.90,15.36,0.18,8.18,6.82,30.54,15.99,2.38,16.85,..,35.22,..,..,..,..,..
..Anchovies (Dilis),....Leyte,619.00,220.00,596.00,597.00,2032.00,677.00,575.00,639.00,664.00,2555.00,776.00,599.20,661.00,699.00,2735.20,845.50,639.25,666.47,649.33,2800.55,860.84,701.45,686.09,644.11,2892.49,956.91,698.31,699.77,634.46,2989.45,973.44,704.88,676.61,736.71,3091.64,938.72,1415.68,1143.87,664.05,4162.32,1231.25,1579.33,668.19,678.59,4157.36,1297.29,1505.08,628.03,724.66,4155.06,819.26,1387.01,602.32,651.35,3459.94,618.05,323.05,163.70,170.53,1275.33,351.26,345.97,81.88,193.50,972.61,460.97,338.75,26.45,140.49,966.66,276.99,88.76,57.07,186.40,609.22,144.26,168.81,68.18,27.16,408.41,219.59,21.46,57.05,4.10,302.20,619.17,2.55,71.58,358.59,1051.89,445.24,26.13,118.73,97.53,687.63,454.07,331.56,..,..,..
..Anchovies (Dilis),....Northern Samar,170.00,117.00,160.00,1309.00,1756.00,240.00,241.00,156.00,145.00,782.00,250.00,261.00,162.50,151.00,824.50,244.00,117.00,70.00,68.00,499.00,165.00,110.00,65.35,41.92,382.27,110.00,115.79,69.88,61.10,356.77,70.50,82.50,84.45,85.52,322.97,83.15,844.55,101.75,84.31,1113.76,97.71,214.33,203.81,202.21,718.06,96.85,201.40,220.82,228.30,747.37,130.46,141.69,268.47,281.51,822.13,153.60,150.61,278.15,289.38,871.74,175.34,168.72,256.35,301.98,902.39,186.28,181.74,244.48,321.76,934.26,196.50,212.58,254.03,339.34,1002.45,168.29,215.32,229.33,298.47,911.41,150.32,167.70,244.81,287.30,850.13,109.54,213.63,205.11,262.35,790.63,116.47,271.12,244.71,370.14,1002.44,122.23,206.41,..,..,..
..Anchovies (Dilis),....Samar,712.00,481.00,129.00,211.00,1533.00,800.00,541.00,395.00,219.00,1955.00,827.00,587.44,370.00,400.00,2184.44,820.00,665.00,390.00,460.00,2335.00,450.00,670.00,260.00,504.80,1884.80,622.90,693.20,318.04,183.11,1817.25,142.11,146.54,214.00,128.09,630.74,52.07,54.67,542.39,351.96,1001.09,297.28,65.00,240.35,364.40,967.03,164.97,162.87,143.51,264.02,735.37,157.12,189.93,157.59,220.09,724.73,193.83,291.85,133.89,115.72,735.29,37.94,122.40,159.04,34.14,353.52,37.98,143.25,136.20,32.66,350.09,70.73,208.45,126.82,136.54,542.54,203.63,237.96,212.17,180.32,834.08,153.37,211.03,148.74,198.93,712.07,592.57,248.09,230.65,345.47,1416.78,274.60,215.85,266.02,185.84,942.31,292.43,242.50,..,..,..
..Anchovies (Dilis),....Southern Leyte,94.00,173.00,120.00,65.00,452.00,99.00,177.00,118.00,62.00,456.00,105.00,180.00,117.00,65.00,467.00,110.00,216.50,135.00,98.00,559.50,65.20,152.00,75.00,70.82,363.02,54.94,96.73,29.95,45.09,226.71,28.96,100.08,32.80,40.34,202.18,37.71,80.00,7.82,28.00,153.53,54.42,65.00,11.00,30.12,160.54,80.77,72.00,10.00,64.35,227.12,69.48,56.08,8.55,23.70,157.81,105.93,63.13,19.02,78.47,266.55,135.21,80.21,6.38,71.90,293.70,124.65,99.85,9.66,70.17,304.33,107.18,92.21,11.17,47.48,258.04,17.91,47.50,146.71,22.37,234.49,40.27,109.24,23.17,184.33,357.01,246.61,57.34,43.00,174.23,521.18,215.00,83.70,54.08,513.62,866.40,60.43,304.70,..,..,..
..Anchovies (Dilis),..Region IX (Zamboanga Peninsula),1681.00,922.00,1308.00,1173.00,5084.00,1573.00,1249.00,1553.00,2167.00,6542.00,1626.90,1454.48,1439.09,1963.47,6483.94,1694.08,1239.21,1070.59,1145.87,5149.75,1416.75,1786.05,1350.34,1463.62,6016.76,917.64,1357.59,1022.78,871.84,4169.85,943.06,1724.59,1022.01,1312.78,5002.44,1674.91,853.25,912.32,1805.04,5245.52,2078.11,1157.99,1068.44,1805.80,6110.34,1700.53,1036.77,1173.37,1247.93,5158.60,906.36,855.05,958.91,993.68,3714.00,1073.20,1115.31,1030.21,1241.65,4460.37,1350.72,1051.76,1117.90,2266.92,5787.30,1468.64,865.11,793.17,1330.50,4457.42,1461.89,974.52,1080.09,1063.30,4579.80,1108.40,724.04,874.61,743.37,3450.42,1054.89,789.08,1074.82,1754.48,4673.27,1182.45,834.96,952.83,1625.43,4595.67,1239.53,1361.11,1101.41,848.67,4550.72,1116.99,1073.08,..,..,..
..Anchovies (Dilis),....Zamboanga del Norte,645.00,667.00,550.00,525.00,2387.00,720.00,636.00,585.00,721.00,2662.00,824.00,588.00,605.00,786.00,2803.00,1053.83,631.00,524.00,321.80,2530.63,522.56,757.98,670.51,683.16,2634.21,586.79,592.46,386.17,233.17,1798.59,289.68,669.69,311.66,340.08,1611.11,488.21,155.65,183.81,440.67,1268.34,1198.80,169.58,83.01,140.70,1592.09,1148.10,185.37,97.93,113.82,1545.22,358.64,36.54,97.28,83.87,576.33,455.62,205.69,165.68,228.68,1055.67,638.12,148.54,298.11,477.52,1562.29,356.34,44.24,70.93,499.23,970.74,506.74,46.20,141.87,354.25,1049.06,370.74,51.53,140.31,212.20,774.78,445.45,60.26,175.56,254.58,935.85,538.53,76.50,184.45,278.32,1077.80,486.27,79.69,177.15,254.73,997.84,548.88,88.19,..,..,..
..Anchovies (Dilis),....Zamboanga del Sur,243.00,1.00,449.00,212.00,905.00,248.00,301.00,459.00,201.00,1209.00,238.48,435.94,467.68,203.53,1345.63,149.79,151.46,476.12,196.56,973.93,438.97,532.34,421.18,403.89,1796.38,269.55,429.66,394.50,398.87,1492.58,348.28,426.59,389.08,570.47,1734.42,610.20,440.49,349.77,317.64,1718.10,172.86,464.74,416.66,426.30,1480.56,237.38,315.21,392.90,448.11,1393.60,229.18,284.28,474.97,360.93,1349.36,333.71,325.20,304.60,442.05,1405.56,375.68,408.27,328.36,472.54,1584.85,401.79,381.65,358.30,432.52,1574.26,491.10,368.93,259.84,456.96,1576.83,398.95,408.29,339.20,364.30,1510.74,330.66,434.85,510.66,1131.42,2407.59,379.06,517.37,377.78,955.08,2229.29,375.85,475.33,347.41,301.86,1500.45,251.14,469.83,..,..,..
..Anchovies (Dilis),....Zamboanga Sibugay,255.00,254.00,309.00,316.00,1134.00,315.00,310.00,459.00,1110.00,2194.00,464.42,428.54,341.41,860.90,2095.27,484.62,434.75,65.47,575.51,1560.35,445.47,471.95,243.97,337.09,1498.48,34.40,289.78,227.72,182.80,734.70,273.54,527.76,164.64,308.22,1274.16,470.61,67.69,179.13,301.18,1018.61,618.50,323.73,542.24,836.32,2320.79,283.55,368.63,554.28,674.12,1880.58,241.35,425.63,301.26,509.33,1477.57,247.22,430.85,503.53,465.76,1647.36,249.71,337.14,452.58,433.66,1473.09,626.58,295.41,302.99,374.71,1599.69,439.33,416.17,661.77,221.51,1738.78,327.58,144.99,385.45,143.36,1001.38,272.62,197.11,375.17,335.76,1180.66,254.14,124.11,374.47,352.14,1104.86,346.76,723.17,559.72,257.59,1887.24,291.35,476.00,..,..,..
..Anchovies (Dilis),....City of Zamboanga,538.00,..,..,120.00,658.00,290.00,2.00,50.00,135.00,477.00,100.00,2.00,25.00,113.04,240.04,5.84,22.00,5.00,52.00,84.84,9.75,23.78,14.68,39.48,87.69,26.90,45.69,14.39,57.00,143.98,31.56,100.55,156.63,94.01,382.75,105.89,189.42,199.61,745.55,1240.47,87.95,199.94,26.53,402.48,716.90,31.50,167.56,128.26,11.88,339.20,77.19,108.60,85.40,39.55,310.74,36.65,153.57,56.40,105.16,351.78,87.21,157.81,38.85,883.20,1167.07,83.93,143.81,60.95,24.04,312.73,24.72,143.22,16.61,30.58,215.13,11.13,119.23,9.65,23.51,163.52,6.16,96.86,13.43,32.72,149.17,10.72,116.98,16.13,39.89,183.72,30.65,82.92,17.13,34.49,165.19,25.62,39.06,..,..,..
..Anchovies (Dilis),..Region X (Nothern Mindanao),237.00,209.00,331.00,778.00,1555.00,252.00,242.00,375.00,1542.00,2411.00,271.14,234.38,391.50,698.31,1595.33,211.50,249.50,702.39,1012.49,2175.88,575.86,186.50,757.83,896.25,2416.44,729.70,406.96,823.29,917.61,2877.56,840.24,402.94,738.43,799.39,2781.00,548.86,843.00,277.24,753.48,2422.58,433.08,283.28,480.31,812.58,2009.25,148.97,284.51,445.98,813.35,1692.81,326.45,451.04,464.53,676.85,1918.87,629.03,537.65,475.43,580.27,2222.38,724.46,649.66,552.69,680.95,2607.76,546.79,656.71,630.57,512.11,2346.18,773.06,651.56,582.09,524.96,2531.67,586.38,640.50,627.41,509.44,2363.73,556.56,587.04,623.16,505.19,2271.95,563.44,546.31,576.95,480.68,2167.38,610.04,457.61,591.96,451.23,2110.84,506.12,519.79,..,..,..
..Anchovies (Dilis),....Bukidnon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Anchovies (Dilis),....Camiguin,..,..,3.00,5.00,8.00,..,2.00,3.00,3.00,8.00,4.00,2.00,2.86,3.30,12.16,2.50,1.50,18.23,2.30,24.53,2.00,1.50,62.17,1.36,67.03,26.58,2.21,10.85,5.37,45.01,46.50,4.34,6.21,9.64,66.69,13.11,8.04,16.72,9.13,47.00,12.49,16.17,7.71,4.28,40.65,8.50,6.88,11.28,3.78,30.44,8.60,7.28,11.49,5.11,32.48,6.44,11.58,14.64,6.28,38.94,4.89,14.59,11.20,8.93,39.61,14.89,17.58,10.46,10.03,52.96,51.00,60.91,13.28,9.86,135.05,13.25,33.49,20.34,13.84,80.92,17.38,18.02,21.46,15.73,72.59,13.95,36.33,19.75,18.84,88.87,16.20,13.11,38.03,13.26,80.60,38.86,29.75,..,..,..
..Anchovies (Dilis),....Lanao del Norte,75.00,33.00,88.00,619.00,815.00,79.00,36.00,100.00,1450.00,1665.00,80.77,37.68,103.36,610.00,831.81,78.00,33.00,98.04,633.68,842.72,423.17,35.00,237.66,504.62,1200.45,580.03,188.48,354.56,575.55,1698.62,564.10,178.53,313.41,503.65,1559.69,396.47,801.88,180.95,500.35,1879.65,169.41,253.62,338.00,522.62,1283.65,74.15,251.03,319.00,575.42,1219.60,210.07,268.38,290.15,342.92,1111.52,438.15,324.53,288.09,327.79,1378.56,359.94,314.85,322.16,336.84,1333.79,366.34,407.87,345.01,343.37,1462.59,429.49,378.52,297.98,361.10,1467.09,358.19,388.22,275.59,333.86,1355.86,328.65,364.72,269.93,324.40,1287.70,333.47,376.09,277.78,319.97,1307.31,318.08,322.37,289.72,291.11,1221.28,316.49,329.03,..,..,..
..Anchovies (Dilis),....Misamis Occidental,111.00,117.00,200.00,81.00,509.00,122.00,143.00,227.00,69.00,561.00,130.44,136.70,238.28,66.01,571.43,130.00,130.00,421.94,140.47,822.41,70.00,100.00,379.94,210.00,759.94,63.97,195.18,398.87,204.43,862.45,66.38,208.92,384.90,205.29,865.49,67.32,6.54,59.13,234.33,367.32,146.01,11.69,63.73,240.20,461.63,13.66,11.67,64.22,227.64,317.19,103.72,135.38,144.32,267.81,651.23,106.11,140.64,157.20,215.05,619.00,110.24,145.09,155.70,155.14,566.17,112.63,120.15,250.66,98.29,581.73,122.35,126.05,251.64,100.95,600.99,130.01,127.51,284.20,110.85,652.57,127.95,127.91,263.55,115.78,635.19,129.40,127.37,256.23,120.37,633.37,124.22,119.43,258.29,131.05,632.99,115.67,129.22,..,..,..
..Anchovies (Dilis),....Misamis Oriental,51.00,59.00,40.00,73.00,223.00,51.00,61.00,45.00,20.00,177.00,55.93,58.00,47.00,19.00,179.93,1.00,85.00,164.18,236.04,486.22,80.69,50.00,78.06,180.27,389.02,59.12,21.09,59.01,132.26,271.48,163.26,11.15,33.91,80.81,289.13,71.96,26.54,20.44,9.67,128.61,105.17,1.80,70.87,45.48,223.32,52.66,14.93,51.48,6.51,125.58,4.06,40.00,18.57,61.01,123.64,78.33,60.90,15.50,31.15,185.88,249.39,175.13,63.63,180.04,668.19,52.93,111.11,24.44,60.42,248.90,170.22,86.08,19.19,53.05,328.54,84.93,91.28,47.28,50.89,274.38,82.58,76.39,68.22,49.28,276.47,86.62,6.52,23.19,21.50,137.83,151.54,2.70,5.92,15.81,175.97,35.10,31.79,..,..,..
..Anchovies (Dilis),..Region XI (Davao Region),300.00,266.00,254.00,84.00,904.00,262.00,243.00,223.00,180.00,908.00,261.72,254.59,189.22,195.83,901.36,446.51,278.84,277.85,139.82,1143.02,353.58,301.97,727.48,569.41,1952.44,366.09,387.47,186.95,995.91,1936.42,193.38,297.28,597.78,810.40,1898.84,845.88,1254.15,622.69,413.51,3136.23,602.95,869.53,389.13,113.98,1975.59,723.82,532.73,187.52,201.58,1645.65,716.21,495.26,694.07,1075.20,2980.74,393.27,243.45,694.60,919.69,2251.01,492.99,557.95,341.93,455.43,1848.30,278.97,339.30,428.65,828.15,1875.07,193.10,235.01,196.12,499.88,1124.11,99.90,276.66,173.11,291.86,841.53,125.78,89.57,1202.41,777.66,2195.42,143.34,81.82,32.48,27.33,284.97,119.22,36.74,98.54,33.17,287.67,29.63,74.55,..,..,..
..Anchovies (Dilis),....Davao de Oro,24.00,21.00,16.00,16.00,77.00,23.00,19.00,15.00,1.00,58.00,16.45,28.73,17.45,1.09,63.72,17.50,13.67,25.88,24.47,81.52,20.59,22.62,14.04,31.44,88.69,28.34,18.60,10.29,26.35,83.58,23.96,15.97,11.15,28.30,79.38,20.88,16.17,9.97,20.87,67.89,17.12,15.21,10.86,22.03,65.22,18.49,13.83,15.49,19.09,66.90,26.82,20.63,25.63,9.31,82.39,54.94,17.47,21.55,16.97,110.93,90.01,14.44,13.25,15.11,132.81,63.61,25.74,5.70,11.56,106.61,58.20,23.50,7.19,5.99,94.88,29.23,12.08,6.66,..,47.97,11.35,7.61,5.12,4.55,28.63,10.17,6.95,7.06,10.14,34.32,9.08,5.44,19.83,14.14,48.49,10.61,3.71,..,..,..
..Anchovies (Dilis),....Davao del Norte,16.00,14.00,14.00,14.00,58.00,17.00,13.00,12.00,55.00,97.00,17.27,13.28,12.39,53.39,96.33,16.95,5.75,19.27,14.45,56.42,19.50,21.15,13.21,26.82,80.68,7.79,45.69,83.07,5.86,142.41,40.69,26.38,48.43,21.24,136.74,13.49,16.43,28.24,20.51,78.67,5.38,27.21,11.66,3.34,47.59,6.43,11.20,0.14,2.54,20.31,6.98,16.50,31.20,9.50,64.18,16.27,14.98,14.47,16.55,62.27,13.18,7.31,5.31,13.78,39.58,9.12,4.83,2.78,3.90,20.63,6.52,13.47,0.55,3.03,23.57,6.52,10.06,19.03,3.16,38.77,7.52,6.32,3.60,7.45,24.89,10.36,5.54,9.57,5.66,31.13,5.09,20.72,12.33,9.60,47.74,9.13,11.45,..,..,..
..Anchovies (Dilis),....Davao del Sur,92.00,71.00,118.00,20.00,301.00,80.00,57.00,87.00,89.00,313.00,84.61,56.69,57.38,86.16,284.84,55.20,6.41,86.13,47.40,195.14,81.53,230.81,635.25,159.07,1106.66,318.31,312.92,76.99,914.44,1622.66,107.40,167.59,517.69,471.96,1264.64,441.00,74.70,237.80,230.80,984.30,438.01,236.35,104.60,71.79,850.75,341.56,329.52,88.57,112.89,872.54,463.17,217.53,557.49,973.46,2211.65,251.14,146.93,618.05,741.38,1757.50,354.95,164.88,232.49,296.23,1048.55,69.85,178.38,202.91,191.13,642.27,9.54,85.86,177.80,233.34,506.54,0.79,3.00,..,204.73,208.52,88.33,8.35,5.16,0.65,102.49,1.36,2.29,..,1.99,5.64,28.18,1.20,..,..,29.38,..,37.59,..,..,..
..Anchovies (Dilis),....Davao Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113.68,64.65,14.29,9.54,202.16,42.70,..,..,..,42.70,..,1.20,..,..,..
..Anchovies (Dilis),....Davao Oriental,140.00,144.00,83.00,12.00,379.00,142.00,138.00,88.00,35.00,403.00,136.56,138.32,81.90,34.69,391.47,297.09,172.46,106.19,30.62,606.36,215.65,4.55,45.80,336.97,602.97,5.13,7.10,10.26,46.71,69.20,18.42,85.06,14.19,287.33,405.00,363.16,1146.03,346.24,140.90,1996.33,140.22,590.28,258.38,16.34,1005.22,355.20,177.56,82.90,66.05,681.71,215.67,235.76,74.09,76.62,602.14,66.19,60.96,35.32,137.29,299.76,29.66,363.65,85.96,122.34,601.61,133.42,124.45,215.79,615.73,1089.39,106.23,96.26,9.75,255.40,467.64,58.19,248.83,147.19,83.72,537.93,15.38,64.54,1188.20,762.10,2030.22,7.19,2.14,1.56,..,10.89,34.17,9.38,64.93,9.43,117.91,9.89,20.60,..,..,..
..Anchovies (Dilis),....City of Davao,28.00,16.00,23.00,22.00,89.00,..,16.00,21.00,..,37.00,6.83,17.57,20.10,20.50,65.00,59.77,80.55,40.38,22.88,203.58,16.31,22.84,19.18,15.11,73.44,6.52,3.16,6.34,2.55,18.57,2.91,2.28,6.32,1.57,13.08,7.35,0.82,0.44,0.43,9.04,2.22,0.48,3.63,0.48,6.81,2.14,0.62,0.42,1.01,4.19,3.57,4.84,5.66,6.31,20.38,4.73,3.11,5.21,7.50,20.55,5.19,7.67,4.92,7.97,25.75,2.97,5.90,1.47,5.83,16.17,12.61,15.92,0.83,2.12,31.48,5.17,2.69,0.23,0.25,8.34,3.20,2.75,0.33,2.91,9.19,0.58,0.25,..,..,0.83,..,..,1.45,..,1.45,..,..,..,..,..
