Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
....Pangasinan,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Pangasinan,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Pangasinan,"MONGGO, GREEN, 1 KG",85.41,85.41,85.41,85.41,85.41,83.75,85.41,85.41,85.82,82.36,85.40,82.44,84.80,83.25,83.25,86.21,84.57,86.21,86.21,86.21,86.21,86.21,87.04,86.05,84.57,85.50,83.74,83.31,83.72,84.96,86.05,88.52,90.99,86.88,86.88,87.50,87.50,86.88,86.41,86.25,86.25,86.25,86.25,86.25,86.25,86.25,86.25,85.75,86.75,87.42,86.25,86.35,86.25,92.25,92.25,92.25,92.25,92.25,93.75,93.75,93.75,93.75,93.75,90.75,92.25,93.75,93.75,93.75,93.75,93.75,93.75,93.75,97.50,96.25,96.25,96.25,96.25,94.90,96.25,96.25,95.00,94.38,95.00,95.00,96.25,96.25,96.88,96.88,96.88,96.88,95.99,96.25,96.25,90.00,96.25,96.25,94.75,93.75,95.00,97.50,100.00,100.00,101.25,96.44,101.25,97.50,97.50,96.67,101.50,101.50,98.13,98.13,98.75,98.75,97.50,97.50,98.72,97.50,91.25,97.50,98.75,89.75,97.50,97.50,99.05,97.50,97.50,96.21,96.21,96.35
....Pangasinan,"STRING BEANS, 1 KG",44.67,34.92,37.36,27.13,27.13,23.38,21.88,21.88,24.38,24.38,25.00,27.50,28.30,27.50,26.88,26.25,26.25,26.25,25.63,30.00,30.00,28.75,30.63,30.63,27.50,28.02,24.38,23.75,24.38,24.38,22.50,23.13,23.75,25.00,20.00,22.50,20.63,21.88,23.02,20.94,22.19,20.94,22.19,23.44,22.33,23.59,33.73,29.30,24.37,34.93,36.25,26.18,31.25,31.25,35.00,30.63,30.00,33.75,31.88,30.00,32.50,32.50,41.25,38.13,33.18,37.50,32.50,30.63,30.63,31.25,33.75,31.25,28.75,26.88,25.00,25.00,25.00,29.85,26.25,26.25,26.25,26.25,26.25,26.25,36.25,31.88,33.75,37.50,38.75,37.50,31.09,45.00,45.00,47.50,47.50,47.50,47.50,36.88,36.25,45.00,47.50,43.75,55.00,45.37,47.50,56.25,58.75,56.67,55.00,53.75,50.00,49.38,56.25,58.75,65.00,67.50,56.23,67.50,64.38,47.50,47.50,41.25,49.38,47.50,62.34,63.61,69.34,52.80,67.43,56.71
..REGION II (CAGAYAN VALLEY),"RAW PEANUT, SHELLED, 1 KG",94.60,94.04,93.77,97.01,96.17,92.30,91.06,90.68,91.06,90.50,90.55,90.55,92.69,90.55,91.22,90.83,90.83,91.11,91.38,91.38,91.66,93.34,93.34,94.86,94.86,92.11,94.86,94.86,94.17,94.17,93.62,93.62,93.62,91.36,94.97,94.97,95.18,95.83,94.27,95.83,99.17,100.00,100.21,100.63,101.46,102.71,102.92,105.00,105.00,105.42,104.79,101.93,107.35,105.21,106.04,106.04,96.04,98.54,95.21,94.38,94.79,94.79,95.63,98.13,99.35,99.38,99.38,97.71,97.71,97.29,94.38,94.38,103.13,103.75,103.54,102.71,102.29,99.64,91.46,91.46,92.29,92.29,92.29,93.13,98.75,99.08,101.46,107.86,102.65,102.65,97.11,103.58,104.00,104.42,103.77,104.04,103.21,103.00,103.42,103.42,102.03,104.39,104.39,103.64,104.31,109.86,114.38,114.65,114.86,123.13,127.57,130.97,130.56,128.89,128.89,129.93,121.50,129.52,123.54,122.92,122.50,123.75,123.75,125.00,125.00,128.33,127.23,126.38,126.38,125.36
..REGION II (CAGAYAN VALLEY),"RAW PEANUT, UNSHELLED, 1 KG",45.01,43.20,42.99,44.60,44.60,44.22,44.13,44.13,44.13,43.51,42.90,43.22,43.89,43.22,43.21,43.22,43.84,43.84,43.84,43.84,43.84,43.91,44.54,45.81,45.81,44.08,45.03,45.03,48.63,48.63,48.94,48.94,49.56,46.77,53.91,53.91,52.97,53.28,49.63,55.47,55.16,56.72,58.06,58.42,58.77,58.86,58.55,55.32,55.00,54.69,63.75,57.40,61.72,62.80,61.25,59.53,60.00,58.44,56.72,55.47,55.32,51.25,53.13,53.44,57.42,53.28,56.25,51.25,51.41,51.41,51.88,51.56,53.75,53.91,54.72,53.53,53.69,53.05,53.75,54.07,56.72,57.07,57.66,58.91,49.17,54.33,61.36,63.86,59.43,58.33,57.06,58.96,58.54,57.29,59.27,59.06,59.06,62.97,62.66,63.41,65.26,65.05,65.26,61.40,64.64,63.29,63.29,64.16,64.39,64.49,64.28,64.17,65.42,64.48,64.48,64.48,64.30,63.65,63.65,61.77,61.77,62.55,63.49,62.71,63.20,63.83,63.15,63.17,63.17,63.01
..REGION II (CAGAYAN VALLEY),"BAGUIO BEANS, 1 KG",45.27,43.86,44.58,39.64,40.13,37.15,41.63,48.81,51.80,47.34,45.49,45.58,44.27,45.27,41.70,43.28,43.24,46.70,48.47,47.60,43.11,51.76,50.53,47.92,48.54,46.51,45.43,42.77,38.13,39.32,41.51,44.96,44.88,48.30,48.53,46.35,41.43,37.40,43.25,40.34,43.09,38.04,38.63,39.28,43.53,53.40,64.37,61.02,53.63,69.58,60.70,50.47,42.57,43.68,42.56,41.69,47.02,51.74,46.57,36.14,46.38,50.95,84.96,62.06,49.69,50.91,49.97,42.48,38.84,41.18,51.43,55.03,48.69,58.15,59.58,53.20,61.46,50.91,63.74,59.52,52.13,46.20,48.68,55.17,68.62,70.35,64.49,92.08,72.41,63.68,63.09,61.94,56.85,44.36,57.78,68.74,61.56,59.05,57.92,68.54,65.83,58.54,52.92,59.50,55.63,51.88,51.79,57.21,60.96,70.21,50.63,47.29,64.17,83.75,112.08,99.58,67.10,100.00,60.83,57.08,61.25,56.46,89.58,67.08,61.67,60.81,60.85,93.39,67.37,69.70
..REGION II (CAGAYAN VALLEY),"MONGGO, GREEN, 1 KG",88.46,88.46,88.46,69.41,70.16,73.22,76.27,74.73,79.31,82.37,77.79,77.79,78.87,79.31,80.85,79.31,79.31,79.31,64.06,70.16,70.16,68.64,66.35,63.92,68.64,72.50,68.64,67.12,36.61,45.76,53.39,59.49,61.01,85.83,90.00,90.00,90.00,90.00,69.82,90.00,90.00,90.00,87.50,87.50,90.00,87.50,86.25,87.50,87.50,87.50,90.00,88.44,90.00,90.00,90.00,90.00,83.75,82.50,82.50,82.50,82.50,82.50,82.50,82.50,85.10,82.50,82.50,82.50,82.50,82.50,82.50,82.50,81.25,82.50,82.50,82.50,82.50,82.40,82.50,82.50,82.50,82.50,82.50,82.50,66.67,66.67,68.33,68.33,68.33,68.33,75.14,68.33,73.33,73.33,82.50,82.50,82.50,81.25,80.63,80.63,83.75,83.75,83.75,79.69,83.75,82.50,84.38,85.63,96.88,91.88,89.38,88.13,88.13,87.50,88.13,85.63,87.66,86.88,83.13,88.13,86.25,86.25,85.63,90.63,90.63,81.63,89.34,91.92,90.63,87.59
..REGION II (CAGAYAN VALLEY),"STRING BEANS, 1 KG",32.88,30.95,28.31,28.49,25.85,24.66,24.76,23.96,23.75,23.64,24.42,25.50,26.43,25.64,26.03,24.65,23.50,24.63,26.93,25.37,23.15,26.93,27.44,28.60,30.73,26.13,32.14,28.19,27.43,29.48,26.99,27.53,26.80,23.96,22.36,23.38,23.76,23.79,26.32,28.59,27.57,26.10,25.00,24.08,25.15,26.74,27.91,26.22,23.99,37.85,32.10,27.61,39.88,33.05,34.15,31.20,32.35,32.03,31.53,27.71,31.36,31.04,43.10,39.50,33.91,40.54,42.30,34.54,28.92,27.83,32.06,30.66,28.58,31.12,29.90,35.05,40.29,33.48,44.32,46.78,40.64,31.85,32.26,36.81,46.21,49.27,37.55,50.08,56.79,54.98,43.96,58.80,45.99,32.26,39.83,45.75,42.14,40.99,38.25,43.88,46.00,41.00,44.63,43.29,43.96,45.33,41.84,46.79,42.67,57.84,54.09,52.34,50.34,58.75,80.67,97.50,56.01,106.41,84.04,63.06,46.70,52.79,73.18,64.23,60.26,53.23,54.87,62.66,75.48,66.41
....Cagayan,"RAW PEANUT, SHELLED, 1 KG",97.25,97.25,97.25,106.98,106.98,104.37,103.75,103.75,103.75,103.75,103.90,103.90,102.74,103.90,103.83,103.90,103.90,103.90,103.90,103.90,103.90,104.37,104.37,108.92,108.92,104.81,108.92,108.92,108.92,108.92,108.92,108.92,108.92,106.67,117.50,117.50,117.50,117.50,111.59,117.50,126.25,126.25,126.25,126.25,125.00,126.25,126.25,132.50,132.50,133.75,133.75,127.71,141.43,135.00,137.50,137.50,122.50,127.50,117.50,115.00,115.00,115.00,117.50,125.00,125.54,127.50,127.50,122.50,122.50,122.50,111.25,111.25,111.25,111.25,111.25,108.75,108.75,116.35,108.75,108.75,111.25,111.25,111.25,111.25,111.00,112.00,112.00,129.88,114.25,114.25,112.99,117.75,119.00,120.25,120.25,120.25,117.75,116.50,117.75,117.75,117.75,117.75,117.75,118.38,117.50,117.50,114.38,114.38,116.25,116.88,116.88,115.00,115.00,112.50,112.50,113.13,115.16,113.13,113.13,110.00,111.25,113.75,110.00,113.75,113.75,113.75,110.45,109.13,109.13,111.77
....Cagayan,"RAW PEANUT, UNSHELLED, 1 KG",55.91,55.91,55.91,61.50,61.50,60.01,59.64,59.64,59.64,59.64,59.73,59.73,59.06,59.73,59.69,59.73,59.73,59.73,59.73,59.73,59.73,60.01,60.01,62.62,62.62,60.26,62.62,62.62,62.62,62.62,62.62,62.62,62.62,51.43,80.00,80.00,80.00,80.00,67.48,80.00,80.00,80.00,82.86,84.29,85.71,88.57,88.57,75.63,74.38,73.13,73.13,80.52,70.00,71.80,66.25,66.25,68.75,68.75,66.25,65.63,66.25,66.25,66.25,65.00,67.29,66.25,70.00,65.00,65.00,65.00,65.00,63.75,63.75,63.75,63.75,63.75,63.75,64.90,63.75,65.00,75.63,75.63,75.63,75.63,60.00,61.25,61.25,71.25,71.25,71.25,68.96,73.75,68.75,63.75,63.75,63.75,63.75,63.75,62.50,65.00,65.00,65.00,65.00,65.31,62.50,64.62,64.62,68.08,68.99,72.74,73.56,73.75,73.75,70.00,70.00,70.00,69.38,70.00,70.00,66.25,66.88,69.38,73.13,69.38,71.35,71.35,69.38,68.73,68.73,69.55
....Cagayan,"BAGUIO BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Cagayan,"MONGGO, GREEN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Cagayan,"STRING BEANS, 1 KG",43.37,41.60,33.92,40.05,39.65,34.72,35.05,31.81,30.84,31.02,31.00,30.84,35.32,31.08,30.03,29.55,29.39,29.23,28.66,29.23,24.63,25.03,24.23,23.82,23.58,27.37,26.00,24.88,24.07,23.67,21.97,21.32,21.48,18.33,17.27,17.68,17.60,17.75,21.00,27.84,25.83,25.83,23.00,22.27,21.79,23.41,20.99,20.99,23.81,27.05,26.24,24.09,38.68,37.14,46.02,42.79,37.95,40.37,41.98,38.75,38.75,38.75,37.54,36.33,39.59,39.56,41.59,38.76,38.76,37.14,36.34,37.14,36.34,37.96,37.96,37.96,39.57,38.26,43.61,44.09,37.14,33.75,30.84,34.40,43.61,40.38,40.38,62.19,69.46,56.53,44.70,62.99,58.14,38.76,37.14,37.95,42.79,40.77,38.75,43.13,46.25,42.50,46.88,44.67,50.00,53.75,43.75,53.75,53.75,54.38,45.63,44.38,33.75,66.88,100.00,119.38,59.95,119.38,80.00,49.38,46.00,50.00,57.50,49.38,50.00,47.50,48.75,48.75,57.50,58.68
....Isabela,"RAW PEANUT, SHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Isabela,"RAW PEANUT, UNSHELLED, 1 KG",25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,20.00,20.00,24.17,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.38,26.25,28.13,30.63,30.63,30.63,31.88,31.88,31.88,35.63,30.58,36.25,36.25,36.25,36.88,36.88,38.75,38.75,37.50,38.13,38.13,37.86,37.86,37.46,39.38,39.38,39.38,38.75,40.00,40.63,31.67,31.67,31.67,31.67,50.00,50.00,38.68,50.00,50.00,50.00,56.25,56.25,56.25,71.25,71.25,71.75,72.50,72.50,72.50,62.54,72.50,65.00,65.00,65.00,65.00,65.00,60.00,60.00,65.00,65.00,65.00,65.00,64.79,65.00,65.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.83
....Isabela,"BAGUIO BEANS, 1 KG",46.04,45.71,47.39,45.06,45.05,39.13,40.74,48.91,59.03,55.66,50.60,53.13,48.04,48.07,48.07,51.44,49.76,53.13,58.19,58.19,54.82,59.03,55.66,55.66,55.66,53.97,55.66,53.97,53.97,55.66,55.66,55.66,55.66,45.54,45.54,45.54,37.95,32.89,49.48,32.89,39.64,39.64,39.64,39.64,39.64,49.76,59.88,59.88,59.88,59.88,67.47,48.99,63.25,57.35,52.29,48.91,54.82,58.70,57.69,41.75,49.77,49.77,77.60,67.48,56.62,62.42,59.89,50.61,48.08,47.24,53.98,54.83,54.83,67.48,70.85,59.04,67.31,58.05,70.85,70.01,67.48,54.83,53.14,59.04,64.78,71.87,78.96,85.03,74.91,67.82,68.23,66.81,62.76,57.70,62.43,80.99,72.56,65.81,67.50,71.25,68.75,57.50,61.25,66.28,57.50,58.75,52.88,54.13,61.63,77.50,57.50,57.50,77.50,100.00,135.00,96.25,73.85,96.25,63.75,66.25,70.00,61.25,92.50,77.50,68.75,71.25,65.00,100.00,91.88,77.03
....Isabela,"MONGGO, GREEN, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Isabela,"STRING BEANS, 1 KG",22.36,19.02,19.41,17.50,17.50,17.13,16.67,18.63,18.29,18.29,18.88,18.88,18.55,18.88,17.88,16.88,18.88,17.63,18.25,17.00,17.63,19.38,19.38,16.25,16.25,17.86,20.63,20.13,19.00,25.00,24.38,24.38,25.00,25.00,15.00,15.00,20.00,20.00,21.13,20.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,20.00,20.00,16.25,20.63,20.00,18.75,19.38,21.88,20.00,21.25,19.38,20.63,15.25,30.63,25.00,21.07,25.00,31.25,23.75,15.00,15.63,18.13,17.50,17.50,20.63,20.00,23.75,26.88,21.25,29.38,33.13,28.75,21.25,20.00,30.00,43.13,55.00,43.13,44.38,71.88,72.50,41.04,70.00,40.00,24.38,43.13,57.50,43.13,51.88,45.63,60.63,52.50,39.38,48.75,48.08,48.13,47.50,38.75,46.67,45.00,43.75,41.25,38.13,40.63,38.13,62.50,97.50,49.00,120.00,66.25,39.38,23.75,38.75,68.75,51.25,48.11,36.61,42.36,37.13,49.69,51.84
....Nueva Vizcaya,"RAW PEANUT, SHELLED, 1 KG",86.90,86.90,86.90,86.90,86.90,84.62,82.33,81.19,82.33,82.33,82.33,82.33,84.33,82.33,82.33,82.33,82.33,82.33,82.33,82.33,82.33,86.90,86.90,86.90,86.90,83.85,86.90,86.90,82.33,82.33,82.33,82.33,82.33,81.17,81.17,81.17,81.17,83.75,82.82,83.75,83.75,83.75,83.75,83.75,85.00,85.00,85.00,85.00,85.00,85.00,83.13,84.32,83.13,83.13,83.13,83.13,68.13,74.38,74.38,74.38,74.38,74.38,74.38,74.38,76.78,74.38,74.38,74.38,74.38,74.38,74.38,74.38,101.88,103.75,103.13,103.13,103.13,86.31,70.63,70.63,70.63,70.63,70.63,73.13,96.67,96.67,96.67,98.00,98.00,98.00,84.19,98.00,98.00,98.00,96.67,97.50,97.50,97.50,97.50,97.50,93.33,99.17,99.17,97.49,99.17,115.83,132.50,133.33,133.33,155.00,168.33,181.67,181.67,181.67,181.67,181.67,153.82,181.67,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,166.39
....Nueva Vizcaya,"RAW PEANUT, UNSHELLED, 1 KG",74.13,66.88,66.88,66.88,66.88,66.88,66.88,66.88,66.88,64.38,61.88,61.88,66.44,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,61.88,64.38,66.88,66.88,62.92,66.88,66.88,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,78.86,81.25,81.25,87.50,90.00,90.00,90.00,87.50,85.00,85.00,85.00,85.00,122.50,89.17,118.75,120.00,120.00,117.50,115.00,106.25,101.25,100.00,97.50,82.50,90.00,88.75,104.79,85.63,93.75,78.75,78.75,78.75,78.75,78.75,88.75,88.75,92.00,87.50,87.50,84.80,86.25,86.25,86.25,88.75,90.63,91.88,78.75,77.50,77.50,77.50,70.83,70.83,81.91,70.83,74.17,74.17,75.83,75.00,75.00,75.00,75.00,75.00,81.67,80.83,81.67,76.18,81.67,81.67,81.67,81.67,81.67,78.33,81.67,81.67,81.67,81.67,81.67,81.67,81.39,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,78.33,77.57,78.33,78.33,78.27
....Nueva Vizcaya,"BAGUIO BEANS, 1 KG",48.59,48.59,48.59,38.13,38.75,41.25,43.75,43.13,46.25,48.75,43.75,43.75,44.44,45.00,46.25,45.00,45.00,45.00,36.25,40.00,40.00,38.75,36.88,34.88,37.50,40.88,37.50,36.25,20.00,25.00,30.00,33.75,35.00,50.00,50.63,46.88,44.38,41.25,37.55,45.00,50.00,38.75,36.25,36.25,41.25,53.75,68.75,63.75,57.50,58.75,52.50,50.21,25.63,36.25,33.75,33.75,33.75,34.38,30.00,29.38,35.00,42.50,82.50,55.00,39.32,36.25,39.38,30.63,26.88,31.25,46.88,48.13,36.25,45.00,45.00,40.00,48.75,39.53,51.25,48.75,40.00,35.63,41.25,41.25,61.88,71.25,62.50,82.50,63.13,61.88,55.11,60.00,55.00,35.00,55.00,60.00,50.00,50.00,55.00,62.50,65.00,55.63,37.50,53.39,44.38,45.63,42.50,57.50,53.75,44.38,41.88,33.13,36.25,51.25,66.25,83.75,50.05,85.00,56.25,51.25,51.88,49.38,71.25,48.75,48.75,49.94,48.16,82.04,56.48,58.26
....Nueva Vizcaya,"MONGGO, GREEN, 1 KG",88.46,88.46,88.46,69.41,70.16,73.22,76.27,74.73,79.31,82.37,77.79,77.79,78.87,79.31,80.85,79.31,79.31,79.31,64.06,70.16,70.16,68.64,66.35,63.92,68.64,72.50,68.64,67.12,36.61,45.76,53.39,59.49,61.01,85.83,90.00,90.00,90.00,90.00,69.82,90.00,90.00,90.00,87.50,87.50,90.00,87.50,86.25,87.50,87.50,87.50,90.00,88.44,90.00,90.00,90.00,90.00,83.75,82.50,82.50,82.50,82.50,82.50,82.50,82.50,85.10,82.50,82.50,82.50,82.50,82.50,82.50,82.50,81.25,82.50,82.50,82.50,82.50,82.40,82.50,82.50,82.50,82.50,82.50,82.50,66.67,66.67,68.33,68.33,68.33,68.33,75.14,68.33,73.33,73.33,82.50,82.50,82.50,81.25,80.63,80.63,83.75,83.75,83.75,79.69,83.75,82.50,84.38,85.63,96.88,91.88,89.38,88.13,88.13,87.50,88.13,85.63,87.66,86.88,83.13,88.13,86.25,86.25,85.63,90.63,90.63,81.63,89.34,91.92,90.63,87.59
....Nueva Vizcaya,"STRING BEANS, 1 KG",39.07,40.36,38.64,38.64,30.22,30.83,29.54,29.36,29.62,29.62,30.47,30.90,33.11,32.62,40.34,41.19,29.17,29.60,38.61,35.60,34.75,37.76,38.61,44.19,46.33,37.40,47.18,40.32,40.32,43.75,38.60,39.45,36.88,36.46,42.03,45.47,41.18,41.18,41.07,39.46,42.03,39.03,42.02,36.87,37.73,40.30,45.44,42.00,41.15,63.44,48.01,43.12,55.72,43.72,41.58,39.43,39.43,36.00,31.29,29.14,34.28,35.57,61.72,57.43,42.11,53.15,56.14,44.57,37.72,33.86,37.72,34.28,33.43,33.86,33.43,45.43,53.14,41.39,61.71,68.57,60.42,48.00,45.43,40.29,57.43,63.44,54.86,69.44,62.58,60.87,57.75,59.15,57.43,39.43,42.00,51.43,52.28,45.43,45.00,49.38,53.75,49.38,53.75,49.87,45.00,50.00,51.88,58.75,50.00,46.88,39.38,37.50,47.50,68.75,78.75,82.50,54.74,82.50,73.75,53.75,46.88,52.50,61.25,58.75,52.50,50.00,50.63,51.88,54.38,57.40
....Quirino,"RAW PEANUT, SHELLED, 1 KG",99.65,97.98,97.15,97.15,94.63,87.92,87.09,87.09,87.09,85.42,85.42,85.42,91.00,85.42,87.51,86.25,86.25,87.09,87.92,87.92,88.76,88.76,88.76,88.76,88.76,87.68,88.76,88.76,91.27,91.27,89.61,89.61,89.61,86.25,86.25,86.25,86.88,86.25,88.40,86.25,87.50,90.00,90.63,91.88,94.38,96.88,97.50,97.50,97.50,97.50,97.50,93.75,97.50,97.50,97.50,97.50,97.50,93.75,93.75,93.75,95.00,95.00,95.00,95.00,95.73,96.25,96.25,96.25,96.25,95.00,97.50,97.50,96.25,96.25,96.25,96.25,95.00,96.25,95.00,95.00,95.00,95.00,95.00,95.00,88.57,88.57,95.71,95.71,95.71,95.71,94.17,95.00,95.00,95.00,94.38,94.38,94.38,95.00,95.00,95.00,95.00,96.25,96.25,95.05,96.25,96.25,96.25,96.25,95.00,97.50,97.50,96.25,95.00,92.50,92.50,95.00,95.52,93.75,92.50,93.75,91.25,92.50,96.25,96.25,96.25,106.25,106.25,105.00,105.00,97.92
....Quirino,"RAW PEANUT, UNSHELLED, 1 KG",25.00,25.00,24.17,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,26.25,25.04,26.25,26.25,26.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.13,25.63,25.63,25.63,25.63,26.88,26.88,29.38,29.38,29.38,29.38,30.63,31.88,28.03,30.63,29.38,29.38,29.38,29.38,29.38,29.38,30.63,30.63,30.63,30.63,29.38,29.90,28.13,29.38,29.38,28.13,28.13,28.13,28.75,25.63,25.63,24.38,24.38,24.38,27.04,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.63,25.05,25.63,25.63,25.63,25.13,24.38,27.50,26.25,46.88,75.00,75.00,45.63,41.25,38.66,41.25,41.25,41.25,41.25,41.25,41.25,41.88,41.88,41.88,41.88,41.88,41.88,41.57,41.88,41.88,41.88,41.88,41.88,41.88,41.88,41.25,41.25,41.25,41.25,41.25,41.62,41.25,41.25,42.50,41.88,42.50,42.50,43.13,43.13,45.63,45.63,45.63,45.63,43.39
....Quirino,"BAGUIO BEANS, 1 KG",41.18,37.29,37.76,35.74,36.60,31.08,40.40,54.39,50.12,37.61,42.12,39.86,40.35,42.73,30.77,33.41,34.97,41.96,50.98,44.60,34.50,57.51,59.06,53.23,52.46,44.68,43.13,38.08,40.41,37.30,38.86,45.46,43.99,49.35,49.42,46.62,41.96,38.07,42.72,43.12,39.62,35.73,40.01,41.95,49.71,56.70,64.47,59.42,43.50,90.10,62.14,52.21,38.84,37.44,41.63,42.40,52.49,62.13,52.03,37.28,54.37,60.59,94.77,63.69,53.14,54.06,50.64,46.21,41.55,45.04,53.43,62.13,54.98,61.97,62.90,60.57,68.33,55.15,69.11,59.79,48.92,48.15,51.64,65.22,79.20,67.94,52.02,108.71,79.20,61.34,65.94,59.01,52.80,40.37,55.90,65.22,62.12,61.34,51.25,71.88,63.75,62.50,60.00,58.85,65.00,51.25,60.00,60.00,67.50,88.75,52.50,51.25,78.75,100.00,135.00,118.75,77.40,118.75,62.50,53.75,61.88,58.75,105.00,75.00,67.50,61.25,69.38,98.13,53.75,73.80
